shot_danger_key,game_id,event_index,season_id,danger_zone,xg,is_rebound,is_rush,is_one_timer,shot_distance,shot_angle
SD_EV1896901012,18969,EV1896901012,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901515,18969,EV1896901515,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902066,18969,EV1896902066,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902067,18969,EV1896902067,N20252026F,high,0.325,False,False,False,,
SD_EV1896901518,18969,EV1896901518,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901027,18969,EV1896901027,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902073,18969,EV1896902073,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901029,18969,EV1896901029,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901032,18969,EV1896901032,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901539,18969,EV1896901539,N20252026F,high,0.325,False,False,False,,
SD_EV1896902084,18969,EV1896902084,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901547,18969,EV1896901547,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896902089,18969,EV1896902089,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901043,18969,EV1896901043,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901567,18969,EV1896901567,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902101,18969,EV1896902101,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902109,18969,EV1896902109,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901574,18969,EV1896901574,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902116,18969,EV1896902116,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901582,18969,EV1896901582,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901591,18969,EV1896901591,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901605,18969,EV1896901605,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902136,18969,EV1896902136,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901616,18969,EV1896901616,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902156,18969,EV1896902156,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902173,18969,EV1896902173,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901637,18969,EV1896901637,N20252026F,perimeter,0.021,False,False,False,,
SD_EV1896901128,18969,EV1896901128,N20252026F,high,0.325,False,False,False,,
SD_EV1896901134,18969,EV1896901134,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901650,18969,EV1896901650,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901654,18969,EV1896901654,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902202,18969,EV1896902202,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901151,18969,EV1896901151,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902209,18969,EV1896902209,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901158,18969,EV1896901158,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901666,18969,EV1896901666,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901672,18969,EV1896901672,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901676,18969,EV1896901676,N20252026F,high,0.325,False,False,False,,
SD_EV1896902216,18969,EV1896902216,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901176,18969,EV1896901176,N20252026F,high,0.325,False,False,False,,
SD_EV1896901189,18969,EV1896901189,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901190,18969,EV1896901190,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902240,18969,EV1896902240,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902243,18969,EV1896902243,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901692,18969,EV1896901692,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902252,18969,EV1896902252,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896902261,18969,EV1896902261,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902262,18969,EV1896902262,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901203,18969,EV1896901203,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901723,18969,EV1896901723,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902272,18969,EV1896902272,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901218,18969,EV1896901218,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901740,18969,EV1896901740,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901743,18969,EV1896901743,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901748,18969,EV1896901748,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901226,18969,EV1896901226,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901754,18969,EV1896901754,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901758,18969,EV1896901758,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902299,18969,EV1896902299,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902307,18969,EV1896902307,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901284,18969,EV1896901284,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901286,18969,EV1896901286,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896901824,18969,EV1896901824,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902335,18969,EV1896902335,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902342,18969,EV1896902342,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901296,18969,EV1896901296,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896901302,18969,EV1896901302,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901306,18969,EV1896901306,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901857,18969,EV1896901857,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896902379,18969,EV1896902379,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902387,18969,EV1896902387,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901312,18969,EV1896901312,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902399,18969,EV1896902399,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901872,18969,EV1896901872,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901336,18969,EV1896901336,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901344,18969,EV1896901344,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896902410,18969,EV1896902410,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901888,18969,EV1896901888,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902414,18969,EV1896902414,N20252026F,high,0.325,False,False,False,,
SD_EV1896901354,18969,EV1896901354,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901355,18969,EV1896901355,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902426,18969,EV1896902426,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901366,18969,EV1896901366,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901370,18969,EV1896901370,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901373,18969,EV1896901373,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901375,18969,EV1896901375,N20252026F,perimeter,0.021,False,False,False,,
SD_EV1896902443,18969,EV1896902443,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902456,18969,EV1896902456,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901930,18969,EV1896901930,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902458,18969,EV1896902458,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896901383,18969,EV1896901383,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901940,18969,EV1896901940,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901388,18969,EV1896901388,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902463,18969,EV1896902463,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901390,18969,EV1896901390,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901946,18969,EV1896901946,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901950,18969,EV1896901950,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901954,18969,EV1896901954,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902468,18969,EV1896902468,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901957,18969,EV1896901957,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902475,18969,EV1896902475,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902485,18969,EV1896902485,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901422,18969,EV1896901422,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901423,18969,EV1896901423,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896902490,18969,EV1896902490,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902494,18969,EV1896902494,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902495,18969,EV1896902495,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1896901970,18969,EV1896901970,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901974,18969,EV1896901974,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901975,18969,EV1896901975,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901430,18969,EV1896901430,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902505,18969,EV1896902505,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902514,18969,EV1896902514,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901441,18969,EV1896901441,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901451,18969,EV1896901451,N20252026F,high,0.325,False,False,False,,
SD_EV1896902545,18969,EV1896902545,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902551,18969,EV1896902551,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902565,18969,EV1896902565,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896901464,18969,EV1896901464,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902574,18969,EV1896902574,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1896902030,18969,EV1896902030,N20252026F,perimeter,0.018,False,False,False,,
SD_EV1897701896,18977,EV1897701896,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701902,18977,EV1897701902,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701911,18977,EV1897701911,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701477,18977,EV1897701477,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701478,18977,EV1897701478,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701018,18977,EV1897701018,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701916,18977,EV1897701916,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701031,18977,EV1897701031,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701485,18977,EV1897701485,N20252026F,high,0.325,False,False,False,,
SD_EV1897701486,18977,EV1897701486,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1897701931,18977,EV1897701931,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701492,18977,EV1897701492,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701497,18977,EV1897701497,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701936,18977,EV1897701936,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701941,18977,EV1897701941,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701962,18977,EV1897701962,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701525,18977,EV1897701525,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701970,18977,EV1897701970,N20252026F,perimeter,0.018,False,False,False,,
SD_EV1897701972,18977,EV1897701972,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701067,18977,EV1897701067,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701076,18977,EV1897701076,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701541,18977,EV1897701541,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701087,18977,EV1897701087,N20252026F,perimeter,0.021,False,False,False,,
SD_EV1897701989,18977,EV1897701989,N20252026F,high,0.325,False,False,False,,
SD_EV1897701994,18977,EV1897701994,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701570,18977,EV1897701570,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1897701103,18977,EV1897701103,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701108,18977,EV1897701108,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701579,18977,EV1897701579,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701110,18977,EV1897701110,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701589,18977,EV1897701589,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702034,18977,EV1897702034,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702041,18977,EV1897702041,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701139,18977,EV1897701139,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702050,18977,EV1897702050,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702057,18977,EV1897702057,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701610,18977,EV1897701610,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701611,18977,EV1897701611,N20252026F,high,0.325,False,False,False,,
SD_EV1897702062,18977,EV1897702062,N20252026F,perimeter,0.014,False,False,False,,
SD_EV1897701150,18977,EV1897701150,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702071,18977,EV1897702071,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701167,18977,EV1897701167,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897701174,18977,EV1897701174,N20252026F,perimeter,0.02,False,False,False,,
SD_EV1897702084,18977,EV1897702084,N20252026F,perimeter,0.02,False,False,False,,
