shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896901464,EV1896901464,18969,1,Shot,Shot_Missed,False,P100224,Kaitlyn Shain,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.534409
SHE1896901451,EV1896901451,18969,1,Shot,Shot_OnNetSaved,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.536975
SHE1896901441,EV1896901441,18969,1,Shot,Shot_OnNetSaved,False,P100210,Josh Simonds,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.539301
SHE1896901430,EV1896901430,18969,1,Shot,Shot_OnNetSaved,False,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.541874
SHE1896901422,EV1896901422,18969,1,Shot,Shot_Goal,False,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.544349
SHE1896901423,EV1896901423,18969,1,Goal,Goal_Scored,True,P100201,Garrett Ashcroft,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.546719
SHE1896901390,EV1896901390,18969,1,Shot,Shot_OnNetSaved,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.549109
SHE1896901388,EV1896901388,18969,1,Shot,Shot_Missed,False,P100107,Matt Quinn,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.551456
SHE1896901383,EV1896901383,18969,1,Shot,Shot_OnNetSaved,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.553747
SHE1896901375,EV1896901375,18969,1,Shot,Shot_Missed,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.556150
SHE1896901373,EV1896901373,18969,1,Shot,Shot_Blocked,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.558512
SHE1896901370,EV1896901370,18969,1,Shot,Shot_Deflected,False,P100107,Matt Quinn,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.560827
SHE1896901366,EV1896901366,18969,1,Shot,Shot_OnNetSaved,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.563299
SHE1896901354,EV1896901354,18969,1,Shot,Shot_Goal,False,P100132,Nick Ciampoli,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.565674
SHE1896901355,EV1896901355,18969,1,Goal,Goal_Scored,True,P100132,Nick Ciampoli,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.568212
SHE1896901344,EV1896901344,18969,1,Shot,Shot_OnNetSaved,False,P100117,Keegan Mantaro,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.570702
SHE1896901336,EV1896901336,18969,1,Shot,Shot_Blocked,False,P100027,Karen Zietlow,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.573327
SHE1896901312,EV1896901312,18969,1,Shot,Shot_Deflected,False,P100025,Andrew Marshall,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.575703
