team_season_key,team_id,season_id,game_type,games_played,goals,assists,points,shots,sog,giveaways,takeaways,blocks,hits,toi_seconds,corsi_for,corsi_against,fenwick_for,fenwick_against,plus_total,minus_total,xg_for,gar_total,war,shot_assists,goal_creating_actions,shooting_pct,cf_pct,plus_minus_total,avg_game_score,avg_adjusted_rating,_export_timestamp
N10008_N20252026F_Regular,N10008,N20252026F,Regular,1,4,3,7,71,40,65,16,9,0,16062,350,213,270,169,20,14,4.5,22.98,5.1,21,44,10.0,62.2,6,3.84,3.3,2026-01-13T13:58:46.411703
N10008_N20252026F_All,N10008,N20252026F,All,1,4,3,7,71,40,65,16,9,0,16062,350,213,270,169,20,14,4.5,22.98,5.1,21,44,10.0,62.2,6,3.84,3.3,2026-01-13T13:58:46.411703
N10010_N20252026F_Regular,N10010,N20252026F,Regular,4,8,3,11,179,82,302,66,28,0,63570,938,1238,686,939,40,39,11.16,44.89,9.97,26,21,36.400000000000006,171.8,1,10.16,8.899999999999999,2026-01-13T13:58:46.411703
N10010_N20252026F_All,N10010,N20252026F,All,4,8,3,11,179,82,302,66,28,0,63570,938,1238,686,939,40,39,11.16,44.89,9.97,26,21,36.400000000000006,171.8,1,10.16,8.899999999999999,2026-01-13T13:58:46.411703
N10003_N20252026F_Regular,N10003,N20252026F,Regular,1,2,0,2,65,38,81,13,0,0,16192,335,295,250,220,10,15,4.02,10.86,2.390000000000001,5,0,5.3,53.2,-5,2.27,2.0,2026-01-13T13:58:46.411703
N10003_N20252026F_All,N10003,N20252026F,All,1,2,0,2,65,38,81,13,0,0,16192,335,295,250,220,10,15,4.02,10.86,2.390000000000001,5,0,5.3,53.2,-5,2.27,2.0,2026-01-13T13:58:46.411703
N10004_N20252026F_Regular,N10004,N20252026F,Regular,1,2,0,2,60,34,75,15,0,0,15990,295,184,220,131,10,5,3.72,13.21,2.9500000000000006,11,0,5.9,61.6,5,2.45,2.1,2026-01-13T13:58:46.411703
N10004_N20252026F_All,N10004,N20252026F,All,1,2,0,2,60,34,75,15,0,0,15990,295,184,220,131,10,5,3.72,13.21,2.9500000000000006,11,0,5.9,61.6,5,2.45,2.1,2026-01-13T13:58:46.411703
N10007_N20252026F_Regular,N10007,N20252026F,Regular,1,0,0,0,61,36,75,21,14,0,16057,294,240,224,162,0,5,3.6600000000000006,16.18,3.59,18,0,0.0,55.1,-5,3.16,2.7,2026-01-13T13:58:46.411703
N10007_N20252026F_All,N10007,N20252026F,All,1,0,0,0,61,36,75,21,14,0,16057,294,240,224,162,0,5,3.6600000000000006,16.18,3.59,18,0,0.0,55.1,-5,3.16,2.7,2026-01-13T13:58:46.411703
