team_season_basic_key,team_id,team_name,season_id,season,game_type,games_played,wins,losses,ties,win_pct,points,goals_for,goals_against,goal_diff,goals_for_per_game,goals_against_per_game,team_goals,team_assists,team_pim,unique_players,_export_timestamp
N10002_N20232024F_Regular,N10002,Ace,N20232024F,20232024,Regular,30,8,18,4,26.7,20,132,174,-42,4.4,5.8,,,,,2026-01-13T11:03:22.026827
N10002_N20232024F_Playoffs,N10002,Ace,N20232024F,20232024,Playoffs,1,0,1,0,0.0,0,4,6,-2,4.0,6.0,,,,,2026-01-13T11:03:22.027237
N10002_N20232024F_All,N10002,Ace,N20232024F,20232024,All,31,8,19,4,25.8,20,136,180,-44,4.39,5.81,130.0,136.0,171.0,21.0,2026-01-13T11:03:22.028527
N10004_N20232024F_Regular,N10004,Nelson,N20232024F,20232024,Regular,29,4,23,2,13.8,10,82,160,-78,2.83,5.52,,,,,2026-01-13T11:03:22.028980
N10004_N20232024F_Playoffs,N10004,Nelson,N20232024F,20232024,Playoffs,4,2,2,0,50.0,4,15,17,-2,3.75,4.25,,,,,2026-01-13T11:03:22.029378
N10004_N20232024F_All,N10004,Nelson,N20232024F,20232024,All,33,6,25,2,18.2,14,97,177,-80,2.94,5.36,97.0,101.0,114.0,21.0,2026-01-13T11:03:22.030826
N10008_N20232024F_Regular,N10008,Platinum,N20232024F,20232024,Regular,30,18,9,3,60.0,39,147,114,33,4.9,3.8,,,,,2026-01-13T11:03:22.031266
N10008_N20232024F_Playoffs,N10008,Platinum,N20232024F,20232024,Playoffs,2,0,2,0,0.0,0,6,11,-5,3.0,5.5,,,,,2026-01-13T11:03:22.031689
N10008_N20232024F_All,N10008,Platinum,N20232024F,20232024,All,32,18,11,3,56.2,39,153,125,28,4.78,3.91,153.0,162.0,132.0,18.0,2026-01-13T11:03:22.032982
N10009_N20232024F_Regular,N10009,Triple J,N20232024F,20232024,Regular,29,11,13,5,37.9,27,111,117,-6,3.83,4.03,,,,,2026-01-13T11:03:22.033418
N10009_N20232024F_Playoffs,N10009,Triple J,N20232024F,20232024,Playoffs,3,1,2,0,33.3,2,9,14,-5,3.0,4.67,,,,,2026-01-13T11:03:22.033863
N10009_N20232024F_All,N10009,Triple J,N20232024F,20232024,All,32,12,15,5,37.5,29,120,131,-11,3.75,4.09,124.0,119.0,110.0,20.0,2026-01-13T11:03:22.035119
N10012_N20212022F_Regular,N10012,Canada,N20212022F,20212022,Regular,20,2,17,1,10.0,5,65,152,-87,3.25,7.6,,,,,2026-01-13T11:03:22.035557
N10012_N20212022F_Playoffs,N10012,Canada,N20212022F,20212022,Playoffs,4,1,2,1,25.0,3,13,21,-8,3.25,5.25,,,,,2026-01-13T11:03:22.035993
N10012_N20212022F_All,N10012,Canada,N20212022F,20212022,All,24,3,19,2,12.5,8,78,173,-95,3.25,7.21,76.0,38.0,46.0,15.0,2026-01-13T11:03:22.037324
N10001_N20212022F_Regular,N10001,AMOS,N20212022F,20212022,Regular,21,12,7,2,57.1,26,121,100,21,5.76,4.76,,,,,2026-01-13T11:03:22.037777
N10001_N20212022F_Playoffs,N10001,AMOS,N20212022F,20212022,Playoffs,3,1,2,0,33.3,2,15,15,0,5.0,5.0,,,,,2026-01-13T11:03:22.038228
N10001_N20212022F_All,N10001,AMOS,N20212022F,20212022,All,24,13,9,2,54.2,28,136,115,21,5.67,4.79,132.0,113.0,42.0,17.0,2026-01-13T11:03:22.039460
N10009_N20212022F_Regular,N10009,Triple J,N20212022F,20212022,Regular,21,7,12,2,33.3,16,113,130,-17,5.38,6.19,,,,,2026-01-13T11:03:22.039904
