game_id,date,team_name,games_played,wins,losses,ties,points,goals_for,goals_against,goal_diff,gaa,gpg,team_id
13244,2021-03-03,Canada,1,1,0,0,2,5,4,1,4.0,5.0,N10012
13244,2021-03-03,Orphans,1,0,1,0,0,4,5,-1,5.0,4.0,N10006
13241,2021-10-02,Platinum,1,1,0,0,2,6,3,3,3.0,6.0,N10008
13241,2021-10-02,Triple J,1,0,1,0,0,3,6,-3,6.0,3.0,N10009
13242,2021-10-03,Amos,1,1,0,0,2,10,3,7,3.0,10.0,N10001
13243,2021-10-03,HollowBrook,1,0,1,0,0,5,9,-4,9.0,5.0,N10003
13242,2021-10-03,Nelson,1,0,1,0,0,3,10,-7,10.0,3.0,N10004
13243,2021-10-03,OS Offices,1,1,0,0,2,9,5,4,5.0,9.0,N10005
13425,2021-10-10,Nelson,2,0,2,0,0,5,15,-10,7.5,2.5,N10004
13423,2021-10-10,OS Offices,2,2,0,0,4,13,8,5,4.0,6.5,N10005
13423,2021-10-10,Platinum,2,1,1,0,2,9,7,2,3.5,4.5,N10008
13425,2021-10-10,Triple J,2,1,1,0,2,8,8,0,4.0,4.0,N10009
13426,2021-10-17,Amos,2,1,1,0,2,15,11,4,5.5,7.5,N10001
10004,2021-10-17,Amos,3,2,1,0,4,24,14,10,4.67,8.0,N10001
13424,2021-10-17,Canada,2,1,1,0,2,6,18,-12,9.0,3.0,N10012
10004,2021-10-17,Canada,3,1,2,0,2,9,27,-18,9.0,3.0,N10012
13424,2021-10-17,HollowBrook,2,1,1,0,2,19,10,9,5.0,9.5,N10003
13426,2021-10-17,Orphans,2,1,1,0,2,12,10,2,5.0,6.0,N10006
13428,2021-10-17,Orphans,3,2,1,0,4,19,12,7,4.0,6.33,N10006
13428,2021-10-17,Triple J,3,1,2,0,2,10,15,-5,5.0,3.33,N10009
13432,2021-10-24,Canada,4,1,3,0,2,14,33,-19,8.25,3.5,N10012
13427,2021-10-24,HollowBrook,3,2,1,0,4,25,13,12,4.33,8.33,N10003
13430,2021-10-24,Nelson,3,1,2,0,2,8,16,-8,5.33,2.67,N10004
13431,2021-10-24,OS Offices,3,2,1,0,4,17,14,3,4.67,5.67,N10005
13430,2021-10-24,OS Offices,4,2,2,0,4,18,17,1,4.25,4.5,N10005
13431,2021-10-24,Orphans,4,3,1,0,6,25,16,9,4.0,6.25,N10006
13427,2021-10-24,Platinum,3,1,2,0,2,12,13,-1,4.33,4.0,N10008
13432,2021-10-24,Platinum,4,2,2,0,4,18,18,0,4.5,4.5,N10008
13437,2021-10-31,Canada,5,1,4,0,2,16,39,-23,7.8,3.2,N10012
13433,2021-10-31,HollowBrook,4,3,1,0,6,36,14,22,3.5,9.0,N10003
13438,2021-10-31,Nelson,4,1,3,0,2,14,26,-12,6.5,3.5,N10004
13433,2021-10-31,Nelson,5,1,4,0,2,15,37,-22,7.4,3.0,N10004
13438,2021-10-31,Platinum,5,3,2,0,6,28,24,4,4.8,5.6,N10008
13437,2021-10-31,Triple J,4,2,2,0,4,16,17,-1,4.25,4.0,N10009
13434,2021-11-07,Amos,4,3,1,0,6,33,22,11,5.5,8.25,N10001
13439,2021-11-07,Amos,5,4,1,0,8,41,29,12,5.8,8.2,N10001
13439,2021-11-07,HollowBrook,5,3,2,0,6,43,22,21,4.4,8.6,N10003
13440,2021-11-07,OS Offices,5,3,2,0,6,23,20,3,4.0,4.6,N10005
13441,2021-11-07,Orphans,5,3,2,0,6,30,26,4,5.2,6.0,N10006
13441,2021-11-07,Platinum,6,4,2,0,8,38,29,9,4.83,6.33,N10008
13434,2021-11-07,Triple J,5,2,3,0,4,24,26,-2,5.2,4.8,N10009
13440,2021-11-07,Triple J,6,2,4,0,4,27,31,-4,5.17,4.5,N10009
13442,2021-11-14,Canada,6,1,5,0,2,20,45,-25,7.5,3.33,N10012
13435,2021-11-14,HollowBrook,6,4,2,0,8,55,25,30,4.17,9.17,N10003
13446,2021-11-14,HollowBrook,7,5,2,0,10,69,28,41,4.0,9.86,N10003
13442,2021-11-14,Nelson,6,2,4,0,4,21,41,-20,6.83,3.5,N10004
13435,2021-11-14,Orphans,6,3,3,0,6,33,38,-5,6.33,5.5,N10006
13446,2021-11-14,Triple J,7,2,5,0,4,30,45,-15,6.43,4.29,N10009
13436,2021-11-21,Amos,6,4,2,0,8,45,34,11,5.67,7.5,N10001
13447,2021-11-21,Amos,7,5,2,0,10,51,36,15,5.14,7.29,N10001
13449,2021-11-21,Canada,7,1,6,0,2,22,51,-29,7.29,3.14,N10012
13443,2021-11-21,Canada,8,1,7,0,2,23,60,-37,7.5,2.88,N10012
13447,2021-11-21,Nelson,7,2,5,0,4,23,47,-24,6.71,3.29,N10004
13436,2021-11-21,OS Offices,6,4,2,0,8,28,24,4,4.0,4.67,N10005
13443,2021-11-21,OS Offices,7,5,2,0,10,37,25,12,3.57,5.29,N10005
13449,2021-11-21,Orphans,7,4,3,0,8,39,40,-1,5.71,5.57,N10006
13450,2021-11-21,Platinum,7,5,2,0,10,46,33,13,4.71,6.57,N10008
13450,2021-11-21,Triple J,8,2,6,0,4,34,53,-19,6.62,4.25,N10009
13448,2021-11-28,HollowBrook,8,6,2,0,12,77,31,46,3.88,9.62,N10003
13444,2021-11-28,Nelson,8,2,6,0,4,23,56,-33,7.0,2.88,N10004
13448,2021-11-28,OS Offices,8,5,3,0,10,40,33,7,4.12,5.0,N10005
13444,2021-11-28,Orphans,8,5,3,0,10,48,40,8,5.0,6.0,N10006
13445,2021-12-05,Amos,8,6,2,0,12,57,40,17,5.0,7.12,N10001
13451,2021-12-05,Canada,9,1,8,0,2,27,69,-42,7.67,3.0,N10012
13451,2021-12-05,HollowBrook,9,7,2,0,14,86,35,51,3.89,9.56,N10003
13452,2021-12-05,Nelson,9,3,6,0,6,27,57,-30,6.33,3.0,N10004
13453,2021-12-05,OS Offices,9,6,3,0,12,45,36,9,4.0,5.0,N10005
13445,2021-12-05,Platinum,8,5,3,0,10,50,39,11,4.88,6.25,N10008
13453,2021-12-05,Platinum,9,5,4,0,10,53,44,9,4.89,5.89,N10008
13452,2021-12-05,Triple J,9,2,7,0,4,35,57,-22,6.33,3.89,N10009
13456,2021-12-12,Amos,9,6,3,0,12,59,43,16,4.78,6.56,N10001
13454,2021-12-12,Amos,10,7,3,0,14,66,47,19,4.7,6.6,N10001
13456,2021-12-12,Canada,10,2,8,0,4,30,71,-41,7.1,3.0,N10012
13457,2021-12-12,Orphans,9,6,3,0,12,56,42,14,4.67,6.22,N10006
13454,2021-12-12,Orphans,10,6,4,0,12,60,49,11,4.9,6.0,N10006
13457,2021-12-12,Triple J,10,2,8,0,4,37,65,-28,6.5,3.7,N10009
13462,2021-12-19,Canada,11,2,9,0,4,30,80,-50,7.27,2.73,N10012
13455,2021-12-19,HollowBrook,10,7,3,0,14,92,42,50,4.2,9.2,N10003
13458,2021-12-19,Nelson,10,4,6,0,8,30,59,-29,5.9,3.0,N10004
13461,2021-12-19,OS Offices,10,6,4,0,12,46,44,2,4.4,4.6,N10005
13458,2021-12-19,OS Offices,11,6,5,0,12,48,47,1,4.27,4.36,N10005
13461,2021-12-19,Orphans,11,7,4,0,14,68,50,18,4.55,6.18,N10006
13455,2021-12-19,Platinum,10,6,4,0,12,60,50,10,5.0,6.0,N10008
13462,2021-12-19,Platinum,11,7,4,0,14,69,50,19,4.55,6.27,N10008
13459,2021-12-26,Amos,11,8,3,0,16,75,49,26,4.45,6.82,N10001
13459,2021-12-26,Triple J,11,2,9,0,4,39,74,-35,6.73,3.55,N10009
13460,2022-01-02,HollowBrook,11,8,3,0,16,95,43,52,3.91,8.64,N10003
13460,2022-01-02,Nelson,11,4,7,0,8,31,62,-31,5.64,2.82,N10004
13465,2022-01-09,Amos,12,9,3,0,18,80,52,28,4.33,6.67,N10001
13463,2022-01-09,Canada,12,2,10,0,4,32,86,-54,7.17,2.67,N10012
13464,2022-01-09,HollowBrook,12,8,3,1,17,100,48,52,4.0,8.33,N10003
13466,2022-01-09,Nelson,12,4,8,0,8,35,68,-33,5.67,2.92,N10004
13465,2022-01-09,OS Offices,12,6,6,0,12,51,52,-1,4.33,4.25,N10005
13464,2022-01-09,Orphans,12,7,4,1,15,73,55,18,4.58,6.08,N10006
13466,2022-01-09,Platinum,12,8,4,0,16,75,54,21,4.5,6.25,N10008
13463,2022-01-09,Triple J,12,3,9,0,6,45,76,-31,6.33,3.75,N10009
13472,2022-01-23,Amos,13,10,3,0,20,88,57,31,4.38,6.77,N10001
13474,2022-01-23,Canada,13,2,11,0,4,36,94,-58,7.23,2.77,N10012
13473,2022-01-23,HollowBrook,13,9,3,1,19,113,58,55,4.46,8.69,N10003
13471,2022-01-23,Nelson,13,4,9,0,8,37,72,-35,5.54,2.85,N10004
