tracking_event_key,game_id,period,period_id,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,running_video_time,event_running_start,event_running_end,event_team_zone,event_zone_id,home_team_zone,home_zone_id,away_team_zone,away_zone_id,x_coord,y_coord,rink_zone,season_id,time_bucket_id,strength_id
TV1896901000,18969,1,P01,,,,,,,,,,Neutral,,Neutral,,Neutral,,,,,N20252026F,,STR01
TV1896901001,18969,1,P01,18.0,0.0,18.0,0.0,1080.0,1080.0,120.0,120.0,120.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901002,18969,1,P01,17.0,59.0,17.0,59.0,1079.0,1079.0,121.0,121.0,121.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901003,18969,1,P01,17.0,58.0,17.0,52.0,1078.0,1072.0,122.0,122.0,128.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901004,18969,1,P01,17.0,50.0,17.0,50.0,1070.0,1070.0,130.0,130.0,130.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901005,18969,1,P01,17.0,49.0,17.0,49.0,1069.0,1069.0,131.0,131.0,131.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901006,18969,1,P01,17.0,49.0,17.0,49.0,1069.0,1069.0,131.0,131.0,131.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901007,18969,1,P01,17.0,45.0,17.0,41.0,1065.0,1061.0,135.0,135.0,139.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901008,18969,1,P01,17.0,41.0,17.0,41.0,1061.0,1061.0,139.0,139.0,139.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901009,18969,1,P01,17.0,41.0,17.0,41.0,1061.0,1061.0,139.0,139.0,139.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901010,18969,1,P01,17.0,39.0,17.0,37.0,1059.0,1057.0,141.0,141.0,143.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901011,18969,1,P01,17.0,37.0,17.0,33.0,1057.0,1053.0,143.0,143.0,147.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901012,18969,1,P01,17.0,33.0,17.0,33.0,1053.0,1053.0,147.0,147.0,147.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901013,18969,1,P01,17.0,32.0,17.0,32.0,1052.0,1052.0,148.0,148.0,148.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901014,18969,1,P01,17.0,32.0,17.0,28.0,1052.0,1048.0,148.0,148.0,152.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901015,18969,1,P01,17.0,28.0,17.0,28.0,1048.0,1048.0,152.0,152.0,152.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901016,18969,1,P01,17.0,27.0,17.0,27.0,1047.0,1047.0,153.0,153.0,153.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901017,18969,1,P01,17.0,23.0,17.0,20.0,1043.0,1040.0,157.0,157.0,160.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901018,18969,1,P01,17.0,20.0,17.0,20.0,1040.0,1040.0,160.0,160.0,160.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901019,18969,1,P01,17.0,20.0,17.0,20.0,1040.0,1040.0,160.0,160.0,160.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901020,18969,1,P01,17.0,20.0,17.0,15.0,1040.0,1035.0,160.0,160.0,165.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901021,18969,1,P01,17.0,15.0,17.0,15.0,1035.0,1035.0,165.0,165.0,165.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901022,18969,1,P01,17.0,12.0,17.0,8.0,1032.0,1028.0,168.0,168.0,172.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901023,18969,1,P01,17.0,8.0,17.0,5.0,1028.0,1025.0,172.0,172.0,175.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901024,18969,1,P01,17.0,5.0,17.0,5.0,1025.0,1025.0,175.0,175.0,175.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901025,18969,1,P01,17.0,2.0,17.0,2.0,1022.0,1022.0,178.0,178.0,178.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901026,18969,1,P01,16.0,59.0,16.0,59.0,1019.0,1019.0,181.0,181.0,181.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901027,18969,1,P01,16.0,59.0,16.0,59.0,1019.0,1019.0,181.0,181.0,181.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901028,18969,1,P01,16.0,56.0,16.0,53.0,1016.0,1013.0,184.0,184.0,187.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901029,18969,1,P01,16.0,53.0,16.0,53.0,1013.0,1013.0,187.0,187.0,187.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901030,18969,1,P01,16.0,50.0,16.0,48.0,1010.0,1008.0,190.0,190.0,192.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901031,18969,1,P01,16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901032,18969,1,P01,16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901033,18969,1,P01,16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901034,18969,1,P01,16.0,48.0,16.0,48.0,1008.0,1008.0,192.0,192.0,192.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901035,18969,1,P01,16.0,45.0,16.0,42.0,1005.0,1002.0,195.0,195.0,198.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901036,18969,1,P01,16.0,42.0,16.0,42.0,1002.0,1002.0,198.0,198.0,198.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901037,18969,1,P01,16.0,42.0,16.0,42.0,1002.0,1002.0,198.0,198.0,198.0,Defensive,,Offensive,,Defensive,,,,,N20252026F,TB01,STR01
TV1896901038,18969,1,P01,16.0,41.0,16.0,40.0,1001.0,1000.0,199.0,199.0,200.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901039,18969,1,P01,16.0,40.0,16.0,40.0,1000.0,1000.0,200.0,200.0,200.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901040,18969,1,P01,16.0,35.0,16.0,35.0,995.0,995.0,205.0,205.0,205.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901041,18969,1,P01,16.0,35.0,16.0,14.0,995.0,974.0,205.0,205.0,226.0,Neutral,,Neutral,,Neutral,,,,,N20252026F,TB01,STR01
TV1896901042,18969,1,P01,16.0,14.0,16.0,14.0,974.0,974.0,226.0,226.0,226.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
TV1896901043,18969,1,P01,16.0,12.0,16.0,12.0,972.0,972.0,228.0,228.0,228.0,Offensive,,Defensive,,Offensive,,,,,N20252026F,TB01,STR01
