event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,turnover_key_new
EV1896901006,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_ZoneClear_Dump,ED219,u,SC02,n,ZN03,SQ1896900105,PL1896910502,EC18969001006,TV1896909001,SH1896900001,LV1896909001,Platinum,N10008,Velodrome,N10010,0.0,P100024,,17.0,49.0,,,1069.0,1069.0,6.0,11.0,11.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,20.0,5v5,Chip,DumpChase,u,,,,,,,,0,,John Thien,N20252026F,4.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690006
EV1896901016,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_DumpInZone,ED210,u,SC02,o,ZN01,SQ1896900002,PL1896900203,EC18969001016,TV1896901016,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,P100070,,17.0,27.0,,,1047.0,1047.0,28.0,33.0,33.0,0.0,0.0,Away,a,Velodrome,d,o,event_player_1,Offensive,1,e,52.0,5v5,Dump_RimInZone,,u,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,,,GT0001,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690016
EV1896901024,18969,1,P01,Turnover,ET0005,Turnover_Takeaway,ED0031,Takeaway_PokeCheck,ED285,s,SC01,d,ZN02,SQ1896900002,PL1896900207,EC18969001024,TV1896901024,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,P100108,P100030,17.0,5.0,,,1025.0,1025.0,50.0,55.0,55.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Defensive,1,e,22.0,5v5,,,,1.0,,,,,,,0,,Robert Mayfield,N20252026F,5.0,,,,,,TA0010,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,0,0,1,,,,TO189690024
EV1896901025,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_AttemptedZoneClear_Dump,ED208,u,SC02,d,ZN02,SQ1896900002,PL1896900209,EC18969001025,TV1896901025,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,P100108,P100030,17.0,2.0,,,1022.0,1022.0,53.0,58.0,58.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,22.0,5v5,AttemptedBreakOutClear,,u,1.0,,,,,,,0,,Robert Mayfield,N20252026F,5.0,,,,,GT0001,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,1,,,,TO189690025
EV1896901059,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_Misplayed,ED211,u,SC02,o,ZN01,SQ1896900004,PL1896900404,EC18969001059,TV1896901059,SH1896900002,,Platinum,N10008,Velodrome,N10010,0.0,P100022,P100093,15.0,43.0,,,943.0,943.0,132.0,137.0,137.0,0.0,0.0,Home,h,Platinum,o,d,event_player_1,Offensive,1,e,34.0,5v5,,,,1.0,,,,,,,0,,Chris Dube,N20252026F,4.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,1,,,,TO189690059
EV1896901067,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_ZoneClear_Dump,ED219,,,n,ZN03,SQ1896900107,PL1896910705,EC18969001067,TV1896909010,SH1896900002,LV1896909010,Platinum,N10008,Velodrome,N10010,0.0,P100002,,15.0,37.0,,,937.0,937.0,138.0,143.0,143.0,0.0,0.0,Away,a,Velodrome,n,n,event_player_1,Offensive,1,e,91.0,5v5,,,,,,,,,,,0,,Kevin White,N20252026F,4.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690067
EV1896901071,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_PassMissed,ED215,u,SC02,d,ZN02,SQ1896900107,PL1896910709,EC18969001071,TV1896909011,SH1896900002,LV1896909011,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100110",,15.0,32.0,,,932.0,932.0,143.0,148.0,148.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,3.0,5v5,,,,,,,,,,,0,,Alex Considine,N20252026F,5.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690071
EV1896901076,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_ZoneClear_Dump,ED219,u,SC02,o,ZN01,SQ1896900107,PL1896910713,EC18969001076,TV1896909012,SH1896900002,LV1896909012,Platinum,N10008,Velodrome,N10010,0.0,P100198,P100110,15.0,23.0,,,923.0,923.0,152.0,157.0,157.0,0.0,0.0,Away,a,Velodrome,d,o,event_player_1,Offensive,1,e,84.0,5v5,,,,,,,,,,,0,,Maxwell Donaty,N20252026F,5.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690076
EV1896901080,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_AttemptedZoneClear_Dump,ED208,u,SC02,d,ZN02,SQ1896900004,PL1896900406,EC18969001080,TV1896901080,SH1896900003,,Platinum,N10008,Velodrome,N10010,0.0,P100107,P100224,15.0,12.0,,,912.0,912.0,163.0,168.0,168.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,78.0,5v5,AttemptedBreakOutClear,,u,1.0,,,,,,,0,,Matt Quinn,N20252026F,5.0,,,,,GT0001,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,1,,,,TO189690080
EV1896901084,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_PassBlocked,ED213,u,SC02,o,ZN01,SQ1896900107,PL1896910715,EC18969001084,TV1896909013,SH1896900004,LV1896909013,Platinum,N10008,Velodrome,N10010,0.0,"P100002,P100201",P100023,15.0,4.0,,,904.0,904.0,171.0,176.0,176.0,0.0,0.0,Away,a,Velodrome,d,o,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690084
EV1896901086,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_AttemptedZoneClear_Dump,ED208,u,SC02,d,ZN02,SQ1896900004,PL1896900408,EC18969001086,TV1896901086,SH1896900004,,Platinum,N10008,Velodrome,N10010,0.0,P100022,P100002,14.0,59.0,,,899.0,899.0,176.0,181.0,181.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,34.0,5v5,AttemptedBreakOutClear,,u,,,,,,,,0,,Chris Dube,N20252026F,4.0,,,,,GT0001,,TO0007,,TB02,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690086
EV1896901090,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_PassIntercepted,ED214,u,SC02,o,ZN01,SQ1896900107,PL1896910717,EC18969001090,TV1896909015,SH1896900004,LV1896909015,Platinum,N10008,Velodrome,N10010,0.0,"P100002,P100105",P100022,14.0,54.0,,,894.0,894.0,181.0,186.0,186.0,0.0,0.0,Away,a,Velodrome,d,o,event_player_1,Offensive,1,e,9.0,5v5,,,,,,,,,,,0,,Ronnie Pinnell,N20252026F,5.0,,,,,GT0005,,TO0007,,TB02,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,,TO189690090
EV1896901097,18969,1,P01,Turnover,ET0005,Turnover_Takeaway,ED0031,Takeaway_BattleWon,ED283,s,SC01,d,ZN02,SQ1896900107,PL1896910723,EC18969001097,TV1896909017,SH1896900005,LV1896909017,Platinum,N10008,Velodrome,N10010,0.0,P100105,P100210,14.0,40.0,,,880.0,880.0,195.0,200.0,200.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Defensive,1,e,9.0,5v5,,,u,1.0,,,,,,,0,,Ronnie Pinnell,N20252026F,5.0,,,,,,TA0010,TO0007,,TB02,STR0001,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,0,0,1,,,,TO189690097
