video_key,game_id,Index,Key,Game_ID,Video_Type,Video_Category,Url_1,Url_2,Url_3,Url_4,Video_ID,Extension,Embed_Url,Description
V18981001,18981,1,V189811001,18981,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=DaQS2qlm_C4,,,,,v=DaQS2qlm_C4,,
V19032001,19032,1,V190321001,19032,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=Mt-lTEMScK4,,,,,v=Mt-lTEMScK4,,
V19032002,19032,2,V190321002,19032,Braodcast,Broadcast,https://www.youtube.com/watch?v=A2SPUvqhgvQ,,,,,v=A2SPUvqhgvQ,,
V18991001,18991,1,V189911001,18991,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=fbZ-kglEMfk,,,,,v=fbZ-kglEMfk,,
V18991002,18991,2,V189911002,18991,Braodcast,Broadcast,https://www.youtube.com/watch?v=DYLkmiu52Zk,,,,,v=DYLkmiu52Zk,,
V18955001,18955,1,V189551001,18955,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=-JbRtW__V18,,,,,v=-JbRtW__V18,,
V18977001,18977,1,V189771001,18977,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=mx4pzfH-pXs,,,,,v=mx4pzfH-pXs,,
V18987001,18987,1,V189871001,18987,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=L9a8xCAIo-Q,,,,,v=L9a8xCAIo-Q,,
V18987002,18987,2,V189871002,18987,Braodcast,Broadcast,https://www.youtube.com/watch?v=M0lElm9UkpM,,,,,v=M0lElm9UkpM,,
V18969001,18969,1,V189691001,18969,Full_Ice,Full_Ice,https://www.youtube.com/watch?v=hMM6oE6O_Mg,,,,,v=hMM6oE6O_Mg,,
