event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,zone_entry_key,entry_method,turnover_weight,turnover_zone_multiplier,turnover_category,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901498,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_OppTeam,ED157,True,SC01,Offensive,ZN01,SQ1896900052,PL1896905201,EC18969001498,TV1896901498,Platinum,N10008,Velodrome,N10010,0.0,,P100192,18.0,0.0,18.0,0.0,1080.0,1080.0,1320.0,1320.0,2220.0,1200,900,h,,Platinum,Defensive,Offensive,opp_player_1,Defensive,1,o1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,ZE0008,,,,,,,TB01,STR01,5.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901497,Faceoff,Faceoff_PeriodStart,Velodrome,0,EV1896902049,Faceoff,Faceoff_PeriodStart,Platinum,1,0.0,0.0,32.0,,50.0,,goal,0,0,0,32.0,,51.0,,0,,,,1.0,8.0,1080.0,1,0,0,0,0.0,1,0.0,1.0,0.0,1.0,0,,ZN189690004,other,,,,0.0,1.0,-1.0,-1.0,369.0,32.0,-1.0,32.0,,,,,,,1705.0,,,,,,,,,1705.0,1705.0,1705.0
EV1896902050,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_PenaltyKillClear,ED161,True,SC01,Neutral,ZN03,SQ1896900097,PL1896909702,EC18969002050,TV1896902050,Platinum,N10008,Velodrome,N10010,0.0,P100023,,17.0,59.0,17.0,59.0,1079.0,1079.0,2521.0,2521.0,4321.0,2400,1800,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,3.0,5v5,,,,,0,0,Alex Considine,N20252026F,5.0,,ZE0012,,,,,,,TB01,STR01,4.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901002,Pass,Pass_Completed,Platinum,1,EV1896901003,Possession,Regroup,Platinum,1,0.0,1.0,31.0,,47.0,,goal,1,0,0,31.0,,48.0,,0,1.0,3.0,,1.0,21.0,130.0,1,0,1,0,3.0,4,1.0,2.0,1.0,2.0,0,,ZN189690007,other,,,,0.0,1.0,-1.0,-1.0,368.0,31.0,-1.0,31.0,1753.99,,,,,,,,,,,,1753.99,1753.99,1753.99,,,
EV1896901005,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_DumpIn,ED154,,,Neutral,ZN03,SQ1896900001,PL1896900102,EC18969001005,TV1896901005,Platinum,N10008,Velodrome,N10010,0.0,P100024,,17.0,49.0,17.0,49.0,1069.0,1069.0,131.0,131.0,131.0,0,0,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,20.0,5v5,Chip,DumpChase,u,,0,0,John Thien,N20252026F,4.0,,ZE0005,,,,,,,TB01,STR01,3.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902053,Zone_Entry_Exit,Zone_Exit,Velodrome,0,EV1896901006,Turnover,Turnover_Giveaway,Platinum,1,1.0,0.0,21.0,,34.0,,goal,0,0,0,21.0,,35.0,,0,10.0,13.0,1.0,4.0,6.0,14.0,0,0,0,0,0.0,1,11.0,15.0,11.0,15.0,0,,ZN189690020,dump_in,,,,0.0,1.0,-1.0,-1.0,358.0,21.0,-1.0,21.0,1083.99,,,,,,,,,,,,1083.99,1083.99,1083.99,,,
EV1896901506,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905413,EC18969001506,TV1896901506,Platinum,N10008,Velodrome,N10010,1.0,P100201,"P100107,P100192",17.0,48.0,17.0,47.0,1068.0,1067.0,1332.0,1333.0,2232.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,42.0,5v5,Deke,,s,,0,0,Garrett Ashcroft,N20252026F,4.0,,ZE0001,,,,,,,TB01,STR01,5.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901006,Turnover,Turnover_Giveaway,Platinum,0,EV1896901507,Pass,Pass_Missed,Velodrome,1,1.0,1.0,20.0,,32.0,,goal,0,0,0,20.0,,33.0,,0,1.0,2.0,2.0,3.0,37.0,68.0,0,0,1,0,1.0,1,1.0,1.0,12.0,17.0,0,,ZN189690022,other,,,,1.0,1.0,-1.0,-1.0,20.0,357.0,-1.0,20.0,1591.99,,,,,,1479.99,1705.0,,,,,1591.99,1591.99,1591.99,1592.495,1479.99,1705.0
EV1896902055,18969,3,P03,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900093,PL1896909306,EC18969002055,TV1896902055,Platinum,N10008,Velodrome,N10010,1.0,P100064,P100117,17.0,44.0,17.0,43.0,1064.0,1063.0,2536.0,2537.0,4336.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,55.0,5v5,,,,1.0,0,0,James Rynearson,N20252026F,4.0,,ZE0001,,,,,,,TB01,STR01,3.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896901007,Possession,PuckRetrieval,Velodrome,1,EV1896901508,Possession,PuckRecovery,Velodrome,1,1.0,1.0,16.0,,28.0,,goal,0,0,0,16.0,,29.0,,0,4.0,4.0,6.0,5.0,29.0,1044.0,0,0,0,0,0.0,5,5.0,5.0,16.0,21.0,0,,ZN189690026,other,,,,1.0,1.0,-1.0,-1.0,16.0,353.0,-1.0,16.0,1024.0,,,,,,1534.97,,,,,,1024.0,1024.0,1024.0,1534.97,1534.97,1534.97
EV1896901011,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900002,PL1896900206,EC18969001011,TV1896901011,Platinum,N10008,Velodrome,N10010,4.0,P100161,P100030,17.0,37.0,17.0,33.0,1057.0,1053.0,143.0,147.0,143.0,0,0,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,49.0,5v5,Delay,,s,1.0,0,0,Galen Wood,N20252026F,4.0,,ZE0001,,,,,,,TB01,STR01,5.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896902060,Possession,PuckRetrieval,Velodrome,1,EV1896901512,Zone_Entry_Exit,Zone_Exit,Platinum,0,1.0,0.0,9.0,,15.0,,goal,0,0,0,9.0,,16.0,,0,7.0,13.0,4.0,5.0,33.0,113.0,0,0,1,0,2.0,4,4.0,4.0,23.0,34.0,0,,ZN189690039,other,,,,1.0,0.0,-1.0,-1.0,9.0,346.0,-1.0,9.0,1356.99,,,,,,1679.98,,,,,,1356.99,1356.99,1356.99,1679.98,1679.98,1679.98
EV1896901514,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Pass,ED159,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905401,EC18969001514,TV1896901514,Platinum,N10008,Velodrome,N10010,3.0,"P100027,P100192","P100108,P100201",17.0,34.0,17.0,31.0,1054.0,1051.0,1346.0,1349.0,2246.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,DriveWide,,s,,0,0,Karen Zietlow,N20252026F,4.0,,ZE0010,,,,,,,TB01,STR01,2.0,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896902061,Pass,Pass_Completed,Velodrome,0,EV1896901012,Shot,Shot_Blocked,Velodrome,0,1.0,1.0,6.0,,11.0,,goal,0,0,0,6.0,,12.0,,0,3.0,4.0,3.0,11.0,37.0,68.0,0,0,1,0,1.0,1,7.0,8.0,26.0,38.0,0,,ZN189690043,other,,,,1.0,1.0,-1.0,-1.0,343.0,6.0,-1.0,6.0,1224.98,1705.0,,,,,922.98,1591.99,,,,,1464.99,1224.98,1705.0,1257.485,922.98,1591.99
EV1896901525,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,,,Offensive,ZN01,SQ1896900054,PL1896905407,EC18969001525,TV1896901525,Platinum,N10008,Velodrome,N10010,4.0,P100201,"P100023,P100192",17.0,15.0,17.0,11.0,1035.0,1031.0,1365.0,1369.0,2265.0,1200,900,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,42.0,5v5,DriveWide,,,,0,0,Garrett Ashcroft,N20252026F,4.0,,ZE0001,,,,,,,TB01,STR01,5.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901524,Possession,PuckRecovery,Velodrome,1,EV1896901022,Zone_Entry_Exit,Zone_Entry,Platinum,0,0.0,3.0,27.0,9.0,29.0,12.0,save,0,0,0,324.0,13.0,492.0,18.0,0,19.0,30.0,4.0,22.0,37.0,68.0,0,0,1,0,1.0,2,12.0,14.0,13.0,15.0,0,,ZN189690073,other,,,,0.0,3.0,13.0,-1.0,687.0,324.0,13.0,34.0,1591.99,,,,,,1718.99,1705.0,,,,,1591.99,1591.99,1591.99,1711.995,1705.0,1718.99
EV1896901022,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900002,PL1896900201,EC18969001022,TV1896901022,Platinum,N10008,Velodrome,N10010,4.0,P100030,"P100001,P100070",17.0,12.0,17.0,8.0,1032.0,1028.0,168.0,172.0,168.0,0,0,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,8.0,5v5,DriveWide,,s,1.0,0,0,Jesse Chambless,N20252026F,5.0,,ZE0001,,,,,,,TB01,STR01,5.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,1,,,,EV1896901525,Zone_Entry_Exit,Zone_Entry,Velodrome,0,EV1896901526,Turnover,Turnover_Takeaway,Platinum,1,3.0,1.0,24.0,12.0,28.0,13.0,save,1,0,0,321.0,16.0,491.0,19.0,0,3.0,1.0,7.0,16.0,33.0,113.0,0,0,1,0,2.0,1,15.0,15.0,16.0,16.0,0,,ZN189690074,other,,,,3.0,1.0,-1.0,16.0,321.0,684.0,16.0,31.0,1679.98,,,,,,1694.97,1568.98,,,,,1679.98,1679.98,1679.98,1631.975,1568.98,1694.97
EV1896901530,18969,2,P02,Zone_Entry_Exit,ET0006,Zone_Entry,ED0050,ZoneEntry_Carried,ED162,True,SC01,Offensive,ZN01,SQ1896900054,PL1896905412,EC18969001530,TV1896901530,Platinum,N10008,Velodrome,N10010,3.0,"P100023,P100024","P100070,P100093",17.0,4.0,17.0,1.0,1024.0,1021.0,1376.0,1379.0,2276.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,3.0,5v5,DriveWide,,s,,0,0,Pat Major,N20252026F,5.0,,ZE0001,,,,,,,TB01,STR01,3.0,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,,EV1896901024,Turnover,Turnover_Takeaway,Velodrome,0,EV1896901025,Turnover,Turnover_Giveaway,Velodrome,0,1.0,2.0,16.0,20.0,21.0,20.0,save,0,0,0,313.0,24.0,484.0,26.0,0,8.0,7.0,3.0,27.0,37.0,68.0,0,0,1,0,1.0,1,1.0,1.0,24.0,23.0,0,,ZN189690081,other,,,,1.0,2.0,-1.0,24.0,313.0,676.0,24.0,23.0,1669.99,999.99,,,,,1568.98,1261.0,,,,,1334.99,999.99,1669.99,1414.99,1261.0,1568.98
