zone_entry_key,game_id,player_id,total_entries,controlled_entries,dump_entries,failed_entries,entry_success_rate,_export_timestamp
P100192_18969,18969,P100192,38,0,0,4,0.0,2026-01-13T11:03:06.408154
P100093_18969,18969,P100093,25,0,0,0,0.0,2026-01-13T11:03:06.408374
P100064_18969,18969,P100064,13,0,0,0,0.0,2026-01-13T11:03:06.408583
P100198_18969,18969,P100198,20,0,0,2,0.0,2026-01-13T11:03:06.408779
P100117_18969,18969,P100117,32,0,0,0,0.0,2026-01-13T11:03:06.408982
P100001_18969,18969,P100001,37,0,0,0,0.0,2026-01-13T11:03:06.409193
P100023_18969,18969,P100023,25,0,0,0,0.0,2026-01-13T11:03:06.409413
P100132_18969,18969,P100132,14,0,0,0,0.0,2026-01-13T11:03:06.409615
P100039_18969,18969,P100039,11,0,0,0,0.0,2026-01-13T11:03:06.409808
P100002_18969,18969,P100002,15,0,0,0,0.0,2026-01-13T11:03:06.409999
P100222_18969,18969,P100222,14,0,0,2,0.0,2026-01-13T11:03:06.410196
P100107_18969,18969,P100107,16,0,0,1,0.0,2026-01-13T11:03:06.410422
P100224_18969,18969,P100224,14,0,0,2,0.0,2026-01-13T11:03:06.410637
P100210_18969,18969,P100210,20,0,0,2,0.0,2026-01-13T11:03:06.411173
P100108_18969,18969,P100108,15,0,0,0,0.0,2026-01-13T11:03:06.411368
P100022_18969,18969,P100022,32,0,0,0,0.0,2026-01-13T11:03:06.411568
P100161_18969,18969,P100161,30,0,0,1,0.0,2026-01-13T11:03:06.411799
P100070_18969,18969,P100070,26,0,0,0,0.0,2026-01-13T11:03:06.412018
P100201_18969,18969,P100201,28,0,0,2,0.0,2026-01-13T11:03:06.412217
P100105_18969,18969,P100105,29,0,0,6,0.0,2026-01-13T11:03:06.412456
P100027_18969,18969,P100027,7,0,0,1,0.0,2026-01-13T11:03:06.412645
P100025_18969,18969,P100025,19,0,0,1,0.0,2026-01-13T11:03:06.412854
P100030_18969,18969,P100030,28,0,0,2,0.0,2026-01-13T11:03:06.413072
P100024_18969,18969,P100024,8,0,0,1,0.0,2026-01-13T11:03:06.413262
P100110_18969,18969,P100110,6,0,0,0,0.0,2026-01-13T11:03:06.413466
P100202_18969,18969,P100202,1,0,0,0,0.0,2026-01-13T11:03:06.413656
P100038_18977,18977,P100038,20,0,0,0,0.0,2026-01-13T11:03:06.414292
P100100_18977,18977,P100100,17,0,0,0,0.0,2026-01-13T11:03:06.414521
P100201_18977,18977,P100201,20,0,0,0,0.0,2026-01-13T11:03:06.414725
P100086_18977,18977,P100086,34,0,0,0,0.0,2026-01-13T11:03:06.414936
P100132_18977,18977,P100132,16,0,0,0,0.0,2026-01-13T11:03:06.415145
P100088_18977,18977,P100088,50,0,0,0,0.0,2026-01-13T11:03:06.415355
P100070_18977,18977,P100070,35,0,0,0,0.0,2026-01-13T11:03:06.415612
P100084_18977,18977,P100084,38,0,0,0,0.0,2026-01-13T11:03:06.415827
P100105_18977,18977,P100105,25,0,0,0,0.0,2026-01-13T11:03:06.416039
P100159_18977,18977,P100159,30,0,0,0,0.0,2026-01-13T11:03:06.416295
P100161_18977,18977,P100161,26,0,0,0,0.0,2026-01-13T11:03:06.416534
P100123_18977,18977,P100123,29,0,0,0,0.0,2026-01-13T11:03:06.416776
P100108_18977,18977,P100108,9,0,0,0,0.0,2026-01-13T11:03:06.416975
P100001_18977,18977,P100001,36,0,0,0,0.0,2026-01-13T11:03:06.417182
P100211_18977,18977,P100211,16,0,0,0,0.0,2026-01-13T11:03:06.417406
P100230_18977,18977,P100230,11,0,0,0,0.0,2026-01-13T11:03:06.417619
P100002_18977,18977,P100002,13,0,0,0,0.0,2026-01-13T11:03:06.417833
P100224_18977,18977,P100224,11,0,0,0,0.0,2026-01-13T11:03:06.418034
P100198_18977,18977,P100198,28,0,0,0,0.0,2026-01-13T11:03:06.418247
P100049_18977,18977,P100049,10,0,0,0,0.0,2026-01-13T11:03:06.418439
P100097_18977,18977,P100097,24,0,0,0,0.0,2026-01-13T11:03:06.418642
P100081_18977,18977,P100081,13,0,0,0,0.0,2026-01-13T11:03:06.418837
P100047_18977,18977,P100047,35,0,0,0,0.0,2026-01-13T11:03:06.419073
P100091_18977,18977,P100091,4,0,0,0,0.0,2026-01-13T11:03:06.419297
P100039_18977,18977,P100039,8,0,0,0,0.0,2026-01-13T11:03:06.419530
P100119_18981,18981,P100119,39,0,0,0,0.0,2026-01-13T11:03:06.420092
P100078_18981,18981,P100078,23,0,0,0,0.0,2026-01-13T11:03:06.420294
P100039_18981,18981,P100039,9,0,0,0,0.0,2026-01-13T11:03:06.420484
P100001_18981,18981,P100001,40,0,0,0,0.0,2026-01-13T11:03:06.420695
P100164_18981,18981,P100164,27,0,0,0,0.0,2026-01-13T11:03:06.420920
P100159_18981,18981,P100159,27,0,0,0,0.0,2026-01-13T11:03:06.421124
P100072_18981,18981,P100072,12,0,0,0,0.0,2026-01-13T11:03:06.421319
P100093_18981,18981,P100093,34,0,0,0,0.0,2026-01-13T11:03:06.421517
P100161_18981,18981,P100161,15,0,0,0,0.0,2026-01-13T11:03:06.421714
P100066_18981,18981,P100066,34,0,0,0,0.0,2026-01-13T11:03:06.421936
P100074_18981,18981,P100074,40,0,0,0,0.0,2026-01-13T11:03:06.422150
P100197_18981,18981,P100197,49,0,0,0,0.0,2026-01-13T11:03:06.422375
P100061_18981,18981,P100061,24,0,0,0,0.0,2026-01-13T11:03:06.422586
P100108_18981,18981,P100108,22,0,0,0,0.0,2026-01-13T11:03:06.422787
P100230_18981,18981,P100230,12,0,0,0,0.0,2026-01-13T11:03:06.422994
P100002_18981,18981,P100002,30,0,0,0,0.0,2026-01-13T11:03:06.423189
P100079_18981,18981,P100079,32,0,0,0,0.0,2026-01-13T11:03:06.423509
P100070_18981,18981,P100070,30,0,0,0,0.0,2026-01-13T11:03:06.423824
P100132_18981,18981,P100132,18,0,0,0,0.0,2026-01-13T11:03:06.424069
P100111_18981,18981,P100111,5,0,0,0,0.0,2026-01-13T11:03:06.424353
P100201_18981,18981,P100201,19,0,0,0,0.0,2026-01-13T11:03:06.424563
P100198_18981,18981,P100198,35,0,0,0,0.0,2026-01-13T11:03:06.424799
P100071_18981,18981,P100071,13,0,0,0,0.0,2026-01-13T11:03:06.424998
P100105_18981,18981,P100105,20,0,0,0,0.0,2026-01-13T11:03:06.425195
P100224_18981,18981,P100224,9,0,0,0,0.0,2026-01-13T11:03:06.425388
P100016_18981,18981,P100016,1,0,0,0,0.0,2026-01-13T11:03:06.425572
P100224_18987,18987,P100224,17,0,0,0,0.0,2026-01-13T11:03:06.426063
P100001_18987,18987,P100001,63,0,0,4,0.0,2026-01-13T11:03:06.426297
P100214_18987,18987,P100214,24,0,0,2,0.0,2026-01-13T11:03:06.426507
P100032_18987,18987,P100032,49,0,0,3,0.0,2026-01-13T11:03:06.426718
P100232_18987,18987,P100232,31,0,0,1,0.0,2026-01-13T11:03:06.426930
P100223_18987,18987,P100223,13,0,0,0,0.0,2026-01-13T11:03:06.427146
