zone_exit_key,game_id,player_id,total_exits,controlled_exits,clear_exits,failed_exits,exit_success_rate,_export_timestamp
P100192_18969,18969,P100192,38,0,0,4,0.0,2026-01-13T11:03:06.474968
P100093_18969,18969,P100093,25,0,0,0,0.0,2026-01-13T11:03:06.475193
P100064_18969,18969,P100064,13,0,0,0,0.0,2026-01-13T11:03:06.475403
P100198_18969,18969,P100198,20,0,0,2,0.0,2026-01-13T11:03:06.475609
P100117_18969,18969,P100117,32,0,0,0,0.0,2026-01-13T11:03:06.475832
P100001_18969,18969,P100001,37,0,0,0,0.0,2026-01-13T11:03:06.476054
P100023_18969,18969,P100023,25,0,0,0,0.0,2026-01-13T11:03:06.476266
P100132_18969,18969,P100132,14,0,0,0,0.0,2026-01-13T11:03:06.476690
P100039_18969,18969,P100039,11,0,0,0,0.0,2026-01-13T11:03:06.476908
P100002_18969,18969,P100002,15,0,0,0,0.0,2026-01-13T11:03:06.477110
P100222_18969,18969,P100222,14,0,0,2,0.0,2026-01-13T11:03:06.477495
P100107_18969,18969,P100107,16,0,0,1,0.0,2026-01-13T11:03:06.477839
P100224_18969,18969,P100224,14,0,0,2,0.0,2026-01-13T11:03:06.478058
P100210_18969,18969,P100210,20,0,0,2,0.0,2026-01-13T11:03:06.478263
P100108_18969,18969,P100108,15,0,0,0,0.0,2026-01-13T11:03:06.478464
P100022_18969,18969,P100022,32,0,0,0,0.0,2026-01-13T11:03:06.478666
P100161_18969,18969,P100161,30,0,0,1,0.0,2026-01-13T11:03:06.478868
P100070_18969,18969,P100070,26,0,0,0,0.0,2026-01-13T11:03:06.479071
P100201_18969,18969,P100201,28,0,0,2,0.0,2026-01-13T11:03:06.479269
P100105_18969,18969,P100105,29,0,0,6,0.0,2026-01-13T11:03:06.479468
P100027_18969,18969,P100027,7,0,0,1,0.0,2026-01-13T11:03:06.479658
P100025_18969,18969,P100025,19,0,0,1,0.0,2026-01-13T11:03:06.479846
P100030_18969,18969,P100030,28,0,0,2,0.0,2026-01-13T11:03:06.480047
P100024_18969,18969,P100024,8,0,0,1,0.0,2026-01-13T11:03:06.480232
P100110_18969,18969,P100110,6,0,0,0,0.0,2026-01-13T11:03:06.480416
P100202_18969,18969,P100202,1,0,0,0,0.0,2026-01-13T11:03:06.480648
P100038_18977,18977,P100038,20,0,0,0,0.0,2026-01-13T11:03:06.481110
P100100_18977,18977,P100100,17,0,0,0,0.0,2026-01-13T11:03:06.481306
P100201_18977,18977,P100201,20,0,0,0,0.0,2026-01-13T11:03:06.481495
