event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,zone_exit_key,exit_method
EV1896901009,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900105,PL1896910504,EC18969001009,TV1896909002,SH1896900001,LV1896909002,Platinum,N10008,Velodrome,N10010,0.0,"P100070,P100161",,17.0,41.0,,,1061.0,1061.0,14.0,19.0,19.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,52.0,5v5,,,,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690009,other
EV1896901019,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,u,SC02,d,ZN02,SQ1896900105,PL1896910506,EC18969001019,TV1896909003,SH1896900001,LV1896909003,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",,17.0,20.0,,,1040.0,1040.0,35.0,40.0,40.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,21.0,5v5,,,,,,,,,,,0,,Andrew Marshall,N20252026F,4.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690019,other
EV1896901037,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900105,PL1896910508,EC18969001037,TV1896909005,SH1896900001,LV1896909005,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100108",,16.0,42.0,,,1002.0,1002.0,73.0,78.0,78.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,22.0,5v5,,,,,,,,,,,0,,Robert Mayfield,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690037,other
EV1896901053,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_OppTeam,ED2105,s,SC01,d,ZN02,SQ1896900107,PL1896910701,EC18969001053,TV1896909008,SH1896900002,LV1896909008,Platinum,N10008,Velodrome,N10010,0.0,P100201,,15.0,55.0,,,955.0,955.0,120.0,125.0,125.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,ZX0005,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690053,other
EV1896901064,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900107,PL1896910703,EC18969001064,TV1896909009,SH1896900002,LV1896909009,Platinum,N10008,Velodrome,N10010,0.0,"P100002,P100198",,15.0,39.0,,,939.0,939.0,136.0,141.0,141.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,84.0,5v5,Breakout,,s,,,,,,,,0,,Maxwell Donaty,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690064,other
EV1896901070,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,u,SC02,d,ZN02,SQ1896900107,PL1896910709,EC18969001070,TV1896909011,SH1896900002,LV1896909011,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100110",,15.0,32.0,,,932.0,932.0,143.0,148.0,148.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,3.0,5v5,,,,,,,,,,,0,,Alex Considine,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690070,other
EV1896901094,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900107,PL1896910719,EC18969001094,TV1896909016,SH1896900004,LV1896909016,Platinum,N10008,Velodrome,N10010,0.0,"P100117,P100210",,14.0,45.0,,,885.0,885.0,190.0,195.0,195.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,45.0,5v5,,,,,,,,,,,0,,Keegan Mantaro,N20252026F,5.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690094,other
EV1896901098,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_CausedTurnover,ED2101,s,SC01,d,ZN02,SQ1896900107,PL1896910723,EC18969001098,TV1896909017,SH1896900005,LV1896909017,Platinum,N10008,Velodrome,N10010,0.0,P100105,P100210,14.0,40.0,,,880.0,880.0,195.0,200.0,200.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,9.0,5v5,,,,1.0,,,,,,,0,,Ronnie Pinnell,N20252026F,5.0,,,ZX0001,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,1,,,,ZX189690098,other
EV1896901112,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_ExitFailed,,ZoneExit_Rush,ED2110,u,SC02,d,ZN02,SQ1896900109,PL1896910904,EC18969001112,TV1896909020,SH1896900007,LV1896909020,Platinum,N10008,Velodrome,N10010,0.0,P100105,P100030,13.0,58.0,,,838.0,838.0,237.0,242.0,242.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,9.0,5v5,AttemptedBreakOutRush,PokeCheck,u,1.0,,,,,,,0,,Ronnie Pinnell,N20252026F,5.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO04,0,0,1,,,,ZX189690112,rush
EV1896901145,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,u,SC02,d,ZN02,SQ1896900109,PL1896910908,EC18969001145,TV1896909025,SH1896900007,LV1896909025,Platinum,N10008,Velodrome,N10010,0.0,"P100064,P100132",,13.0,7.0,,,787.0,787.0,288.0,293.0,293.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,55.0,5v5,AttemptedBreakOutPass,,u,,,,,,,,0,,James Rynearson,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690145,other
EV1896901155,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900109,PL1896910912,EC18969001155,TV1896909027,SH1896900007,LV1896909027,Platinum,N10008,Velodrome,N10010,0.0,"P100064,P100132",P100222,12.0,50.0,,,770.0,770.0,305.0,310.0,310.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,14.0,5v5,,,,1.0,,,,,,,0,,Nick Ciampoli,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,1,,,,ZX189690155,other
EV1896901162,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,s,SC01,d,ZN02,SQ1896900006,PL1896900614,EC18969001162,TV1896901162,SH1896900008,,Platinum,N10008,Velodrome,N10010,2.0,P100210,,12.0,42.0,12.0,40.0,762.0,760.0,313.0,320.0,318.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,47.0,5v5,,,,,,,,,,,0,,Josh Simonds,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690162,rush
EV1896901208,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,s,SC01,n,ZN03,SQ1896900010,PL1896901003,EC18969001208,TV1896901208,SH1896900013,,Platinum,N10008,Velodrome,N10010,1.0,P100023,P100161,10.0,45.0,10.0,44.0,645.0,644.0,430.0,436.0,435.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,3.0,5v5,,,,1.0,,,,,,,0,,Alex Considine,N20252026F,5.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,1,,,,ZX189690208,rush
EV1896901215,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,s,SC01,d,ZN02,SQ1896900010,PL1896901004,EC18969001215,TV1896901215,SH1896900013,,Platinum,N10008,Velodrome,N10010,1.0,P100201,,10.0,31.0,10.0,30.0,631.0,630.0,444.0,450.0,449.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690215,rush
EV1896901233,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,u,SC02,d,ZN02,SQ1896900118,PL1896911804,EC18969001233,TV1896909039,SH1896900014,LV1896909039,Platinum,N10008,Velodrome,N10010,0.0,P100192,P100161,9.0,38.0,,,578.0,578.0,497.0,502.0,502.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,53.0,5v5,,,,1.0,,,,,,,0,,Chris Premo,N20252026F,4.0,,,ZX0010,,,,,,TB03,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,1,,,,ZX189690233,rush
EV1896901242,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,s,SC01,d,ZN02,SQ1896900014,PL1896901401,EC18969001242,TV1896901242,SH1896900016,,Platinum,N10008,Velodrome,N10010,1.0,P100070,,9.0,23.0,9.0,22.0,563.0,562.0,512.0,518.0,517.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,52.0,5v5,,,,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,ZX0010,,,,,,TB03,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690242,rush
EV1896901267,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,s,SC01,d,ZN02,SQ1896900014,PL1896901406,EC18969001267,TV1896901267,SH1896900018,,Platinum,N10008,Velodrome,N10010,1.0,P100192,,8.0,54.0,8.0,53.0,534.0,533.0,541.0,547.0,546.0,0.0,0.0,Home,h,Platinum,d,o,event_player_1,Offensive,1,e,53.0,5v5,,,,,,,,,,,0,,Chris Premo,N20252026F,4.0,,,ZX0010,,,,,,TB03,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189690267,rush
