accuracy_key,run_id,game_id,verified_at,expected_home_goals,expected_away_goals,actual_home_goals,actual_away_goals,expected_total,actual_total,passed,difference,source
QGA000000,20251231_015656,18969,2025-12-31T01:56:56.211186,4,3,4,3,7,7,True,0,noradhockey.com
QGA000001,20251231_015656,18977,2025-12-31T01:56:56.257713,3,5,3,2,8,5,False,-3,noradhockey.com
QGA000002,20251231_015656,18991,2025-12-31T01:56:56.305723,2,4,0,0,6,0,False,-6,noradhockey.com
QGA000003,20251231_015656,19011,2025-12-31T01:56:56.351208,6,2,0,0,8,0,False,-8,noradhockey.com
QGA000004,20251231_015906,18969,2025-12-31T01:59:06.759006,4,3,4,3,7,7,True,0,noradhockey.com
QGA000005,20251231_015906,18977,2025-12-31T01:59:06.798127,3,2,3,2,5,5,True,0,noradhockey.com
QGA000006,20251231_015906,18981,2025-12-31T01:59:06.838675,2,1,2,1,3,3,True,0,noradhockey.com
QGA000007,20251231_015906,18987,2025-12-31T01:59:06.877450,1,0,1,0,1,1,True,0,noradhockey.com
QGA000008,20251231_020207,18969,2025-12-31T02:02:07.576243,4,3,4,3,7,7,True,0,noradhockey.com
QGA000009,20251231_020207,18977,2025-12-31T02:02:07.615492,3,2,3,2,5,5,True,0,noradhockey.com
QGA000010,20251231_020207,18981,2025-12-31T02:02:07.654471,2,1,2,1,3,3,True,0,noradhockey.com
QGA000011,20251231_020207,18987,2025-12-31T02:02:07.693066,1,0,1,0,1,1,True,0,noradhockey.com
QGA000012,20251231_032542,18969,2025-12-31T03:25:43.051948,4,3,4,3,7,7,True,0,noradhockey.com
QGA000013,20251231_032542,18977,2025-12-31T03:25:43.087481,3,2,3,2,5,5,True,0,noradhockey.com
QGA000014,20251231_032542,18981,2025-12-31T03:25:43.124116,2,1,2,1,3,3,True,0,noradhockey.com
QGA000015,20251231_032542,18987,2025-12-31T03:25:43.160659,1,0,1,0,1,1,True,0,noradhockey.com
QGA000016,20251231_050652,18969,2025-12-31T05:06:53.139674,4,3,4,3,7,7,True,0,noradhockey.com
QGA000017,20251231_050652,18977,2025-12-31T05:06:53.185014,3,2,3,2,5,5,True,0,noradhockey.com
QGA000018,20251231_050652,18981,2025-12-31T05:06:53.226204,2,1,2,1,3,3,True,0,noradhockey.com
QGA000019,20251231_050652,18987,2025-12-31T05:06:53.263827,1,0,1,0,1,1,True,0,noradhockey.com
