qa_key,event_timestamp,game_id,player_id,player_name,category,stat,stat_value,expected,severity,note,resolved
18977_P100081_OUTLIER_toi_seconds,2025-12-29T20:35:17.390422,18977,P100081,Lee Smith,OUTLIER,toi_seconds,0.0,<60,WARNING,Value 0.0 exceeds threshold (<60),False
18977_P100081_OUTLIER_cf_pct,2025-12-29T20:35:17.390440,18977,P100081,Lee Smith,OUTLIER,cf_pct,0.0,<15,WARNING,Value 0.0 exceeds threshold (<15),False
18977_P100088_OUTLIER_shots,2025-12-29T20:35:17.390622,18977,P100088,Hayden Smith,OUTLIER,shots,23.0,>20,WARNING,Value 23 exceeds threshold (>20),False
18977_P100096_OUTLIER_toi_seconds,2025-12-29T20:35:17.390735,18977,P100096,Jared Wolf,OUTLIER,toi_seconds,3185.0,>2400,WARNING,Value 3185.0 exceeds threshold (>2400),False
18977_P100198_OUTLIER_toi_seconds,2025-12-29T20:35:17.391212,18977,P100198,Maxwell Donaty,OUTLIER,toi_seconds,0.0,<60,WARNING,Value 0.0 exceeds threshold (<60),False
18977_P100198_OUTLIER_cf_pct,2025-12-29T20:35:17.391216,18977,P100198,Maxwell Donaty,OUTLIER,cf_pct,0.0,<15,WARNING,Value 0.0 exceeds threshold (<15),False
18977_nan_INCOMPLETE_GAME_data_quality,2025-12-29T20:35:17.405610,18977,,,INCOMPLETE_GAME,data_quality,,,WARNING,"No assists tracked (6 goals, 0 assists)",False
18981_nan_INCOMPLETE_GAME_data_quality,2025-12-29T20:35:17.407493,18981,,,INCOMPLETE_GAME,data_quality,,,WARNING,"No assists tracked (3 goals, 0 assists)",False
18965_nan_UNTRACKED_GAME_tracking_completeness,2025-12-29T20:35:19.193056,18965,,,UNTRACKED_GAME,tracking_completeness,0.0,,INFO,Tracking template exists but not filled in,False
18991_nan_UNTRACKED_GAME_tracking_completeness,2025-12-29T20:35:19.889108,18991,,,UNTRACKED_GAME,tracking_completeness,0.05,,INFO,Tracking template exists but not filled in,False
19032_nan_UNTRACKED_GAME_tracking_completeness,2025-12-29T20:35:20.380368,19032,,,UNTRACKED_GAME,tracking_completeness,0.0,,INFO,Tracking template exists but not filled in,False
