event_detail_id,event_detail_code,event_detail_name,event_type,category,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
ED0001,Shot_OnNetSaved,Shot OnNetSaved,Shot,shot_on_goal,True,False,False,False,medium
ED0002,Shot_Goal,Shot Goal,Shot,goal,True,True,False,False,high
ED0003,Goal_Scored,Goal Scored,Shot,goal,True,True,False,False,high
ED0004,Shot_Missed,Shot Missed,Shot,missed_shot,False,False,True,False,low
ED0005,Shot_MissedWide,Shot MissedWide,Shot,missed_shot,False,False,True,False,low
ED0006,Shot_MissedHigh,Shot MissedHigh,Shot,missed_shot,False,False,True,False,low
ED0007,Shot_HitPost,Shot HitPost,Shot,missed_shot,False,False,True,False,high
ED0008,Shot_Blocked,Shot Blocked,Shot,blocked_shot,False,False,False,True,medium
ED0009,Shot_TippedOnNetSaved,Shot TippedOnNetSaved,Shot,shot_on_goal,True,False,False,False,high
ED0010,Shot_DeflectedOnNetSaved,Shot DeflectedOnNetSaved,Shot,shot_on_goal,True,False,False,False,high
ED0020,Pass_Completed,Pass Completed,Pass,completed_pass,False,False,False,False,
ED0021,Pass_Missed,Pass Missed,Pass,failed_pass,False,False,False,False,
ED0022,Pass_Intercepted,Pass Intercepted,Pass,failed_pass,False,False,False,False,
ED0030,Turnover_Giveaway,Turnover Giveaway,Turnover,giveaway,False,False,False,False,
ED0031,Turnover_Takeaway,Turnover Takeaway,Turnover,takeaway,False,False,False,False,
ED0032,Turnover_BadPass,Turnover BadPass,Turnover,giveaway,False,False,False,False,
ED0033,Turnover_LostPuck,Turnover LostPuck,Turnover,giveaway,False,False,False,False,
ED0040,Zone_Entry_Carry,Zone Entry Carry,Zone_Entry_Exit,controlled_entry,False,False,False,False,
ED0041,Zone_Entry_Pass,Zone Entry Pass,Zone_Entry_Exit,controlled_entry,False,False,False,False,
ED0042,Zone_Entry_Dump,Zone Entry Dump,Zone_Entry_Exit,uncontrolled_entry,False,False,False,False,
ED0043,Zone_Entry_Failed,Zone Entry Failed,Zone_Entry_Exit,failed_entry,False,False,False,False,
ED0044,Zone_Exit_Carry,Zone Exit Carry,Zone_Entry_Exit,controlled_exit,False,False,False,False,
ED0045,Zone_Exit_Pass,Zone Exit Pass,Zone_Entry_Exit,controlled_exit,False,False,False,False,
ED0046,Zone_Exit_Clear,Zone Exit Clear,Zone_Entry_Exit,uncontrolled_exit,False,False,False,False,
ED0050,Save_Blocker,Save Blocker,Save,save,False,False,False,False,
ED0051,Save_Glove,Save Glove,Save,save,False,False,False,False,
ED0052,Save_Pad,Save Pad,Save,save,False,False,False,False,
ED0053,Save_Stick,Save Stick,Save,save,False,False,False,False,
ED0054,Save_Body,Save Body,Save,save,False,False,False,False,
ED0055,Save_Rebound,Save Rebound,Save,save,False,False,False,False,
ED0056,Save_Freeze,Save Freeze,Save,save,False,False,False,False,
