event_type_id,event_type_code,event_type_name,event_category,description,is_corsi,is_fenwick
ET0001,Shot,Shot,offensive,Shot attempt on goal,True,True
ET0002,Save,Save,goaltending,Goalie save,False,False
ET0003,Pass,Pass,playmaking,Pass attempt,False,False
ET0004,Faceoff,Faceoff,faceoff,Faceoff,False,False
ET0005,Turnover,Turnover,turnover,Puck turnover,False,False
ET0006,Zone_Entry_Exit,Zone Entry Exit,transition,Zone entry or exit,False,False
ET0007,Possession,Possession,possession,Puck possession,False,False
ET0008,Penalty,Penalty,penalty,Penalty taken/drawn,False,False
ET0009,Hit,Hit,physical,Body check,False,False
ET0010,Block,Block,defensive,Shot block,True,False
ET0011,Stoppage,Stoppage,stoppage,Play stoppage,False,False
ET0012,Goal,Goal,scoring,Goal scored,True,True
