micro_stat_id,stat_code,stat_name,category
MS001,deke_attempts,Deke Attempts,offensive
MS002,dekes_successful,Successful Dekes,offensive
MS003,screens,Screens,offensive
MS004,crash_net,Crash Net,offensive
MS005,drives_middle,Drives Middle,offensive
MS006,drives_wide,Drives Wide,offensive
MS007,cycle_plays,Cycle Plays,offensive
MS008,tip_attempts,Tip/Deflection Attempts,offensive
MS010,backchecks,Backchecks,defensive
MS011,poke_checks,Poke Checks,defensive
MS012,stick_checks,Stick Checks,defensive
MS013,blocked_shots_play,Shot Blocks (Play),defensive
MS014,in_lane,In Passing Lane,defensive
MS015,separate_from_puck,Separate from Puck,defensive
MS020,breakouts,Breakouts,transition
MS021,forechecks,Forechecks,transition
MS022,dump_and_chase,Dump and Chase,transition
MS023,zone_entry_denials,Zone Entry Denials,transition
MS024,zone_exit_denials,Zone Exit Denials,transition
MS030,loose_puck_wins,Loose Puck Wins,battles
MS031,loose_puck_losses,Loose Puck Losses,battles
MS032,puck_recoveries,Puck Recoveries,battles
