play_detail_id,play_detail_code,play_detail_name,play_category,skill_level,description
PD0001,AssistPrimary,AssistPrimary,scoring,Standard,Primary assist on goal
PD0002,AssistSecondary,AssistSecondary,scoring,Standard,Secondary assist on goal
PD0003,StickCheck,StickCheck,defense,Standard,Stick check to disrupt opponent
PD0004,PokeCheck,PokeCheck,defense,Standard,Poke check to steal puck
PD0005,BlockedShot,BlockedShot,defense,Standard,Blocked an opponent shot
PD0006,InShotPassLane,InShotPassLane,defense,Standard,Positioned in shot/pass lane
PD0007,SeparateFromPuck,SeparateFromPuck,defense,Standard,Separated opponent from puck
PD0008,Backcheck,Backcheck,defense,Standard,Backcheck effort
PD0009,ZoneEntryDenial,ZoneEntryDenial,defense,Standard,Denied zone entry
PD0010,ZoneExitDenial,ZoneExitDenial,defense,Standard,Denied zone exit
PD0011,TakeAway,TakeAway,defense,Standard,Took puck from opponent
PD0012,Deke,Deke,offense,Standard,Deke attempt
PD0013,BeatDeke,BeatDeke,offense,Standard,Successfully beat defender with deke
PD0014,Screen,Screen,offense,Standard,Screen on goalie
PD0015,DumpAndChase,DumpAndChase,offense,Standard,Dump and chase play
PD0016,Tip,Tip,offense,Standard,Tip/deflection attempt
PD0017,OneTimer,OneTimer,offense,Standard,One-timer shot
PD0018,DriveMiddle,DriveMiddle,drive,Standard,Drive to middle
PD0019,DriveWide,DriveWide,drive,Standard,Drive wide
PD0020,DriveCorner,DriveCorner,drive,Standard,Drive to corner
PD0021,DriveNetMiddle,DriveNetMiddle,drive,Standard,Drive to net front
PD0022,BeatMiddle,BeatMiddle,drive,Standard,Beat defender to middle
PD0023,BeatWide,BeatWide,drive,Standard,Beat defender wide
PD0024,Breakout,Breakout,transition,Standard,Breakout play
PD0025,AttemptedBreakOutPass,AttemptedBreakOutPass,transition,Standard,Attempted breakout pass
PD0026,AttemptedBreakOutRush,AttemptedBreakOutRush,transition,Standard,Attempted breakout rush
PD0027,PuckRecovery,PuckRecovery,recovery,Standard,Recovered loose puck
PD0028,BoardBattleWin,BoardBattleWin,recovery,Standard,Won board battle
PD0029,BoardBattleLoss,BoardBattleLoss,recovery,Standard,Lost board battle
PD0030,CrashNet,CrashNet,offense,Standard,Crash the net
PD0031,Cycle,Cycle,offense,Standard,Cycle play in offensive zone
PD0032,Forecheck,Forecheck,offense,Standard,Forecheck pressure
PD0033,QuickUp,QuickUp,offense,Standard,Quick up pass
PD0034,Reverse,Reverse,offense,Standard,Reverse play direction
PD0035,Pressure,Pressure,defense,Standard,Defensive pressure on puck carrier
PD0036,Contain,Contain,defense,Standard,Contain opponent positioning
PD0037,Surf,Surf,defense,Standard,Surf/shadow defensive positioning
PD0038,AttemptedBlockedShot,AttemptedBlockedShot,other,Standard,Micro-play action from tracking data
PD0039,AttemptedBreakOutClear,AttemptedBreakOutClear,other,Standard,Micro-play action from tracking data
PD0040,AttemptedEntryDumpIn,AttemptedEntryDumpIn,other,Standard,Micro-play action from tracking data
PD0041,AttemptedEntryPass,AttemptedEntryPass,other,Standard,Micro-play action from tracking data
PD0042,AttemptedEntryRush,AttemptedEntryRush,other,Standard,Micro-play action from tracking data
PD0043,AttemptedKeepin,AttemptedKeepin,other,Standard,Micro-play action from tracking data
PD0044,AttemptedShot,AttemptedShot,other,Standard,Micro-play action from tracking data
PD0045,AttemptedTip_Deflection,AttemptedTip_Deflection,other,Standard,Micro-play action from tracking data
PD0046,BoxOut,BoxOut,other,Standard,Micro-play action from tracking data
PD0047,CededZoneEntry,CededZoneEntry,other,Standard,Micro-play action from tracking data
PD0048,Chip,Chip,other,Standard,Micro-play action from tracking data
PD0049,CutBack,CutBack,other,Standard,Micro-play action from tracking data
PD0050,DefensivePlay_Zone_PuckRecoveryFaceoff,DefensivePlay_Zone_PuckRecoveryFaceoff,defensive,Standard,Micro-play action from tracking data
PD0051,DefensivePlay_Zone_PuckRetreivalFaceoff,DefensivePlay_Zone_PuckRetreivalFaceoff,defensive,Standard,Micro-play action from tracking data
PD0052,DefensivePlay_Zone_PuckRetreivalOther,DefensivePlay_Zone_PuckRetreivalOther,defensive,Standard,Micro-play action from tracking data
PD0053,Defensive_PlayPass_PassDeflected,Defensive_PlayPass_PassDeflected,defensive,Standard,Micro-play action from tracking data
PD0054,Defensive_PlayPass_PassIntercepted,Defensive_PlayPass_PassIntercepted,defensive,Standard,Micro-play action from tracking data
PD0055,Defensive_PlayPossession_FroceWide,Defensive_PlayPossession_FroceWide,defensive,Standard,Micro-play action from tracking data
PD0056,Defensive_PlayPossession_ManOnMan,Defensive_PlayPossession_ManOnMan,defensive,Standard,Micro-play action from tracking data
PD0057,Defensive_PlayShot_BoxOut,Defensive_PlayShot_BoxOut,defensive,Standard,Micro-play action from tracking data
PD0058,Defensive_PlayShot_FrontofNet,Defensive_PlayShot_FrontofNet,defensive,Standard,Micro-play action from tracking data
PD0059,Defensive_PlayZone_ForcedDumpin_Clear,Defensive_PlayZone_ForcedDumpin_Clear,defensive,Standard,Micro-play action from tracking data
PD0060,Defensive_PlayZone_PuckRecoveryDumpIn,Defensive_PlayZone_PuckRecoveryDumpIn,defensive,Standard,Micro-play action from tracking data
PD0061,Defensive_PlayZone_PuckRecoveryPass,Defensive_PlayZone_PuckRecoveryPass,defensive,Standard,Micro-play action from tracking data
PD0062,Defensive_PlayZone_PuckRecoveryRebound,Defensive_PlayZone_PuckRecoveryRebound,defensive,Standard,Micro-play action from tracking data
PD0063,Defensive_PlayZone_PuckRecoveryShot,Defensive_PlayZone_PuckRecoveryShot,defensive,Standard,Micro-play action from tracking data
PD0064,Defensive_PlayZone_PuckRecoveryTurnover,Defensive_PlayZone_PuckRecoveryTurnover,defensive,Standard,Micro-play action from tracking data
PD0065,Defensive_PlayZone_PuckRetreivalPass,Defensive_PlayZone_PuckRetreivalPass,defensive,Standard,Micro-play action from tracking data
PD0066,Defensive_PlayZone_PuckRetreivalTurnover,Defensive_PlayZone_PuckRetreivalTurnover,defensive,Standard,Micro-play action from tracking data
PD0067,Defensive_PlayZone_PuckRetrievalDumpIn,Defensive_PlayZone_PuckRetrievalDumpIn,defensive,Standard,Micro-play action from tracking data
PD0068,Defensive_PlayZone_PuckRetrievalRebound,Defensive_PlayZone_PuckRetrievalRebound,defensive,Standard,Micro-play action from tracking data
PD0069,Defensive_PlayZone_PuckRetrievalShot,Defensive_PlayZone_PuckRetrievalShot,defensive,Standard,Micro-play action from tracking data
PD0070,Defensive_Zone_CededZoneEntry,Defensive_Zone_CededZoneEntry,defensive,Standard,Micro-play action from tracking data
PD0071,DeflectedShot,DeflectedShot,other,Standard,Micro-play action from tracking data
PD0072,Delay,Delay,other,Standard,Micro-play action from tracking data
PD0073,DumpChase,DumpChase,other,Standard,Micro-play action from tracking data
PD0074,DumpInAttempt,DumpInAttempt,other,Standard,Micro-play action from tracking data
PD0075,Dump_RimInZone,Dump_RimInZone,other,Standard,Micro-play action from tracking data
PD0076,ForceWide,ForceWide,other,Standard,Micro-play action from tracking data
PD0077,ForcedDumpin_Clear,ForcedDumpin_Clear,other,Standard,Micro-play action from tracking data
PD0078,ForcedTurnover,ForcedTurnover,other,Standard,Micro-play action from tracking data
PD0079,FrontofNet,FrontofNet,other,Standard,Micro-play action from tracking data
PD0080,GiveAndGo,GiveAndGo,other,Standard,Micro-play action from tracking data
PD0081,LoosePuckBattleLost,LoosePuckBattleLost,other,Standard,Micro-play action from tracking data
PD0082,LoosePuckBattleWon,LoosePuckBattleWon,other,Standard,Micro-play action from tracking data
PD0083,LostPuck,LostPuck,other,Standard,Micro-play action from tracking data
PD0084,ManOnMan,ManOnMan,other,Standard,Micro-play action from tracking data
PD0085,OffensivePlay_Pass_SecondTouch,OffensivePlay_Pass_SecondTouch,offensive,Standard,Micro-play action from tracking data
PD0086,OffensivePlay_Possession_Chip,OffensivePlay_Possession_Chip,offensive,Standard,Micro-play action from tracking data
PD0087,OffensivePlay_Possession_DriveNetWide,OffensivePlay_Possession_DriveNetWide,offensive,Standard,Micro-play action from tracking data
PD0088,OffensivePlay_Possession_OpenIceDeke,OffensivePlay_Possession_OpenIceDeke,offensive,Standard,Micro-play action from tracking data
PD0089,OffensivePlay_Zone_DumpChase,OffensivePlay_Zone_DumpChase,offensive,Standard,Micro-play action from tracking data
PD0090,OffensivePlay_Zone_DumpInAttempt,OffensivePlay_Zone_DumpInAttempt,offensive,Standard,Micro-play action from tracking data
PD0091,OffensivePlay_Zone_Dump_RimInZone,OffensivePlay_Zone_Dump_RimInZone,offensive,Standard,Micro-play action from tracking data
PD0092,OffensivePlay_Zone_PuckRecoveryDumpIn,OffensivePlay_Zone_PuckRecoveryDumpIn,offensive,Standard,Micro-play action from tracking data
PD0093,OffensivePlay_Zone_PuckRecoveryFaceoff,OffensivePlay_Zone_PuckRecoveryFaceoff,offensive,Standard,Micro-play action from tracking data
PD0094,OffensivePlay_Zone_PuckRecoveryOther,OffensivePlay_Zone_PuckRecoveryOther,offensive,Standard,Micro-play action from tracking data
PD0095,OffensivePlay_Zone_PuckRecoveryPass,OffensivePlay_Zone_PuckRecoveryPass,offensive,Standard,Micro-play action from tracking data
PD0096,OffensivePlay_Zone_PuckRecoveryRebound,OffensivePlay_Zone_PuckRecoveryRebound,offensive,Standard,Micro-play action from tracking data
PD0097,OffensivePlay_Zone_PuckRecoveryShot,OffensivePlay_Zone_PuckRecoveryShot,offensive,Standard,Micro-play action from tracking data
PD0098,OffensivePlay_Zone_PuckRecoveryTurnover,OffensivePlay_Zone_PuckRecoveryTurnover,offensive,Standard,Micro-play action from tracking data
PD0099,OffensivePlay_Zone_PuckRetreivalFaceoff,OffensivePlay_Zone_PuckRetreivalFaceoff,offensive,Standard,Micro-play action from tracking data
PD0100,OffensivePlay_Zone_PuckRetreivalPass,OffensivePlay_Zone_PuckRetreivalPass,offensive,Standard,Micro-play action from tracking data
PD0101,OffensivePlay_Zone_PuckRetreivalRebound,OffensivePlay_Zone_PuckRetreivalRebound,offensive,Standard,Micro-play action from tracking data
PD0102,OffensivePlay_Zone_PuckRetreivalShot,OffensivePlay_Zone_PuckRetreivalShot,offensive,Standard,Micro-play action from tracking data
PD0103,OffensivePlay_Zone_PuckRetreivalTurnover,OffensivePlay_Zone_PuckRetreivalTurnover,offensive,Standard,Micro-play action from tracking data
PD0104,OffensivePlay_Zone_PuckRetrievalDumpIn,OffensivePlay_Zone_PuckRetrievalDumpIn,offensive,Standard,Micro-play action from tracking data
PD0105,OffensivePlay_Zone_PuckRetrievalShot,OffensivePlay_Zone_PuckRetrievalShot,offensive,Standard,Micro-play action from tracking data
PD0106,Offensive_Zone_AttemptedEntryDumpIn,Offensive_Zone_AttemptedEntryDumpIn,offensive,Standard,Micro-play action from tracking data
PD0107,Offensive_Zone_AttemptedEntryPass,Offensive_Zone_AttemptedEntryPass,offensive,Standard,Micro-play action from tracking data
PD0108,Offensive_Zone_AttemptedEntryRush,Offensive_Zone_AttemptedEntryRush,offensive,Standard,Micro-play action from tracking data
PD0109,Offensive_Zone_CededZoneExit,Offensive_Zone_CededZoneExit,offensive,Standard,Micro-play action from tracking data
PD0110,PassDeflected,PassDeflected,other,Standard,Micro-play action from tracking data
PD0111,PassForTip,PassForTip,other,Standard,Micro-play action from tracking data
PD0112,PassIntercepted,PassIntercepted,other,Standard,Micro-play action from tracking data
PD0113,PuckRecoveryRetreivalAttemptedClear,PuckRecoveryRetreivalAttemptedClear,recovery,Standard,Micro-play action from tracking data
PD0114,PuckRecoveryRetreivalClear,PuckRecoveryRetreivalClear,recovery,Standard,Micro-play action from tracking data
PD0115,PuckRecoveryRetreivalDumpIn,PuckRecoveryRetreivalDumpIn,recovery,Standard,Micro-play action from tracking data
PD0116,PuckRecoveryRetreivalFaceoff,PuckRecoveryRetreivalFaceoff,recovery,Standard,Micro-play action from tracking data
PD0117,PuckRecoveryRetreivalLoosePuckBattle,PuckRecoveryRetreivalLoosePuckBattle,recovery,Standard,Micro-play action from tracking data
PD0118,PuckRecoveryRetreivalOther,PuckRecoveryRetreivalOther,recovery,Standard,Micro-play action from tracking data
PD0119,PuckRecoveryRetreivalPass,PuckRecoveryRetreivalPass,recovery,Standard,Micro-play action from tracking data
PD0120,PuckRecoveryRetreivalRebound,PuckRecoveryRetreivalRebound,recovery,Standard,Micro-play action from tracking data
PD0121,PuckRecoveryRetreivalShot,PuckRecoveryRetreivalShot,recovery,Standard,Micro-play action from tracking data
PD0122,PuckRecoveryRetreivalTurnover,PuckRecoveryRetreivalTurnover,recovery,Standard,Micro-play action from tracking data
PD0123,ReceiverMissed,ReceiverMissed,other,Standard,Micro-play action from tracking data
PD0124,RecoveryRetreivalAttemptedClear,RecoveryRetreivalAttemptedClear,recovery,Standard,Micro-play action from tracking data
PD0125,RecoveryRetreivalClear,RecoveryRetreivalClear,recovery,Standard,Micro-play action from tracking data
PD0126,RecoveryRetreivalDumpIn,RecoveryRetreivalDumpIn,recovery,Standard,Micro-play action from tracking data
PD0127,RecoveryRetreivalFaceoff,RecoveryRetreivalFaceoff,recovery,Standard,Micro-play action from tracking data
PD0128,RecoveryRetreivalPass,RecoveryRetreivalPass,recovery,Standard,Micro-play action from tracking data
PD0129,RecoveryRetreivalRebound,RecoveryRetreivalRebound,recovery,Standard,Micro-play action from tracking data
PD0130,RecoveryRetreivalShot,RecoveryRetreivalShot,recovery,Standard,Micro-play action from tracking data
PD0131,RecoveryRetreivalTurnover,RecoveryRetreivalTurnover,recovery,Standard,Micro-play action from tracking data
PD0132,SecondTouch,SecondTouch,other,Standard,Micro-play action from tracking data
PD0133,StoppedDeke,StoppedDeke,other,Standard,Micro-play action from tracking data
PD0134,ZoneKeepin,ZoneKeepin,other,Standard,Micro-play action from tracking data
