play_detail_2_id,play_detail_2_code,play_detail_2_name,play_category,skill_level,description
PD201,AttemptedBreakOutPass,AttemptedBreakOutPass,offensive,Standard,Secondary play detail from tracking
PD202,AttemptedEntryRush,AttemptedEntryRush,other,Standard,Secondary play detail from tracking
PD203,AttemptedTip_Deflection,AttemptedTip_Deflection,other,Standard,Secondary play detail from tracking
PD204,Backcheck,Backcheck,other,Standard,Secondary play detail from tracking
PD205,BeatMiddle,BeatMiddle,other,Standard,Secondary play detail from tracking
PD206,Breakout,Breakout,other,Standard,Secondary play detail from tracking
PD207,CrashNet,CrashNet,other,Standard,Secondary play detail from tracking
PD208,CutBack,CutBack,other,Standard,Secondary play detail from tracking
PD209,Defensive_PlayPass_InShotPassLane,Defensive_PlayPass_InShotPassLane,defensive,Standard,Secondary play detail from tracking
PD210,Defensive_PlayPossession_BeatDeke,Defensive_PlayPossession_BeatDeke,defensive,Standard,Secondary play detail from tracking
PD211,Defensive_PlayPossession_BeatMiddle,Defensive_PlayPossession_BeatMiddle,defensive,Standard,Secondary play detail from tracking
PD212,Defensive_PlayPossession_GapControl,Defensive_PlayPossession_GapControl,defensive,Standard,Secondary play detail from tracking
PD213,Defensive_PlayPossession_PokeCheck,Defensive_PlayPossession_PokeCheck,defensive,Standard,Secondary play detail from tracking
PD214,Defensive_PlayPossession_SeparateFromPuck,Defensive_PlayPossession_SeparateFromPuck,defensive,Standard,Secondary play detail from tracking
PD215,Defensive_PlayPossession_StickCheck,Defensive_PlayPossession_StickCheck,defensive,Standard,Secondary play detail from tracking
PD216,Defensive_PlayShot_BlockedShot,Defensive_PlayShot_BlockedShot,defensive,Standard,Secondary play detail from tracking
PD217,Defensive_PlayShot_BoxOut,Defensive_PlayShot_BoxOut,defensive,Standard,Secondary play detail from tracking
PD218,Defensive_PlayZone_PuckRetrievalDumpIn,Defensive_PlayZone_PuckRetrievalDumpIn,defensive,Standard,Secondary play detail from tracking
PD219,Defensive_PlayZone_ZoneEntryDenial,Defensive_PlayZone_ZoneEntryDenial,defensive,Standard,Secondary play detail from tracking
PD220,Defensive_Zone_AttemptedBreakOutClear,Defensive_Zone_AttemptedBreakOutClear,defensive,Standard,Secondary play detail from tracking
PD221,Defensive_Zone_AttemptedBreakOutPass,Defensive_Zone_AttemptedBreakOutPass,defensive,Standard,Secondary play detail from tracking
PD222,Deke,Deke,other,Standard,Secondary play detail from tracking
PD223,Delay,Delay,other,Standard,Secondary play detail from tracking
PD224,DriveWide,DriveWide,other,Standard,Secondary play detail from tracking
PD225,DumpChase,DumpChase,other,Standard,Secondary play detail from tracking
PD226,DumpInAttempt,DumpInAttempt,other,Standard,Secondary play detail from tracking
PD227,FakeShot,FakeShot,offensive,Standard,Secondary play detail from tracking
PD228,ForceWide,ForceWide,other,Standard,Secondary play detail from tracking
PD229,GiveAndGo,GiveAndGo,other,Standard,Secondary play detail from tracking
PD230,InShotPassLane,InShotPassLane,offensive,Standard,Secondary play detail from tracking
PD231,ManOnMan,ManOnMan,other,Standard,Secondary play detail from tracking
PD232,OffensivePlay_Pass_GiveAndGo,OffensivePlay_Pass_GiveAndGo,offensive,Standard,Secondary play detail from tracking
PD233,OffensivePlay_Pass_QuickUp,OffensivePlay_Pass_QuickUp,offensive,Standard,Secondary play detail from tracking
PD234,OffensivePlay_Pass_ReceiverMissed,OffensivePlay_Pass_ReceiverMissed,offensive,Standard,Secondary play detail from tracking
PD235,OffensivePlay_Pass_Reverse,OffensivePlay_Pass_Reverse,offensive,Standard,Secondary play detail from tracking
PD236,OffensivePlay_Pass_SecondTouch,OffensivePlay_Pass_SecondTouch,offensive,Standard,Secondary play detail from tracking
PD237,OffensivePlay_Possession_Chip,OffensivePlay_Possession_Chip,offensive,Standard,Secondary play detail from tracking
PD238,OffensivePlay_Possession_CrashNet,OffensivePlay_Possession_CrashNet,offensive,Standard,Secondary play detail from tracking
PD239,OffensivePlay_Possession_CutBack,OffensivePlay_Possession_CutBack,offensive,Standard,Secondary play detail from tracking
PD240,OffensivePlay_Possession_Deke,OffensivePlay_Possession_Deke,offensive,Standard,Secondary play detail from tracking
PD241,OffensivePlay_Possession_Delay,OffensivePlay_Possession_Delay,offensive,Standard,Secondary play detail from tracking
PD242,OffensivePlay_Possession_DriveMiddle,OffensivePlay_Possession_DriveMiddle,offensive,Standard,Secondary play detail from tracking
PD243,OffensivePlay_Possession_DriveNetWide,OffensivePlay_Possession_DriveNetWide,offensive,Standard,Secondary play detail from tracking
PD244,OffensivePlay_Possession_DriveWide,OffensivePlay_Possession_DriveWide,offensive,Standard,Secondary play detail from tracking
PD245,OffensivePlay_Shot_Screen,OffensivePlay_Shot_Screen,offensive,Standard,Secondary play detail from tracking
PD246,OffensivePlay_Zone_Breakout,OffensivePlay_Zone_Breakout,offensive,Standard,Secondary play detail from tracking
PD247,OffensivePlay_Zone_Cycle,OffensivePlay_Zone_Cycle,offensive,Standard,Secondary play detail from tracking
PD248,OffensivePlay_Zone_Dump_RimInZone,OffensivePlay_Zone_Dump_RimInZone,offensive,Standard,Secondary play detail from tracking
PD249,OffensivePlay_Zone_Forecheck,OffensivePlay_Zone_Forecheck,offensive,Standard,Secondary play detail from tracking
PD250,Offensive_Zone_AttemptedKeepin,Offensive_Zone_AttemptedKeepin,offensive,Standard,Secondary play detail from tracking
PD251,PassDeflected,PassDeflected,offensive,Standard,Secondary play detail from tracking
PD252,PokeCheck,PokeCheck,defensive,Standard,Secondary play detail from tracking
PD253,PuckRecoveryRetreivalDumpIn,PuckRecoveryRetreivalDumpIn,other,Standard,Secondary play detail from tracking
PD254,Regroup,Regroup,other,Standard,Secondary play detail from tracking
PD255,Reverse,Reverse,other,Standard,Secondary play detail from tracking
PD256,Screen,Screen,other,Standard,Secondary play detail from tracking
PD257,SecondTouch,SecondTouch,other,Standard,Secondary play detail from tracking
PD258,SeparateFromPuck,SeparateFromPuck,other,Standard,Secondary play detail from tracking
PD259,StickCheck,StickCheck,defensive,Standard,Secondary play detail from tracking
PD260,ZoneEntryDenial,ZoneEntryDenial,other,Standard,Secondary play detail from tracking
PD261,ZoneExitDenial,ZoneExitDenial,other,Standard,Secondary play detail from tracking
PD262,ZoneKeepin,ZoneKeepin,other,Standard,Secondary play detail from tracking
