rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RC0001,OZ_SLOT,Offensive Zone - Slot,coarse,54.0,89.0,-22.0,22.0,offensive,,,,
RC0002,OZ_HIGH,Offensive Zone - High,coarse,25.0,54.0,-42.0,42.0,offensive,,,,
RC0003,OZ_LEFT,Offensive Zone - Left Wing,coarse,54.0,89.0,22.0,42.0,offensive,,,,
RC0004,OZ_RIGHT,Offensive Zone - Right Wing,coarse,54.0,89.0,-42.0,-22.0,offensive,,,,
RC0005,OZ_CREASE,Offensive Zone - Crease,coarse,84.0,100.0,-4.0,4.0,offensive,,,,
RC0006,OZ_CORNER_L,Offensive Zone - Left Corner,coarse,72.0,100.0,26.0,42.0,offensive,,,,
RC0007,OZ_CORNER_R,Offensive Zone - Right Corner,coarse,72.0,100.0,-42.0,-26.0,offensive,,,,
RC0008,NZ_CENTER,Neutral Zone - Center,coarse,-25.0,25.0,-22.0,22.0,neutral,,,,
RC0009,NZ_LEFT,Neutral Zone - Left,coarse,-25.0,25.0,22.0,42.0,neutral,,,,
RC0010,NZ_RIGHT,Neutral Zone - Right,coarse,-25.0,25.0,-42.0,-22.0,neutral,,,,
RC0011,DZ_SLOT,Defensive Zone - Slot,coarse,-89.0,-54.0,-22.0,22.0,defensive,,,,
RC0012,DZ_HIGH,Defensive Zone - High,coarse,-54.0,-25.0,-42.0,42.0,defensive,,,,
RC0013,DZ_LEFT,Defensive Zone - Left Wing,coarse,-89.0,-54.0,22.0,42.0,defensive,,,,
RC0014,DZ_RIGHT,Defensive Zone - Right Wing,coarse,-89.0,-54.0,-42.0,-22.0,defensive,,,,
RC0015,DZ_CREASE,Defensive Zone - Crease,coarse,-100.0,-84.0,-4.0,4.0,defensive,,,,
RC0016,DZ_CORNER_L,Defensive Zone - Left Corner,coarse,-100.0,-72.0,26.0,42.0,defensive,,,,
RC0017,DZ_CORNER_R,Defensive Zone - Right Corner,coarse,-100.0,-72.0,-42.0,-26.0,defensive,,,,
RC0018,OZ_BEHIND,Behind Offensive Net,coarse,89.0,100.0,-11.0,11.0,offensive,,,,
RC0019,DZ_BEHIND,Behind Defensive Net,coarse,-100.0,-89.0,-11.0,11.0,defensive,,,,
RBO01,O01,behind net - half,medium,89.0,100.0,-42.5,0.0,offensive,low,left,behind net,half
RBO02,O02,behind net - half,medium,89.0,100.0,0.0,42.5,offensive,low,right,behind net,half
RBO03,O03,low - corner,medium,73.0,89.0,-42.5,-25.5,offensive,low,left,low,corner
RBO04,O04,low - interior,medium,73.0,89.0,-25.5,-8.5,offensive,mid,left,low,interior
RBO05,O05,low - net_front,medium,73.0,89.0,-8.5,8.5,offensive,high,center,low,net_front
RBO06,O06,low - interior,medium,73.0,89.0,8.5,25.5,offensive,mid,right,low,interior
RBO07,O07,low - corner,medium,73.0,89.0,25.5,42.5,offensive,low,right,low,corner
RBO08,O08,low-mid - boards,medium,57.0,73.0,-42.5,-25.5,offensive,low,left,low-mid,boards
RBO09,O09,low-mid - interior,medium,57.0,73.0,-25.5,-8.5,offensive,mid,left,low-mid,interior
RBO10,O10,low-mid - net_front,medium,57.0,73.0,-8.5,8.5,offensive,high,center,low-mid,net_front
RBO11,O11,low-mid - interior,medium,57.0,73.0,8.5,25.5,offensive,mid,right,low-mid,interior
RBO12,O12,low-mid - boards,medium,57.0,73.0,25.5,42.5,offensive,low,right,low-mid,boards
RBO13,O13,mid-high - boards,medium,41.0,57.0,-42.5,-25.5,offensive,low,left,mid-high,boards
RBO14,O14,mid-high - interior,medium,41.0,57.0,-25.5,-8.5,offensive,mid,left,mid-high,interior
RBO15,O15,mid-high - center,medium,41.0,57.0,-8.5,8.5,offensive,mid,center,mid-high,center
RBO16,O16,mid-high - interior,medium,41.0,57.0,8.5,25.5,offensive,mid,right,mid-high,interior
RBO17,O17,mid-high - boards,medium,41.0,57.0,25.5,42.5,offensive,mid,right,mid-high,boards
RBO18,O18,high - boards,medium,25.0,41.0,-42.5,-25.5,offensive,low,left,high,boards
RBO19,O19,high - interior,medium,25.0,41.0,-25.5,-8.5,offensive,low,left,high,interior
RBO20,O20,high - center,medium,25.0,41.0,-8.5,8.5,offensive,low,center,high,center
RBO21,O21,high - interior,medium,25.0,41.0,8.5,25.5,offensive,low,right,high,interior
RBO22,O22,high - boards,medium,25.0,41.0,25.5,42.5,offensive,low,right,high,boards
RBN01,N01,offensive side - boards,medium,0.0,25.0,-42.5,-14.16667,neutral,low,left,offensive side,boards
RBN02,N02,offensive side - center,medium,0.0,25.0,-14.16667,14.16667,neutral,low,right,offensive side,center
RBN03,N03,offensive side - boards,medium,0.0,25.0,14.16667,42.5,neutral,low,right,offensive side,boards
RBN04,N04,defensive side - boards,medium,-24.99999,0.0,-42.5,-14.16667,neutral,low,left,defensive side,boards
RBN05,N05,defensive side - center,medium,-24.99999,0.0,-14.16667,14.16667,neutral,low,right,defensive side,center
RBN06,N06,defensive side - boards,medium,-24.99999,0.0,14.16667,42.5,neutral,low,right,defensive side,boards
RBD01,D01,behind net - half,medium,-100.0,-89.00001,-42.5,0.0,defensive,low,center,behind net,half
RBD02,D02,behind net - half,medium,-100.0,-89.00001,0.0,42.5,defensive,low,right,behind net,half
RBD03,D03,low - corner,medium,-89.0,-73.00001,25.5,42.5,defensive,low,right,low,corner
RBD04,D04,low - interior,medium,-89.0,-73.00001,8.5,25.5,defensive,mid,right,low,interior
RBD05,D05,low - net_front,medium,-89.0,-73.00001,-8.5,8.5,defensive,high,center,low,net_front
RBD06,D06,low - interior,medium,-89.0,-73.00001,-25.5,-8.5,defensive,mid,left,low,interior
