stat_id,stat_code,stat_name,category,description,formula,player_role,computable_now,benchmark_elite,nhl_avg_per_game,nhl_elite_threshold,nhl_min_threshold
MS0001,G,Goals,basic,Goals scored,count of goals,event_player_1,yes,,0.30,0.40,0.15
MS0002,A,Assists,basic,Assists,count of assists,event_player_1,yes,,0.45,0.70,0.20
MS0003,A1,Primary Assists,basic,Primary assists,count of primary assists,event_player_1,yes,,,,
MS0004,A2,Secondary Assists,basic,Secondary assists,count of secondary assists,event_player_1,yes,,,,
MS0005,PTS,Points,basic,Total points,G + A,derived,yes,,0.75,1.20,0.35
MS0006,SOG,Shots on Goal,basic,Shots on goal,count of shots on goal,event_player_1,yes,,2.5,4.0,1.5
MS0007,SH_PCT,Shooting %,basic,Shooting percentage,G / SOG * 100,derived,yes,,10%,15%,6%
MS0008,TOI,Time on Ice,basic,Total time on ice,sum of shift durations,on_ice,yes,,1020,1320,600
MS0009,TOI_PLAYING,Playing TOI,basic,Active playing time (excl dead ice),TOI - dead ice time,on_ice,yes,,,,
MS0010,SHIFTS,Shifts,basic,Number of shifts,count of shifts,on_ice,yes,,,,
MS0011,PLUS_MINUS,+/-,basic,Plus/minus,goals for - goals against while on ice,on_ice,yes,,,,
MS0012,CF,Corsi For,shot,Shot attempts for,SOG + missed + blocked,on_ice,yes,,,,
MS0013,CA,Corsi Against,shot,Shot attempts against,opp SOG + missed + blocked,on_ice,yes,,,,
MS0014,CF_PCT,Corsi %,shot,Corsi percentage,CF / (CF + CA) * 100,derived,yes,,50%,55%,40%
MS0015,FF,Fenwick For,shot,Unblocked shot attempts for,SOG + missed,on_ice,yes,,,,
MS0016,FA,Fenwick Against,shot,Unblocked shot attempts against,opp SOG + missed,on_ice,yes,,,,
MS0017,FF_PCT,Fenwick %,shot,Fenwick percentage,FF / (FF + FA) * 100,derived,yes,,50%,55%,40%
MS0018,HDCF,High Danger CF,shot,High danger Corsi for,CF from slot/crease,on_ice,xy_required,,,,
MS0019,HDCA,High Danger CA,shot,High danger Corsi against,CA from slot/crease,on_ice,xy_required,,,,
MS0020,XG,Expected Goals,xg,Expected goals,sum of shot xG values,event_player_1,xy_required,,,,
MS0021,XGA,Expected Goals Against,xg,Expected goals against,sum of opp shot xG,on_ice,xy_required,,,,
MS0022,GSAE,Goals Saved Above Expected,xg,Goals saved above expected,xGA - GA (goalie),goalie,xy_required,,,,
MS0023,PASS,Passes,micro_offense,Pass attempts,count of passes,event_player_1,yes,,,,
MS0024,PASS_C,Passes Completed,micro_offense,Completed passes,count of completed passes,event_player_1,yes,,,,
MS0025,PASS_PCT,Pass %,micro_offense,Pass completion rate,PASS_C / PASS * 100,derived,yes,,,,
MS0026,PASS_DANGER,Danger Passes,micro_offense,Passes to danger zone,passes to slot/crease,event_player_1,yes,,,,
MS0027,PASS_CROSS,Cross-Ice Passes,micro_offense,Cross-ice passes,passes across ice,event_player_1,yes,,,,
MS0028,PASS_TARGET,Pass Targets,micro_offense,Times targeted for pass,count as event_player_2,event_player_2,yes,,,,
MS0029,DEKE,Dekes,micro_offense,Deke attempts,count of dekes,event_player_1,yes,,,,
MS0030,DEKE_S,Dekes Successful,micro_offense,Successful dekes,dekes with success=1,event_player_1,yes,,,,
MS0031,SCREEN,Screens,micro_offense,Screen attempts,count of screens,event_player_1,yes,,,,
MS0032,ONE_TIMER,One-Timers,micro_offense,One-timer shots,shots with one_timer=1,event_player_1,yes,,,,
MS0033,CYCLE,Cycle Touches,micro_offense,Cycle play touches,count of cycle plays,event_player_1,yes,,,,
MS0034,NET_PRESENCE,Net Presence,micro_offense,Net front touches,plays in crease area,event_player_1,yes,,,,
MS0035,REBOUND_ATT,Rebound Attempts,micro_offense,Rebound shot attempts,shots off rebounds,event_player_1,yes,,,,
MS0036,BLK,Blocked Shots,micro_defense,Shots blocked,count of blocks,event_player_1,yes,,1.0,2.5,0.3
MS0037,HIT,Hits,micro_defense,Hits delivered,count of hits,event_player_1,yes,,1.5,4.0,0.5
MS0038,STICK_CHECK,Stick Checks,micro_defense,Stick check attempts,count of stick checks,event_player_1,yes,,,,
MS0039,POKE_CHECK,Poke Checks,micro_defense,Poke check attempts,count of poke checks,event_player_1,yes,,,,
MS0040,BACKCHECK,Backchecks,micro_defense,Backcheck efforts,count of backchecks,event_player_1,yes,,,,
MS0041,IN_LANE,In Shot Lane,micro_defense,Times in passing/shot lane,count of lane presence,event_player_1,yes,,,,
