turnover_type_id,turnover_type_code,turnover_type_name,category,quality,weight,description,zone_context,zone_danger_multiplier,old_equiv
TO0001,GIVE_MISPLAY,Misplayed Puck,giveaway,bad,1.0,Player error handling puck,any,1.0,Giveaway-Misplayed
TO0002,GIVE_PASS_INT,Pass Intercepted,giveaway,bad,1.0,Pass picked off by opponent,any,1.2,Giveaway-PassIntercepted
TO0003,GIVE_PASS_MISS,Pass Missed,giveaway,bad,0.8,Pass missed target,any,0.9,Giveaway-PassMissed
TO0004,GIVE_PASS_BLK,Pass Blocked,giveaway,bad,0.6,Pass blocked by stick/body,any,0.8,Giveaway-PassBlocked
TO0005,GIVE_BATTLE,Battle Lost,giveaway,bad,0.5,Lost puck battle,any,0.7,Giveaway-BattleLost
TO0006,GIVE_ZONE_MISPLAY,Zone Misplay,giveaway,bad,1.0,Zone entry/exit error,transition,1.5,Giveaway-ZoneEntry/ExitMisplay
TO0007,GIVE_OTHER,Other Giveaway,giveaway,bad,0.7,Unclassified giveaway,any,0.9,Giveaway-Other
TO0008,GIVE_DUMP,Intentional Dump,giveaway,neutral,0.0,Strategic dump-in,offensive,0.0,Giveaway-DumpInZone
TO0009,GIVE_CLEAR,Zone Clear,giveaway,neutral,0.0,Intentional clear,defensive,0.0,Giveaway-ZoneClear/Dump
TO0010,GIVE_SHOT_BLK,Shot Blocked,giveaway,neutral,0.0,Shot attempt blocked,offensive,0.0,Giveaway-ShotBlocked
TO0011,GIVE_SHOT_MISS,Shot Missed,giveaway,neutral,0.0,Shot missed net,offensive,0.0,Giveaway-ShotMissed
TO0012,GIVE_RCV_MISS,Receiver Missed,giveaway,neutral,0.2,"Good pass, receiver error",any,0.3,
TO0013,TAKE_BATTLE,Battle Won,takeaway,good,1.0,Won puck battle,any,1.0,Takeaway-BattleWon
TO0014,TAKE_POKE,Poke Check,takeaway,good,1.0,Poke check steal,any,1.1,Takeaway-PokeCheck
TO0015,TAKE_INTERCEPT,Interception,takeaway,good,1.2,Intercepted pass,any,1.3,Takeaway-PassIntercepted
TO0016,TAKE_PASS_BLK,Pass Block,takeaway,good,0.8,Blocked pass recovery,any,0.9,
TO0017,TAKE_SHOT_BLK,Shot Block Recovery,takeaway,good,0.6,Recovered blocked shot,any,0.7,
TO0018,TAKE_FORCED,Forced Turnover,takeaway,good,1.0,Pressure-caused turnover,any,1.2,
TO0019,TAKE_RECOVERY,Puck Recovery,takeaway,good,0.5,Recovered loose puck,any,0.5,
TO0020,TAKE_RETRIEVAL,Dump Retrieval,takeaway,good,0.4,Retrieved dump-in,any,0.4,
TO0021,TAKE_OTHER,Other Takeaway,takeaway,good,0.5,Unclassified takeaway,any,0.6,
