chain_id,game_id,season_id,entry_event_key,shot_event_key,entry_event_index,shot_event_index,events_to_shot,entry_type,shot_result,is_goal,team_id,team_name,home_team_id,away_team_id,home_team_name,away_team_name,event_types_chain,event_details_chain,entry_player_id,entry_player_name,shot_player_id,shot_player_name,players_touched_count,sequence_key,play_key,zone_id,zone_entry_type_id,shot_result_detail_id,time_bucket_id,strength_id,shot_type_id
CH1896901011,18969,N20252026F,EV1896901011,EV1896901012,1011,1012,1,ZoneEntry-Rush,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100161,Galen Wood,P100161,Galen Wood,1,SQ1896900001,PL1896900101,ZN01,ZE0010,ED0033,TB01,STR0001,ST0014
CH1896901022,18969,N20252026F,EV1896901022,EV1896901027,1022,1027,5,ZoneEntry-Rush,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Turnover > Turnover > Possession > Shot,Zone_Entry > Turnover_Takeaway > Turnover_Giveaway > PuckRetrieval > Shot_Missed,P100030,Jesse Chambless,P100192,Chris Premo,3,SQ1896900001,PL1896900103,ZN01,ZE0010,ED0038,TB01,STR0001,ST0014
CH1896901283,18969,N20252026F,EV1896901283,EV1896901284,1283,1284,1,ZoneEntry-Rush,Shot_Blocked,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100192,Chris Premo,P100192,Chris Premo,1,SQ1896900007,PL1896900707,ZN01,ZE0010,ED0033,TB03,STR0001,ST0014
CH1896901334,18969,N20252026F,EV1896901334,EV1896901344,1334,1344,10,ZoneEntry-Rush,Shot_OnNetSaved,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Possession > Possession > Shot,Zone_Entry > Pass_Completed > PuckRetrieval > PuckRecovery > Shot_OnNetSaved,P100117,Keegan Mantaro,P100117,Keegan Mantaro,2,SQ1896900009,PL1896900905,ZN01,ZE0010,ED0040,TB03,STR0001,ST0006
CH1896901364,18969,N20252026F,EV1896901364,EV1896901370,1364,1370,6,ZoneEntry-Rush,Shot_Deflected,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Possession > Shot,Zone_Entry > Pass_Completed > PuckRecovery > Shot_Deflected,P100024,John Thien,P100107,Matt Quinn,2,SQ1896900010,PL1896901001,ZN01,ZE0010,ED0035,TB03,STR0001,ST0014
CH1896901507,18969,N20252026F,EV1896901507,EV1896901516,1507,1516,9,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Possession > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Shot,Zone_Entry > Pass_Missed > PuckRecovery > Zone_Exit > Zone_Entry > Shot_Missed,P100201,Garrett Ashcroft,P100192,Chris Premo,3,SQ1896900018,PL1896901802,ZN01,ZE0010,ED0038,TB01,STR0001,ST0014
CH1896901515,18969,N20252026F,EV1896901515,EV1896901516,1515,1516,1,ZoneEntry-Pass,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Missed,P100192,Chris Premo,P100192,Chris Premo,1,SQ1896900018,PL1896901804,ZN01,ZE0007,ED0038,TB01,STR0001,ST0014
CH1896901531,18969,N20252026F,EV1896901531,EV1896901540,1531,1540,9,ZoneEntry-Rush,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Pass > Shot,Zone_Entry > PuckRetrieval > Zone_Exit > Zone_Entry > Pass_Completed > Shot_Missed,P100023,Alex Considine,P100064,James Rynearson,3,SQ1896900018,PL1896901808,ZN01,ZE0010,ED0038,TB01,STR0001,
CH1896901537,18969,N20252026F,EV1896901537,EV1896901540,1537,1540,3,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Pass > Shot,Zone_Entry > Pass_Completed > Shot_Missed,P100201,Garrett Ashcroft,P100064,James Rynearson,2,SQ1896900018,PL1896901810,ZN01,ZE0010,ED0038,TB01,STR0001,
CH1896901616,18969,N20252026F,EV1896901616,EV1896901617,1616,1617,1,ZoneEntry-Rush,Shot_Deflected,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Deflected,P100001,Sam Downs,P100001,Sam Downs,1,SQ1896900019,PL1896901911,ZN01,ZE0010,ED0035,TB02,STR0001,ST0014
