event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,faceoff_key,faceoff_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901001,18969,1,P01,Faceoff,ET0004,Faceoff_GameStart,,,,,,n,ZN03,SQ1896900001,PL1896900101,EC18969001001,TV1896901001,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",P100001,Chris Premo,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,18.0,0.0,,,0.0,0.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690001,other,0.0,-1.0,364.0,727.0,-1.0,-1.0,80.0,-1.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
EV1896901042,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,o,ZN01,SQ1896900002,PL1896900201,EC18969001042,TV1896901042,SH1896900002,,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100117",P100201,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,16.0,14.0,,,106.0,101.0,106.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690042,after_stoppage,2.0,21.0,263.0,626.0,-1.0,-1.0,103.0,21.0,94.0,313.0,,,,,97.0,,,,,,203.5,94.0,313.0,97.0,97.0,97.0
EV1896901106,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900003,PL1896900301,EC18969001106,TV1896901106,SH1896900007,,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100192,Sam Downs,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,14.0,8.0,,,232.0,227.0,232.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690106,after_stoppage,3.0,23.0,500.0,137.0,-1.0,-1.0,137.0,23.0,538.0,,,,,,321.0,,,,,,538.0,538.0,538.0,321.0,321.0,321.0
EV1896901193,18969,1,P01,Faceoff,ET0004,Faceoff_AfterGoal,,,,,,n,ZN03,SQ1896900004,PL1896900401,EC18969001193,TV1896901193,SH1896900012,,Platinum,N10008,Velodrome,N10010,0.0,"P100107,P100117",P100201,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB02,STR0001,,0,11.0,27.0,,,393.0,388.0,393.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690193,after_goal,2.0,23.0,1645.0,339.0,24.0,-1.0,7.0,24.0,509.0,583.0,,,,,606.0,,,,,,546.0,509.0,583.0,606.0,606.0,606.0
EV1896901199,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900005,PL1896900501,EC18969001199,TV1896901199,SH1896900013,,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100117",P100201,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB02,STR0001,,0,10.0,57.0,,,423.0,418.0,423.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690199,after_stoppage,3.0,23.0,1615.0,309.0,54.0,-1.0,33.0,23.0,629.0,802.0,,,,,606.0,,,,,,715.5,629.0,802.0,606.0,606.0,606.0
EV1896901222,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900006,PL1896900601,EC18969001222,TV1896901222,SH1896900014,,Platinum,N10008,Velodrome,N10010,0.0,"P100107,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,10.0,6.0,,,474.0,469.0,474.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690222,after_stoppage,3.0,18.0,1564.0,258.0,105.0,-1.0,9.0,18.0,567.0,617.0,,,,,653.0,,,,,,592.0,567.0,617.0,653.0,653.0,653.0
EV1896901230,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900007,PL1896900701,EC18969001230,TV1896901230,SH1896900014,,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,9.0,45.0,,,495.0,490.0,495.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690230,after_stoppage,2.0,12.0,1543.0,237.0,126.0,-1.0,86.0,12.0,715.0,617.0,,,,,653.0,,,,,,666.0,617.0,715.0,653.0,653.0,653.0
EV1896901292,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,d,ZN02,SQ1896900008,PL1896900801,EC18969001292,TV1896901292,SH1896900021,,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100192,Sam Downs,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,7.0,57.0,,,603.0,598.0,603.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690292,after_stoppage,3.0,22.0,129.0,1435.0,-1.0,234.0,33.0,22.0,1063.0,,,,,,950.0,,,,,,1063.0,1063.0,1063.0,950.0,950.0,950.0
EV1896901309,18969,1,P01,Faceoff,ET0004,,,,,,,d,ZN02,SQ1896900009,PL1896900901,EC18969001309,TV1896901309,SH1896900022,,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100117,Sam Downs,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,6.0,57.0,,,663.0,658.0,663.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690309,other,4.0,27.0,69.0,1375.0,-1.0,294.0,69.0,27.0,1116.0,,,,,,1039.0,,,,,,1116.0,1116.0,1116.0,1039.0,1039.0,1039.0
EV1896901358,18969,1,P01,Faceoff,ET0004,Faceoff_AfterGoal,,,,,,n,ZN03,SQ1896900010,PL1896901001,EC18969001358,TV1896901358,SH1896900024,,Platinum,N10008,Velodrome,N10010,0.0,"P100023,P100192",P100201,Chris Premo,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,5.0,20.0,,,760.0,755.0,760.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,,0,,,,FO189690358,after_goal,1.0,28.0,1278.0,117.0,391.0,28.0,31.0,28.0,1211.0,998.0,,,,,1121.0,,,,,,1104.5,998.0,1211.0,1121.0,1121.0,1121.0
