event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,high_danger_key
EV1896901032,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_OneTime,ED256,s,SC01,o,ZN01,SQ1896900062,PL1896906205,EC18969001032,TV1896909004,SH1896900001,LV1896909004,Platinum,N10008,Velodrome,N10010,0.0,P100024,"P100016,P100108",John Thien,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,16.0,48.0,,,72.0,67.0,72.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690003,HD189690032
EV1896901128,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,s,SC01,o,ZN01,SQ1896900066,PL1896906603,EC18969001128,TV1896909022,SH1896900007,LV1896909022,Platinum,N10008,Velodrome,N10010,0.0,P100222,P100016,Joshua Blumberg,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,13.0,33.0,,,267.0,262.0,267.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690005,HD189690128
EV1896901176,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,s,SC01,o,ZN01,SQ1896900066,PL1896906609,EC18969001176,TV1896909031,SH1896900011,LV1896909031,Platinum,N10008,Velodrome,N10010,0.0,P100024,P100016,John Thien,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,12.0,12.0,,,348.0,343.0,348.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690009,HD189690176
EV1896901452,18969,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,s,SC01,o,ZN01,SQ1896900094,PL1896909401,EC18969001452,TV1896909078,SH1896900028,LV1896909078,Platinum,N10008,Velodrome,N10010,0.0,P100117,"P100016,P100105",Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB05,STR0001,CY189690003,1,1.0,44.0,,,976.0,971.0,976.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690036,HD189690452
EV1896901540,18969,2,P02,Shot,ET0001,Shot_Missed,ED0004,Shot_Tipped,ED261,u,SC02,o,ZN01,SQ1896900018,PL1896901811,EC18969001540,TV1896901540,SH1896900033,,Platinum,N10008,Velodrome,N10010,0.0,P100064,,James Rynearson,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,16.0,46.0,,,1226.0,1221.0,1226.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SO04,,,,1,1,,0,high,DL01,SC189690040,HD189690540
EV1896901673,18969,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_OneTime,ED256,s,SC01,o,ZN01,SQ1896900099,PL1896909915,EC18969001673,TV1896909110,SH1896900039,LV1896909110,Platinum,N10008,Velodrome,N10010,0.0,"P100024,P100027","P100016,P100198,P100201",John Thien,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,12.0,23.0,,,1489.0,1484.0,1489.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,1.0,1,high,DL01,SC189690052,HD189690673
EV1896901677,18969,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,s,SC01,o,ZN01,SQ1896900025,PL1896902501,EC18969001677,TV1896901677,SH1896900039,,Platinum,N10008,Velodrome,N10010,0.0,P100027,P100016,Karen Zietlow,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,12.0,21.0,,,1491.0,1486.0,1491.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690053,HD189690677
EV1896901958,18969,2,P02,Shot,ET0001,Shot_Missed,ED0004,Shot_OneTime,ED256,u,SC02,o,ZN01,SQ1896900103,PL1896910306,EC18969001958,TV1896909148,SH1896900057,LV1896909148,Platinum,N10008,Velodrome,N10010,0.0,P100110,,JoLyn Maly,N20252026F,4.0,,,,,,,,,TB04,STR0001,,0,3.0,40.0,,,2012.0,2007.0,2012.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SO04,,,,1,1,,0,high,DL01,SC189690070,HD189690958
EV1896902068,18969,3,P03,Goal,ET0012,Goal_Scored,ED0003,Goal_Tip,ED219,s,SC01,o,ZN01,SQ1896900109,PL1896910901,EC18969002068,TV1896909163,SH1896900065,LV1896909163,Platinum,N10008,Velodrome,N10010,0.0,P100132,P100202,Nick Ciampoli,N20252026F,4.0,,,,,,,,,TB01,STR0004,,0,17.0,28.0,,,2328.0,2323.0,2328.0,SecondTouch,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,SO01,,,,1,1,,0,high,DL01,SC189690076,HD189691068
EV1896902174,18969,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_OneTime,ED256,s,SC01,o,ZN01,SQ1896900111,PL1896911101,EC18969002174,TV1896909173,SH1896900072,LV1896909173,Platinum,N10008,Velodrome,N10010,0.0,P100025,P100016,Andrew Marshall,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,13.0,56.0,,,2540.0,2535.0,2540.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690085,HD189691174
EV1896902388,18969,3,P03,Shot,ET0001,Shot_Blocked,ED0008,Shot_OneTime,ED256,u,SC02,o,ZN01,SQ1896900121,PL1896912116,EC18969002388,TV1896909208,SH1896900084,LV1896909208,Platinum,N10008,Velodrome,N10010,0.0,P100108,P100023,Robert Mayfield,N20252026F,5.0,,,,,,,,,TB03,STR0001,,0,7.0,0.0,,,2956.0,2951.0,2956.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SO03,,,,1,1,,0,high,DL01,SC189690100,HD189691388
