player_career_key,player_id,games_played,career_goals,career_assists,career_points,career_shots,career_sog,career_pass_attempts,career_pass_completed,career_toi_seconds,career_shifts,career_ppg,career_shooting_pct,career_pass_pct,avg_toi_per_game
PC100001,P100001,4,1,0,1,40,17,65,41,6352.0,188,0.25,5.88,63.08,1588.0
PC100002,P100002,4,1,1,2,13,9,54,28,4521.0,146,0.5,11.11,51.85,1130.25
PC100004,P100004,1,0,0,0,4,4,7,5,1025.0,30,0.0,0.0,71.43,1025.0
PC100009,P100009,1,0,0,0,0,0,2,1,3191.0,103,0.0,0.0,50.0,3191.0
PC100016,P100016,4,0,0,0,0,0,5,4,12789.0,384,0.0,0.0,80.0,3197.25
PC100022,P100022,1,1,0,1,8,6,13,8,995.0,35,1.0,16.67,61.54,995.0
PC100023,P100023,1,1,1,2,11,6,24,14,1754.0,55,2.0,16.67,58.33,1754.0
PC100024,P100024,1,0,0,0,5,5,10,7,1084.0,26,0.0,0.0,70.0,1084.0
PC100025,P100025,1,0,0,0,3,2,18,10,1566.0,40,0.0,0.0,55.56,1566.0
PC100027,P100027,1,0,0,0,4,3,3,2,1225.0,30,0.0,0.0,66.67,1225.0
PC100030,P100030,1,0,0,0,10,5,18,12,1680.0,49,0.0,0.0,66.67,1680.0
PC100031,P100031,1,0,0,0,2,0,20,14,1105.0,39,0.0,0.0,70.0,1105.0
PC100032,P100032,1,0,0,0,5,4,30,20,1849.0,58,0.0,0.0,66.67,1849.0
PC100033,P100033,1,0,0,0,11,8,11,5,1433.0,50,0.0,0.0,45.45,1433.0
PC100034,P100034,1,0,0,0,6,2,15,9,1471.0,53,0.0,0.0,60.0,1471.0
PC100038,P100038,1,0,0,0,1,1,10,9,1205.0,31,0.0,0.0,90.0,1205.0
PC100039,P100039,4,0,0,0,9,2,11,6,4581.0,130,0.0,0.0,54.55,1145.25
PC100047,P100047,1,1,0,1,8,7,11,7,1619.0,48,1.0,14.29,63.64,1619.0
PC100049,P100049,1,0,0,0,4,1,9,7,1161.0,28,0.0,0.0,77.78,1161.0
PC100061,P100061,1,0,0,0,3,0,18,10,1582.0,45,0.0,0.0,55.56,1582.0
PC100064,P100064,2,0,1,1,5,1,7,3,2151.0,64,0.5,0.0,42.86,1075.5
PC100066,P100066,1,0,0,0,5,3,10,7,1516.0,45,0.0,0.0,70.0,1516.0
PC100070,P100070,3,0,0,0,6,2,35,29,4580.0,132,0.0,0.0,82.86,1526.67
PC100071,P100071,1,0,0,0,3,2,6,2,1197.0,38,0.0,0.0,33.33,1197.0
PC100072,P100072,1,0,0,0,0,0,5,3,983.0,22,0.0,0.0,60.0,983.0
PC100074,P100074,1,0,0,0,4,1,7,5,1567.0,52,0.0,0.0,71.43,1567.0
PC100078,P100078,1,1,0,1,5,4,13,10,1728.0,59,1.0,25.0,76.92,1728.0
PC100079,P100079,1,0,0,0,8,4,11,6,1832.0,59,0.0,0.0,54.55,1832.0
PC100080,P100080,1,0,0,0,1,0,3,1,900.0,32,0.0,0.0,33.33,900.0
PC100081,P100081,1,0,0,0,1,0,4,1,0.0,0,0.0,0.0,25.0,0.0
PC100084,P100084,1,0,0,0,9,3,18,17,1915.0,58,0.0,0.0,94.44,1915.0
PC100086,P100086,1,0,0,0,7,3,14,11,1605.0,37,0.0,0.0,78.57,1605.0
PC100088,P100088,1,1,0,1,23,18,18,12,1846.0,53,1.0,5.56,66.67,1846.0
PC100091,P100091,1,0,0,0,2,0,0,0,984.0,18,0.0,0.0,0.0,984.0
PC100093,P100093,2,0,0,0,5,2,20,10,2686.0,92,0.0,0.0,50.0,1343.0
PC100096,P100096,1,0,0,0,0,0,2,2,3185.0,85,0.0,0.0,100.0,3185.0
PC100097,P100097,1,0,0,0,1,1,2,1,855.0,24,0.0,0.0,50.0,855.0
PC100099,P100099,1,0,0,0,4,2,6,4,1192.0,32,0.0,0.0,66.67,1192.0
PC100100,P100100,1,0,0,0,1,0,1,1,1395.0,30,0.0,0.0,100.0,1395.0
PC100105,P100105,4,0,0,0,12,7,49,29,4634.0,131,0.0,0.0,59.18,1158.5
PC100107,P100107,1,0,1,1,4,0,12,5,1480.0,46,1.0,0.0,41.67,1480.0
PC100108,P100108,4,1,1,2,15,6,39,24,4923.0,143,0.5,16.67,61.54,1230.75
PC100110,P100110,1,0,0,0,2,0,3,3,737.0,23,0.0,0.0,100.0,737.0
PC100111,P100111,1,0,0,0,2,2,1,0,1135.0,44,0.0,0.0,0.0,1135.0
PC100117,P100117,1,2,1,3,7,6,17,11,1535.0,38,3.0,33.33,64.71,1535.0
PC100119,P100119,1,0,0,0,9,4,18,11,1660.0,47,0.0,0.0,61.11,1660.0
