player_period_key,game_id,season_id,player_id,period,events,shots,goals,passes,turnovers,period_id
18969_P100001_1.0,18969,N20252026F,P100001,1,62,3,0,17,5,P0001
18969_P100001_2.0,18969,N20252026F,P100001,2,60,1,0,16,3,P0002
18969_P100001_3.0,18969,N20252026F,P100001,3,102,9,0,19,9,P0003
18969_P100002_1.0,18969,N20252026F,P100002,1,31,1,0,9,7,P0001
18969_P100002_2.0,18969,N20252026F,P100002,2,41,4,0,14,2,P0002
18969_P100002_3.0,18969,N20252026F,P100002,3,40,2,0,12,4,P0003
18969_P100016_1.0,18969,N20252026F,P100016,1,46,14,1,1,0,P0001
18969_P100016_2.0,18969,N20252026F,P100016,2,49,14,1,2,0,P0002
18969_P100016_3.0,18969,N20252026F,P100016,3,45,13,2,0,0,P0003
18969_P100022_1.0,18969,N20252026F,P100022,1,35,4,0,8,4,P0001
18969_P100022_2.0,18969,N20252026F,P100022,2,50,3,1,14,7,P0002
18969_P100022_3.0,18969,N20252026F,P100022,3,60,5,0,13,6,P0003
18969_P100023_1.0,18969,N20252026F,P100023,1,61,4,0,21,7,P0001
18969_P100023_2.0,18969,N20252026F,P100023,2,45,3,0,13,2,P0002
18969_P100023_3.0,18969,N20252026F,P100023,3,63,9,1,12,3,P0003
18969_P100024_1.0,18969,N20252026F,P100024,1,24,4,0,8,2,P0001
18969_P100024_2.0,18969,N20252026F,P100024,2,25,1,0,10,2,P0002
18969_P100024_3.0,18969,N20252026F,P100024,3,19,2,0,8,0,P0003
18969_P100025_1.0,18969,N20252026F,P100025,1,27,1,0,8,4,P0001
18969_P100025_2.0,18969,N20252026F,P100025,2,33,2,0,8,2,P0002
18969_P100025_3.0,18969,N20252026F,P100025,3,26,2,0,7,3,P0003
18969_P100027_1.0,18969,N20252026F,P100027,1,10,1,0,3,2,P0001
18969_P100027_2.0,18969,N20252026F,P100027,2,22,4,0,6,2,P0002
18969_P100027_3.0,18969,N20252026F,P100027,3,25,3,0,8,2,P0003
18969_P100030_1.0,18969,N20252026F,P100030,1,60,5,0,14,4,P0001
18969_P100030_2.0,18969,N20252026F,P100030,2,49,4,0,10,4,P0002
18969_P100030_3.0,18969,N20252026F,P100030,3,62,6,0,14,5,P0003
18969_P100039_1.0,18969,N20252026F,P100039,1,5,1,0,2,1,P0001
18969_P100039_2.0,18969,N20252026F,P100039,2,31,3,0,9,5,P0002
18969_P100039_3.0,18969,N20252026F,P100039,3,19,2,0,9,3,P0003
18969_P100064_1.0,18969,N20252026F,P100064,1,27,2,0,6,5,P0001
18969_P100064_2.0,18969,N20252026F,P100064,2,23,2,0,5,5,P0002
18969_P100064_3.0,18969,N20252026F,P100064,3,24,2,0,8,0,P0003
18969_P100070_1.0,18969,N20252026F,P100070,1,39,3,0,8,6,P0001
18969_P100070_2.0,18969,N20252026F,P100070,2,35,1,0,11,3,P0002
18969_P100070_3.0,18969,N20252026F,P100070,3,29,0,0,7,4,P0003
18969_P100093_1.0,18969,N20252026F,P100093,1,34,4,0,6,4,P0001
18969_P100093_2.0,18969,N20252026F,P100093,2,50,5,0,9,7,P0002
18969_P100093_3.0,18969,N20252026F,P100093,3,29,3,0,6,3,P0003
18969_P100105_1.0,18969,N20252026F,P100105,1,48,4,0,8,3,P0001
18969_P100105_2.0,18969,N20252026F,P100105,2,34,5,0,4,3,P0002
18969_P100105_3.0,18969,N20252026F,P100105,3,27,2,0,7,5,P0003
18969_P100107_1.0,18969,N20252026F,P100107,1,26,3,0,9,2,P0001
18969_P100107_2.0,18969,N20252026F,P100107,2,48,4,0,13,5,P0002
18969_P100107_3.0,18969,N20252026F,P100107,3,28,2,0,10,4,P0003
18969_P100108_1.0,18969,N20252026F,P100108,1,30,2,0,6,4,P0001
18969_P100108_2.0,18969,N20252026F,P100108,2,18,1,0,6,2,P0002
18969_P100108_3.0,18969,N20252026F,P100108,3,22,2,0,4,2,P0003
18969_P100110_1.0,18969,N20252026F,P100110,1,15,1,0,5,3,P0001
18969_P100110_2.0,18969,N20252026F,P100110,2,19,3,0,7,2,P0002
18969_P100110_3.0,18969,N20252026F,P100110,3,9,0,0,4,2,P0003
18969_P100117_1.0,18969,N20252026F,P100117,1,67,3,1,19,5,P0001
18969_P100117_2.0,18969,N20252026F,P100117,2,59,3,0,16,3,P0002
18969_P100117_3.0,18969,N20252026F,P100117,3,69,2,1,20,5,P0003
18969_P100132_1.0,18969,N20252026F,P100132,1,28,1,1,6,4,P0001
18969_P100132_2.0,18969,N20252026F,P100132,2,23,1,0,6,2,P0002
18969_P100132_3.0,18969,N20252026F,P100132,3,31,3,1,8,3,P0003
18969_P100161_1.0,18969,N20252026F,P100161,1,38,2,0,13,3,P0001
18969_P100161_2.0,18969,N20252026F,P100161,2,46,3,0,14,5,P0002
18969_P100161_3.0,18969,N20252026F,P100161,3,52,1,0,15,6,P0003
18969_P100192_1.0,18969,N20252026F,P100192,1,73,5,0,21,10,P0001
18969_P100192_2.0,18969,N20252026F,P100192,2,68,5,0,17,5,P0002
18969_P100192_3.0,18969,N20252026F,P100192,3,76,2,0,20,4,P0003
18969_P100198_1.0,18969,N20252026F,P100198,1,30,2,1,8,3,P0001
18969_P100198_2.0,18969,N20252026F,P100198,2,40,3,1,13,2,P0002
18969_P100198_3.0,18969,N20252026F,P100198,3,55,3,0,16,1,P0003
18969_P100201_1.0,18969,N20252026F,P100201,1,51,4,1,10,2,P0001
18969_P100201_2.0,18969,N20252026F,P100201,2,66,1,0,14,4,P0002
18969_P100201_3.0,18969,N20252026F,P100201,3,52,2,0,10,2,P0003
18969_P100202_1.0,18969,N20252026F,P100202,1,15,5,2,0,0,P0001
18969_P100202_2.0,18969,N20252026F,P100202,2,27,8,0,0,0,P0002
18969_P100202_3.0,18969,N20252026F,P100202,3,40,11,1,2,1,P0003
18969_P100210_1.0,18969,N20252026F,P100210,1,38,2,0,9,2,P0001
18969_P100210_2.0,18969,N20252026F,P100210,2,55,4,0,20,5,P0002
18969_P100210_3.0,18969,N20252026F,P100210,3,30,0,0,7,2,P0003
18969_P100222_1.0,18969,N20252026F,P100222,1,25,2,0,8,2,P0001
18969_P100222_2.0,18969,N20252026F,P100222,2,31,0,0,12,5,P0002
18969_P100222_3.0,18969,N20252026F,P100222,3,31,2,0,9,4,P0003
18969_P100224_1.0,18969,N20252026F,P100224,1,38,3,0,8,4,P0001
18969_P100224_2.0,18969,N20252026F,P100224,2,27,1,0,7,2,P0002
18969_P100224_3.0,18969,N20252026F,P100224,3,16,0,0,6,1,P0003
18977_P100001_1.0,18977,N20252026F,P100001,1,64,3,0,17,6,P0001
18977_P100001_2.0,18977,N20252026F,P100001,2,53,9,0,15,2,P0002
18977_P100001_3.0,18977,N20252026F,P100001,3,57,6,0,14,4,P0003
18977_P100002_1.0,18977,N20252026F,P100002,1,24,2,0,8,2,P0001
18977_P100002_2.0,18977,N20252026F,P100002,2,34,3,1,14,4,P0002
18977_P100002_3.0,18977,N20252026F,P100002,3,27,2,0,8,3,P0003
18977_P100016_1.0,18977,N20252026F,P100016,1,30,8,0,0,0,P0001
18977_P100016_2.0,18977,N20252026F,P100016,2,41,11,0,3,1,P0002
18977_P100016_3.0,18977,N20252026F,P100016,3,61,17,2,1,0,P0003
18977_P100038_1.0,18977,N20252026F,P100038,1,27,1,0,8,1,P0001
18977_P100038_2.0,18977,N20252026F,P100038,2,18,0,0,6,2,P0002
18977_P100038_3.0,18977,N20252026F,P100038,3,16,4,0,4,0,P0003
18977_P100039_1.0,18977,N20252026F,P100039,1,22,2,0,7,3,P0001
18977_P100039_2.0,18977,N20252026F,P100039,2,3,0,0,2,0,P0002
18977_P100039_3.0,18977,N20252026F,P100039,3,8,1,0,4,0,P0003
18977_P100047_1.0,18977,N20252026F,P100047,1,43,2,0,9,7,P0001
18977_P100047_2.0,18977,N20252026F,P100047,2,48,8,0,15,1,P0002
18977_P100047_3.0,18977,N20252026F,P100047,3,39,4,1,14,4,P0003
18977_P100049_1.0,18977,N20252026F,P100049,1,20,2,0,6,1,P0001
18977_P100049_2.0,18977,N20252026F,P100049,2,14,1,0,5,2,P0002
18977_P100049_3.0,18977,N20252026F,P100049,3,19,1,0,7,5,P0003
18977_P100070_1.0,18977,N20252026F,P100070,1,29,3,0,4,0,P0001
18977_P100070_2.0,18977,N20252026F,P100070,2,38,1,0,12,5,P0002
18977_P100070_3.0,18977,N20252026F,P100070,3,36,5,0,5,5,P0003
18977_P100081_1.0,18977,N20252026F,P100081,1,21,1,0,6,6,P0001
18977_P100081_2.0,18977,N20252026F,P100081,2,7,0,0,0,1,P0002
18977_P100081_3.0,18977,N20252026F,P100081,3,13,0,0,4,6,P0003
18977_P100084_1.0,18977,N20252026F,P100084,1,65,6,0,16,4,P0001
18977_P100084_2.0,18977,N20252026F,P100084,2,56,3,0,12,5,P0002
