possession_key,game_id,season_id,player_id,venue,zone_entries,zone_exits,ozone_entries,dzone_entries,possession_events,estimated_possession_seconds,venue_id,team_id,home_team_id,away_team_id
PO1896946409,18969,N20252026F,P100192,Home,13,9,10,0,41,128.0,VN0001,N10008,N10008,N10010
PO1896902763,18969,N20252026F,P100025,Home,2,6,0,0,20,42.0,VN0001,N10008,N10008,N10010
PO1896915779,18969,N20252026F,P100001,Away,11,7,10,1,37,274.0,VN0002,N10010,N10008,N10010
PO1896924204,18969,N20252026F,P100030,Home,3,3,3,0,36,169.0,VN0001,N10008,N10008,N10010
PO1896992481,18969,N20252026F,P100161,Away,9,3,8,0,16,49.0,VN0002,N10010,N10008,N10010
PO1896942261,18969,N20252026F,P100024,Home,4,0,2,0,11,14.0,VN0001,N10008,N10008,N10010
PO1896996565,18969,N20252026F,P100070,Away,2,6,0,1,19,26.0,VN0002,N10010,N10008,N10010
PO1896907160,18969,N20252026F,P100023,Home,6,7,5,0,32,157.0,VN0001,N10008,N10008,N10010
PO1896990016,18969,N20252026F,P100108,Away,3,3,1,1,11,15.0,VN0002,N10010,N10008,N10010
PO1896947154,18969,N20252026F,P100016,Away,0,0,0,0,2,250.0,VN0002,N10010,N10008,N10010
PO1896959590,18969,N20252026F,P100039,Away,4,3,1,1,5,6.0,VN0002,N10010,N10008,N10010
PO1896930988,18969,N20252026F,P100117,Home,10,10,9,0,36,147.0,VN0001,N10008,N10008,N10010
PO1896994970,18969,N20252026F,P100201,Away,8,7,7,0,33,128.0,VN0002,N10010,N10008,N10010
PO1896900598,18969,N20252026F,P100022,Home,12,3,9,1,22,100.0,VN0001,N10008,N10008,N10010
PO1896995091,18969,N20252026F,P100224,Away,4,3,2,0,6,68.0,VN0002,N10010,N10008,N10010
PO1896922879,18969,N20252026F,P100093,Away,5,3,0,0,16,86.0,VN0002,N10010,N10008,N10010
PO1896958807,18969,N20252026F,P100110,Home,1,1,0,0,3,3.0,VN0001,N10008,N10008,N10010
PO1896967252,18969,N20252026F,P100107,Home,2,2,0,1,16,21.0,VN0001,N10008,N10008,N10010
PO1896936076,18969,N20252026F,P100198,Away,3,5,2,0,23,47.0,VN0002,N10010,N10008,N10010
PO1896969202,18969,N20252026F,P100002,Away,3,3,2,0,22,68.0,VN0002,N10010,N10008,N10010
PO1896950554,18969,N20252026F,P100105,Away,1,10,0,1,14,35.0,VN0002,N10010,N10008,N10010
PO1896981654,18969,N20252026F,P100210,Home,6,3,3,0,18,41.0,VN0001,N10008,N10008,N10010
PO1896945744,18969,N20252026F,P100132,Away,1,4,1,0,9,83.0,VN0002,N10010,N10008,N10010
PO1896989630,18969,N20252026F,P100064,Away,1,2,1,0,10,8.0,VN0002,N10010,N10008,N10010
PO1896930999,18969,N20252026F,P100222,Home,1,2,0,0,11,13.0,VN0001,N10008,N10008,N10010
PO1896915359,18969,N20252026F,P100202,Home,0,1,0,0,0,209.0,VN0001,N10008,N10008,N10010
PO1896907527,18969,N20252026F,P100027,Home,1,2,0,0,3,4.0,VN0001,N10008,N10008,N10010
PO1897719626,18977,N20252026F,P100084,Away,6,9,0,0,27,94.0,VN0002,N10003,N10010,N10003
PO1897745053,18977,N20252026F,P100086,Away,7,10,0,0,19,125.0,VN0002,N10003,N10010,N10003
PO1897715779,18977,N20252026F,P100001,Home,12,8,0,0,28,104.0,VN0001,N10010,N10010,N10003
PO1897758603,18977,N20252026F,P100081,Away,1,1,0,0,2,3.0,VN0002,N10003,N10010,N10003
PO1897792481,18977,N20252026F,P100161,Home,6,4,0,0,7,110.0,VN0001,N10010,N10010,N10003
PO1897700391,18977,N20252026F,P100159,Home,11,5,0,0,20,109.0,VN0001,N10010,N10010,N10003
PO1897759590,18977,N20252026F,P100039,Home,1,2,0,0,1,7.0,VN0001,N10010,N10010,N10003
PO1897737054,18977,N20252026F,P100088,Away,20,12,0,0,35,174.0,VN0002,N10003,N10010,N10003
PO1897782181,18977,N20252026F,P100097,Away,2,0,0,0,1,3.0,VN0002,N10003,N10010,N10003
PO1897736076,18977,N20252026F,P100198,Home,2,6,0,0,17,51.0,VN0001,N10010,N10010,N10003
PO1897790016,18977,N20252026F,P100108,Home,2,1,0,0,9,63.0,VN0001,N10010,N10010,N10003
PO1897747154,18977,N20252026F,P100016,Home,0,0,0,0,3,214.0,VN0001,N10010,N10010,N10003
PO1897794970,18977,N20252026F,P100201,Home,8,6,0,0,27,111.0,VN0001,N10010,N10010,N10003
PO1897792297,18977,N20252026F,P100100,Away,1,5,0,0,3,11.0,VN0002,N10003,N10010,N10003
PO1897758330,18977,N20252026F,P100230,Home,1,1,0,0,0,2.0,VN0001,N10010,N10010,N10003
PO1897765976,18977,N20252026F,P100047,Away,12,3,0,0,15,114.0,VN0002,N10003,N10010,N10003
PO1897769202,18977,N20252026F,P100002,Home,2,4,0,0,11,87.0,VN0001,N10010,N10010,N10003
PO1897779222,18977,N20252026F,P100211,Away,1,1,0,0,7,21.0,VN0002,N10003,N10010,N10003
PO1897766818,18977,N20252026F,P100123,Away,3,7,0,0,15,75.0,VN0002,N10003,N10010,N10003
PO1897796565,18977,N20252026F,P100070,Home,6,6,0,0,9,84.0,VN0001,N10010,N10010,N10003
PO1897726035,18977,N20252026F,P100049,Away,4,4,0,0,6,19.0,VN0002,N10003,N10010,N10003
PO1897750554,18977,N20252026F,P100105,Home,3,6,0,0,9,25.0,VN0001,N10010,N10010,N10003
PO1897745744,18977,N20252026F,P100132,Home,4,3,0,0,4,10.0,VN0001,N10010,N10010,N10003
PO1897795091,18977,N20252026F,P100224,Home,2,3,0,0,4,39.0,VN0001,N10010,N10010,N10003
PO1897746916,18977,N20252026F,P100038,Away,0,4,0,0,6,25.0,VN0002,N10003,N10010,N10003
PO1897721190,18977,N20252026F,P100096,Away,0,0,0,0,1,154.0,VN0002,N10003,N10010,N10003
PO1897715534,18977,N20252026F,P100091,Away,1,0,0,0,0,3.0,VN0002,N10003,N10010,N10003
PO1898115779,18981,N20252026F,P100001,Away,11,13,11,0,16,114.0,VN0002,N10010,N10004,N10010
PO1898100391,18981,N20252026F,P100159,Away,6,4,6,0,15,129.0,VN0002,N10010,N10004,N10010
PO1898149549,18981,N20252026F,P100078,Home,8,4,8,0,16,82.0,VN0001,N10004,N10004,N10010
PO1898165172,18981,N20252026F,P100071,Home,2,2,2,0,1,4.0,VN0001,N10004,N10004,N10010
PO1898191588,18981,N20252026F,P100061,Home,2,5,2,0,9,47.0,VN0001,N10004,N10004,N10010
PO1898198260,18981,N20252026F,P100119,Home,10,13,10,0,31,168.0,VN0001,N10004,N10004,N10010
PO1898156596,18981,N20252026F,P100164,Home,4,6,4,0,12,88.0,VN0001,N10004,N10004,N10010
PO1898190016,18981,N20252026F,P100108,Away,1,7,1,0,10,32.0,VN0002,N10010,N10004,N10010
PO1898136076,18981,N20252026F,P100198,Away,7,10,7,0,12,47.0,VN0002,N10010,N10004,N10010
PO1898147154,18981,N20252026F,P100016,Away,0,1,0,0,1,254.0,VN0002,N10010,N10004,N10010
PO1898117658,18981,N20252026F,P100138,Home,0,0,0,0,0,108.0,VN0001,N10004,N10004,N10010
