scoring_chance_key,game_id,event_id,period,is_goal,danger_level,is_rebound,is_rush,is_odd_man,event_detail,event_detail_2,time_bucket_id,strength_id,shot_type_id,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC18969_EV1896901012,18969,EV1896901012,1,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,1.0,4.0,705.0,342.0,-1.0,-1.0,58.0,-1.0,58.0,,,,,,59.0,,,,,,58.0,58.0,58.0,59.0,59.0,59.0
SC18969_EV1896901027,18969,EV1896901027,1,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,3.0,0.0,308.0,671.0,-1.0,-1.0,24.0,-1.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,
SC18969_EV1896901029,18969,EV1896901029,1,0,low,0,0,0,Shot_BlockedSameTeam,Shot_Wrist,,,,3.0,3.0,302.0,665.0,-1.0,-1.0,18.0,-1.0,83.0,141.0,,,,,141.0,,,,,,112.0,83.0,141.0,141.0,141.0,141.0
SC18969_EV1896901032,18969,EV1896901032,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_OneTime,,,,0.0,0.0,297.0,660.0,-1.0,-1.0,13.0,-1.0,83.0,,,,,,59.0,59.0,,,,,83.0,83.0,83.0,59.0,59.0,59.0
SC18969_EV1896901043,18969,EV1896901043,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,261.0,624.0,-1.0,-1.0,101.0,23.0,58.0,94.0,,,,,193.0,25.0,182.0,,,,76.0,58.0,94.0,133.33333333333334,25.0,193.0
SC18969_EV1896901128,18969,EV1896901128,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Tip,,,,0.0,0.0,102.0,465.0,-1.0,-1.0,102.0,58.0,291.0,,,,,,755.0,,,,,,291.0,291.0,291.0,755.0,755.0,755.0
SC18969_EV1896901134,18969,EV1896901134,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,4.0,97.0,460.0,-1.0,-1.0,97.0,63.0,432.0,,,,,,755.0,0.0,,,,,432.0,432.0,432.0,377.5,0.0,755.0
SC18969_EV1896901151,18969,EV1896901151,1,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,0.0,2.0,65.0,428.0,-1.0,-1.0,65.0,95.0,453.0,,,,,,175.0,,,,,,453.0,453.0,453.0,175.0,175.0,175.0
SC18969_EV1896901158,18969,EV1896901158,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,416.0,53.0,-1.0,-1.0,53.0,107.0,581.0,,,,,,432.0,999.0,,,,,581.0,581.0,581.0,715.5,432.0,999.0
SC18969_EV1896901176,18969,EV1896901176,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Tip,,,,0.0,0.0,21.0,384.0,-1.0,-1.0,21.0,139.0,256.0,,,,,,941.0,,,,,,256.0,256.0,256.0,941.0,941.0,941.0
