shift_quality_key,game_id,player_id,shift_index,shift_duration,shift_quality,quality_score,period,strength,situation
SH1896900001,18969,P100001,1,82.0,long,70,1.0,,
SH1896900007,18969,P100001,7,102.0,exhausted,40,1.0,,
SH1896900008,18969,P100001,8,7.0,short,70,1.0,,
SH1896900009,18969,P100001,9,16.0,short,70,1.0,,
SH1896900010,18969,P100001,10,9.0,short,70,1.0,,
SH1896900011,18969,P100001,11,25.0,short,70,1.0,,
SH1896900017,18969,P100001,17,6.0,short,70,1.0,,
SH1896900018,18969,P100001,18,7.0,short,70,1.0,,
SH1896900019,18969,P100001,19,14.0,short,70,1.0,,
SH1896900020,18969,P100001,20,18.0,short,70,1.0,,
SH1896900021,18969,P100001,21,56.0,good,90,1.0,,
SH1896900022,18969,P100001,22,57.0,good,90,1.0,,
SH1896900027,18969,P100001,27,65.0,long,70,1.0,,
SH1896900028,18969,P100001,28,78.0,long,70,1.0,,
SH1896900029,18969,P100001,29,59.0,good,90,1.0,,
SH1896900034,18969,P100001,34,67.0,long,70,2.0,,
SH1896900035,18969,P100001,35,19.0,short,70,2.0,,
SH1896900036,18969,P100001,36,33.0,optimal,100,2.0,,
SH1896900040,18969,P100001,40,20.0,short,70,2.0,,
SH1896900041,18969,P100001,41,4.0,short,70,2.0,,
SH1896900042,18969,P100001,42,29.0,short,70,2.0,,
SH1896900043,18969,P100001,43,38.0,optimal,100,2.0,,
SH1896900044,18969,P100001,44,27.0,short,70,2.0,,
SH1896900053,18969,P100001,53,124.0,exhausted,40,2.0,,
SH1896900054,18969,P100001,54,16.0,short,70,2.0,,
SH1896900055,18969,P100001,55,14.0,short,70,2.0,,
SH1896900056,18969,P100001,56,13.0,short,70,2.0,,
SH1896900063,18969,P100001,63,94.0,exhausted,40,2.0,,
SH1896900065,18969,P100001,65,35.0,optimal,100,3.0,,
SH1896900066,18969,P100001,66,48.0,good,90,3.0,,
SH1896900067,18969,P100001,67,52.0,good,90,3.0,,
SH1896900068,18969,P100001,68,16.0,short,70,3.0,,
SH1896900069,18969,P100001,69,17.0,short,70,3.0,,
SH1896900074,18969,P100001,74,73.0,long,70,3.0,,
SH1896900075,18969,P100001,75,13.0,short,70,3.0,,
SH1896900080,18969,P100001,80,11.0,short,70,3.0,,
SH1896900081,18969,P100001,81,50.0,good,90,3.0,,
SH1896900082,18969,P100001,82,2.0,short,70,3.0,,
SH1896900083,18969,P100001,83,34.0,optimal,100,3.0,,
SH1896900084,18969,P100001,84,22.0,short,70,3.0,,
SH1896900085,18969,P100001,85,16.0,short,70,3.0,,
SH1896900090,18969,P100001,90,42.0,optimal,100,3.0,,
SH1896900091,18969,P100001,91,69.0,long,70,3.0,,
SH1896900092,18969,P100001,92,15.0,short,70,3.0,,
SH1896900093,18969,P100001,93,9.0,short,70,3.0,,
SH1896900094,18969,P100001,94,15.0,short,70,3.0,,
SH1896900095,18969,P100001,95,10.0,short,70,3.0,,
SH1896900097,18969,P100001,97,24.0,short,70,3.0,,
SH1896900098,18969,P100001,98,58.0,good,90,3.0,,
SH1896900002,18969,P100002,2,79.0,long,70,1.0,,
SH1896900003,18969,P100002,3,9.0,short,70,1.0,,
SH1896900004,18969,P100002,4,29.0,short,70,1.0,,
SH1896900005,18969,P100002,5,4.0,short,70,1.0,,
SH1896900006,18969,P100002,6,8.0,short,70,1.0,,
SH1896900018,18969,P100002,18,7.0,short,70,1.0,,
SH1896900019,18969,P100002,19,14.0,short,70,1.0,,
SH1896900020,18969,P100002,20,18.0,short,70,1.0,,
SH1896900021,18969,P100002,21,56.0,good,90,1.0,,
SH1896900028,18969,P100002,28,78.0,long,70,1.0,,
SH1896900029,18969,P100002,29,59.0,good,90,1.0,,
SH1896900037,18969,P100002,37,95.0,exhausted,40,2.0,,
SH1896900038,18969,P100002,38,11.0,short,70,2.0,,
SH1896900049,18969,P100002,49,3.0,short,70,2.0,,
SH1896900050,18969,P100002,50,18.0,short,70,2.0,,
SH1896900051,18969,P100002,51,39.0,optimal,100,2.0,,
SH1896900052,18969,P100002,52,8.0,short,70,2.0,,
SH1896900060,18969,P100002,60,52.0,good,90,2.0,,
SH1896900061,18969,P100002,61,11.0,short,70,2.0,,
SH1896900062,18969,P100002,62,4.0,short,70,2.0,,
SH1896900063,18969,P100002,63,94.0,exhausted,40,2.0,,
SH1896900073,18969,P100002,73,70.0,long,70,3.0,,
SH1896900081,18969,P100002,81,50.0,good,90,3.0,,
SH1896900082,18969,P100002,82,2.0,short,70,3.0,,
SH1896900083,18969,P100002,83,34.0,optimal,100,3.0,,
SH1896900084,18969,P100002,84,22.0,short,70,3.0,,
SH1896900085,18969,P100002,85,16.0,short,70,3.0,,
SH1896900094,18969,P100002,94,15.0,short,70,3.0,,
SH1896900095,18969,P100002,95,10.0,short,70,3.0,,
SH1896900097,18969,P100002,97,24.0,short,70,3.0,,
SH1896900001,18969,P100016,1,82.0,long,70,1.0,,
SH1896900002,18969,P100016,2,79.0,long,70,1.0,,
SH1896900003,18969,P100016,3,9.0,short,70,1.0,,
SH1896900004,18969,P100016,4,29.0,short,70,1.0,,
SH1896900005,18969,P100016,5,4.0,short,70,1.0,,
SH1896900006,18969,P100016,6,8.0,short,70,1.0,,
SH1896900007,18969,P100016,7,102.0,exhausted,40,1.0,,
SH1896900008,18969,P100016,8,7.0,short,70,1.0,,
SH1896900009,18969,P100016,9,16.0,short,70,1.0,,
SH1896900010,18969,P100016,10,9.0,short,70,1.0,,
SH1896900011,18969,P100016,11,25.0,short,70,1.0,,
SH1896900012,18969,P100016,12,35.0,optimal,100,1.0,,
SH1896900013,18969,P100016,13,52.0,good,90,1.0,,
SH1896900014,18969,P100016,14,49.0,good,90,1.0,,
SH1896900015,18969,P100016,15,9.0,short,70,1.0,,
SH1896900016,18969,P100016,16,23.0,short,70,1.0,,
SH1896900017,18969,P100016,17,6.0,short,70,1.0,,
SH1896900018,18969,P100016,18,7.0,short,70,1.0,,
SH1896900019,18969,P100016,19,14.0,short,70,1.0,,
SH1896900020,18969,P100016,20,18.0,short,70,1.0,,
SH1896900021,18969,P100016,21,56.0,good,90,1.0,,
SH1896900022,18969,P100016,22,57.0,good,90,1.0,,
SH1896900023,18969,P100016,23,37.0,optimal,100,1.0,,
SH1896900024,18969,P100016,24,61.0,long,70,1.0,,
SH1896900025,18969,P100016,25,79.0,long,70,1.0,,
SH1896900026,18969,P100016,26,5.0,short,70,1.0,,
SH1896900027,18969,P100016,27,65.0,long,70,1.0,,
SH1896900028,18969,P100016,28,78.0,long,70,1.0,,
SH1896900029,18969,P100016,29,59.0,good,90,1.0,,
SH1896900031,18969,P100016,31,49.0,good,90,2.0,,
SH1896900032,18969,P100016,32,19.0,short,70,2.0,,
SH1896900033,18969,P100016,33,17.0,short,70,2.0,,
SH1896900034,18969,P100016,34,67.0,long,70,2.0,,
SH1896900035,18969,P100016,35,19.0,short,70,2.0,,
SH1896900036,18969,P100016,36,33.0,optimal,100,2.0,,
SH1896900037,18969,P100016,37,95.0,exhausted,40,2.0,,
SH1896900038,18969,P100016,38,11.0,short,70,2.0,,
SH1896900039,18969,P100016,39,99.0,exhausted,40,2.0,,
SH1896900040,18969,P100016,40,20.0,short,70,2.0,,
SH1896900041,18969,P100016,41,4.0,short,70,2.0,,
SH1896900042,18969,P100016,42,29.0,short,70,2.0,,
