zone_entry_key,player_id,games,total_entries,entries_per_game
ZE0000,P100001,4,52,13.0
ZE0001,P100002,4,12,3.0
ZE0002,P100004,1,4,4.0
ZE0003,P100009,1,0,0.0
ZE0004,P100016,4,0,0.0
ZE0005,P100022,1,12,12.0
ZE0006,P100023,1,6,6.0
ZE0007,P100024,1,4,4.0
ZE0008,P100025,1,2,2.0
ZE0009,P100027,1,1,1.0
ZE0010,P100030,1,3,3.0
ZE0011,P100031,1,5,5.0
ZE0012,P100032,1,14,14.0
ZE0013,P100033,1,5,5.0
ZE0014,P100034,1,4,4.0
ZE0015,P100038,1,0,0.0
ZE0016,P100039,4,7,1.75
ZE0017,P100047,1,12,12.0
ZE0018,P100049,1,4,4.0
ZE0019,P100061,1,2,2.0
ZE0020,P100064,2,6,3.0
ZE0021,P100066,1,10,10.0
ZE0022,P100070,3,13,4.33
ZE0023,P100071,1,2,2.0
ZE0024,P100072,1,3,3.0
ZE0025,P100074,1,9,9.0
ZE0026,P100078,1,8,8.0
ZE0027,P100079,1,10,10.0
ZE0028,P100080,1,1,1.0
ZE0029,P100081,1,1,1.0
ZE0030,P100084,1,6,6.0
ZE0031,P100086,1,7,7.0
ZE0032,P100088,1,20,20.0
ZE0033,P100091,1,1,1.0
ZE0034,P100093,2,12,6.0
ZE0035,P100096,1,0,0.0
ZE0036,P100097,1,2,2.0
ZE0037,P100099,1,6,6.0
ZE0038,P100100,1,1,1.0
ZE0039,P100105,4,14,3.5
ZE0040,P100107,1,2,2.0
ZE0041,P100108,4,8,2.0
ZE0042,P100110,1,1,1.0
ZE0043,P100111,1,0,0.0
ZE0044,P100117,1,10,10.0
ZE0045,P100119,1,10,10.0
ZE0046,P100123,1,3,3.0
ZE0047,P100128,1,7,7.0
ZE0048,P100132,4,10,2.5
ZE0049,P100138,1,0,0.0
ZE0050,P100159,2,17,8.5
ZE0051,P100161,3,20,6.67
ZE0052,P100164,1,4,4.0
ZE0053,P100170,1,6,6.0
ZE0054,P100185,1,15,15.0
ZE0055,P100192,1,13,13.0
ZE0056,P100197,1,12,12.0
ZE0057,P100198,4,17,4.25
ZE0058,P100201,4,34,8.5
ZE0059,P100202,1,0,0.0
ZE0060,P100210,1,6,6.0
ZE0061,P100211,1,1,1.0
ZE0062,P100214,1,5,5.0
ZE0063,P100222,1,1,1.0
ZE0064,P100223,1,5,5.0
ZE0065,P100224,4,11,2.75
ZE0066,P100230,3,3,1.0
ZE0067,P100232,1,0,0.0
