zone_exit_key,player_id,games,total_exits,exits_per_game
ZX0000,P100001,4,42,10.5
ZX0001,P100002,4,23,5.75
ZX0002,P100004,1,4,4.0
ZX0003,P100009,1,2,2.0
ZX0004,P100016,4,1,0.25
ZX0005,P100022,1,3,3.0
ZX0006,P100023,1,7,7.0
ZX0007,P100024,1,0,0.0
ZX0008,P100025,1,6,6.0
ZX0009,P100027,1,2,2.0
ZX0010,P100030,1,3,3.0
ZX0011,P100031,1,1,1.0
ZX0012,P100032,1,16,16.0
ZX0013,P100033,1,4,4.0
ZX0014,P100034,1,5,5.0
ZX0015,P100038,1,4,4.0
ZX0016,P100039,4,5,1.25
ZX0017,P100047,1,3,3.0
ZX0018,P100049,1,4,4.0
ZX0019,P100061,1,5,5.0
ZX0020,P100064,2,3,1.5
ZX0021,P100066,1,5,5.0
ZX0022,P100070,3,18,6.0
ZX0023,P100071,1,2,2.0
ZX0024,P100072,1,3,3.0
ZX0025,P100074,1,11,11.0
ZX0026,P100078,1,4,4.0
ZX0027,P100079,1,5,5.0
ZX0028,P100080,1,0,0.0
ZX0029,P100081,1,1,1.0
ZX0030,P100084,1,9,9.0
ZX0031,P100086,1,10,10.0
ZX0032,P100088,1,12,12.0
ZX0033,P100091,1,0,0.0
ZX0034,P100093,2,11,5.5
ZX0035,P100096,1,0,0.0
ZX0036,P100097,1,0,0.0
ZX0037,P100099,1,4,4.0
ZX0038,P100100,1,5,5.0
ZX0039,P100105,4,29,7.25
ZX0040,P100107,1,2,2.0
ZX0041,P100108,4,21,5.25
ZX0042,P100110,1,1,1.0
ZX0043,P100111,1,0,0.0
ZX0044,P100117,1,10,10.0
ZX0045,P100119,1,13,13.0
ZX0046,P100123,1,7,7.0
ZX0047,P100128,1,4,4.0
ZX0048,P100132,4,16,4.0
ZX0049,P100138,1,0,0.0
ZX0050,P100159,2,9,4.5
ZX0051,P100161,3,9,3.0
ZX0052,P100164,1,6,6.0
ZX0053,P100170,1,6,6.0
ZX0054,P100185,1,4,4.0
ZX0055,P100192,1,9,9.0
ZX0056,P100197,1,10,10.0
ZX0057,P100198,4,29,7.25
ZX0058,P100201,4,24,6.0
ZX0059,P100202,1,1,1.0
ZX0060,P100210,1,3,3.0
ZX0061,P100211,1,1,1.0
ZX0062,P100214,1,4,4.0
ZX0063,P100222,1,2,2.0
ZX0064,P100223,1,3,3.0
ZX0065,P100224,4,9,2.25
ZX0066,P100230,3,2,0.67
ZX0067,P100232,1,4,4.0
