Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Away,11,Shot,72.96,-39.90,98.70,12.79,58.65,380,Play
1,Away,11,Shot,96.96,12.97,24.96,16.97,72.11,381,Play
1,Away,9,Shot,63.91,-10.34,25.30,-2.86,39.33,381,Play
1,Away,5,Shot,25.39,39.75,-1.13,37.66,26.60,381,Play
1,Home,24,Shot,92.61,10.71,31.22,13.58,61.46,381,Play
1,Home,75,Shot,57.22,12.62,28.78,26.53,31.66,381,Play
1,Away,11,Shot,24.61,16.36,-24.52,22.97,49.57,382,Play
1,Away,11,Shot,-25.83,23.49,-88.96,26.62,63.21,383,Play
1,Away,5,Shot,-24.43,38.97,-68.00,23.14,46.35,383,Play
1,Away,9,Shot,-25.39,1.75,-67.65,-4.25,42.68,383,Play
1,Home,93,Shot,-43.57,18.01,-79.04,24.01,35.98,383,Play
1,Home,9,Shot,-42.26,-1.82,-77.22,-0.68,34.97,383,Play
1,Home,42,Shot,-30.43,-11.82,-71.57,10.88,46.98,383,Play
1,Away,11,Shot,-88.52,26.45,-69.04,22.36,19.90,384,Play
1,Away,5,Shot,-68.35,21.66,,,29.93,384,Play
1,Home,93,Shot,-78.78,23.05,,,25.22,384,Play
1,Away,5,Shot,-70.70,21.05,-98.09,3.23,32.68,385,Play
1,Home,93,Shot,-78.70,21.40,-97.22,5.14,24.65,385,Play
1,Home,93,Shot,-98.00,4.45,-96.70,18.36,13.97,387,Play
1,Away,5,Shot,-91.39,7.05,-94.09,15.32,8.69,387,Play
1,Home,93,Shot,-96.78,18.01,-94.00,-16.60,34.72,388,Play
1,Home,93,Shot,-93.65,-16.95,-84.78,-19.55,9.25,389,Play
1,Away,9,Shot,-66.26,-6.86,-78.00,-12.68,13.11,389,Play
1,Away,11,Shot,-60.61,-10.86,-76.35,-15.03,16.28,389,Play
1,Home,93,Shot,-85.57,-19.12,-56.43,-1.47,34.06,390,Play
1,Home,42,Shot,-66.52,2.88,-57.04,-1.47,10.43,390,Play
1,Home,24,Shot,-58.96,8.53,-51.30,-4.08,14.75,390,Play
1,Away,11,Shot,-76.52,-14.34,-67.48,-24.95,13.94,390,Play
1,Away,9,Shot,-78.17,-12.60,-55.30,-9.29,23.11,390,Play
1,Away,13,Shot,-29.13,-20.25,-38.17,-15.82,10.07,390,Play
