Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Home,70,Shot,68.26,-22.16,34.70,-35.21,36.01,169,Play
1,Home,93,Shot,33.83,-34.77,,,65.22,169,Play
1,Away,14,Shot,69.39,-22.42,,,29.79,169,Play
1,Home,93,Shot,34.78,-34.77,32.17,-29.64,5.76,170,Play
1,Away,14,Shot,68.78,-21.64,39.83,-25.64,29.23,170,Play
1,Home,93,Shot,32.35,-29.64,61.04,-13.82,32.77,171,Play
1,Home,14,Shot,59.57,-12.42,,,31.95,171,Play
1,Away,14,Shot,40.35,-25.90,,,55.12,171,Play
1,Home,14,Shot,60.35,-12.42,84.09,0.62,27.09,172,Play
1,Home,70,Shot,70.78,-8.95,,,20.30,172,Play
1,Away,1,Shot,85.57,-1.21,84.87,1.32,2.62,172,Play
1,Away,1,Shot,84.52,1.58,89.48,33.92,32.73,174,Play
1,Home,75,Shot,85.91,36.18,67.04,21.32,24.02,175,Play
1,Home,14,Shot,56.17,9.84,,,34.27,175,Play
1,Away,14,Shot,66.96,21.14,,,30.54,175,Play
1,Away,12,Shot,82.61,36.36,,,36.92,175,Play
1,Away,14,Shot,66.00,21.14,24.87,38.62,44.69,177,Play
1,Away,7,Shot,56.87,-14.34,25.65,-17.47,31.37,177,Play
1,Home,14,Shot,57.04,9.84,25.83,28.71,36.48,177,Play
1,Home,9,Shot,29.65,28.36,0.09,32.79,29.90,177,Play
1,Home,93,Shot,28.70,7.23,2.35,2.01,26.86,177,Play
1,Away,14,Shot,24.70,38.18,-23.30,-35.47,87.91,178,Play
1,Away,7,Shot,24.00,-18.42,-22.00,-36.34,49.36,178,Play
1,Home,93,Shot,2.43,1.66,-24.70,-11.03,29.95,178,Play
1,Home,9,Shot,-1.04,32.36,-28.17,17.40,30.98,178,Play
1,Home,14,Shot,26.00,28.79,-8.52,29.23,34.52,178,Play
1,Away,7,Shot,-24.61,-35.73,-68.61,-33.12,44.08,179,Play
1,Away,14,Shot,-23.57,-1.21,-71.04,4.88,47.87,179,Play
1,Home,93,Shot,-25.13,-10.60,-67.22,-23.73,44.09,179,Play
1,Home,9,Shot,-29.39,17.05,-73.13,-0.25,47.04,179,Play
1,Home,14,Shot,-7.91,28.62,-38.00,-6.16,45.99,179,Play
1,Away,7,Shot,-68.78,-33.73,-73.74,-0.08,34.02,180,Play
1,Away,14,Shot,-70.61,4.97,,,19.05,180,Play
1,Home,9,Shot,-74.00,0.62,,,15.01,180,Play
1,Home,93,Shot,-68.17,-23.64,,,31.51,180,Play
1,Home,14,Shot,-38.78,-6.77,,,50.67,180,Play
1,Home,9,Shot,-73.57,0.53,-25.65,11.66,49.19,182,Play
1,Away,16,Shot,-50.78,4.62,,,38.50,182,Play
1,Home,9,Shot,-25.48,11.32,25.13,17.32,50.96,183,Play
1,Home,9,Shot,26.26,17.49,87.13,35.75,63.55,184,Play
1,Home,14,Shot,24.78,2.97,66.70,19.05,44.89,184,Play
1,Home,75,Shot,23.57,24.79,33.83,32.79,13.01,184,Play
1,Away,12,Shot,40.78,17.14,85.74,30.71,46.96,184,Play
1,Away,13,Shot,45.13,10.53,76.35,2.45,32.25,184,Play
1,Home,9,Shot,87.04,35.49,94.43,22.53,14.92,185,Play
1,Home,14,Shot,66.70,18.88,81.13,20.97,14.58,185,Play
1,Away,12,Shot,83.22,34.79,87.83,24.97,10.85,185,Play
1,Away,13,Shot,81.91,2.27,80.78,5.40,3.33,185,Play
1,Home,9,Shot,94.00,21.92,81.74,21.05,12.29,186,Play
1,Home,14,Shot,80.35,19.84,,,21.64,186,Play
1,Away,12,Shot,86.35,23.58,,,23.72,186,Play
1,Away,13,Shot,80.87,5.23,,,9.67,186,Play
1,Home,14,Shot,80.09,19.23,87.65,2.97,17.93,187,Play
1,Away,1,Shot,86.09,0.36,87.83,2.27,2.59,187,Play
1,Away,12,Shot,86.52,22.79,,,22.93,187,Play
1,Away,13,Shot,82.87,2.45,,,6.60,187,Play
1,Home,70,Shot,69.30,22.53,65.30,39.40,17.34,190,Play
1,Home,75,Shot,66.00,37.58,,,44.06,190,Play
1,Home,75,Shot,66.26,38.18,,,44.44,191,Play
1,Away,16,Shot,67.74,38.01,,,43.55,191,Play
1,Away,12,Shot,95.57,18.97,96.00,-12.34,31.31,192,Play
1,Away,12,Shot,96.35,-13.29,73.91,-39.99,34.87,193,Play
1,Away,7,Shot,73.83,-39.82,,,42.61,193,Play
1,Home,14,Shot,92.17,-15.03,,,15.36,193,Play
1,Away,7,Shot,74.17,-39.64,88.96,-18.16,26.07,194,Play
1,Away,7,Shot,89.04,-18.08,29.74,-0.42,61.88,195,Play
1,Away,3,Shot,30.09,-1.82,,,58.94,195,Play
1,Home,14,Shot,82.00,-25.90,,,26.83,195,Play
1,Home,70,Shot,27.83,-1.47,,,61.19,195,Play
1,Home,70,Shot,27.83,1.66,,,61.20,196,Play
1,Away,3,Shot,31.30,-0.16,25.13,6.79,9.30,196,Play
1,Away,16,Shot,24.61,35.32,,,73.44,196,Play
1,Away,3,Shot,24.87,6.71,-24.96,22.27,52.20,197,Play
1,Away,3,Shot,-24.96,21.84,-48.26,15.05,24.27,198,Play
1,Home,9,Shot,-33.74,19.84,-54.61,17.32,21.02,198,Play
1,Home,93,Shot,-31.30,-1.90,-53.48,7.49,24.08,198,Play
1,Away,3,Shot,-47.91,15.14,-84.26,0.88,39.05,199,Play
1,Home,39,Shot,-84.26,1.05,,,4.85,199,Play
1,Home,9,Shot,-55.04,17.14,,,38.04,199,Play
1,Home,93,Shot,-53.22,7.58,,,36.58,199,Play
1,Home,39,Shot,-83.83,2.01,-89.30,30.18,28.70,201,Play
1,Away,3,Shot,-65.04,7.05,-89.30,30.18,33.52,201,Play
1,Away,3,Shot,-89.39,30.88,-69.57,38.97,21.41,202,Play
1,Home,9,Shot,-90.43,27.14,-80.70,38.62,15.05,202,Play
1,Away,3,Shot,-69.30,38.79,-74.70,40.62,5.69,203,Play
1,Home,9,Shot,-76.00,38.10,-77.74,38.18,1.74,203,Play
1,Home,75,Shot,-53.13,35.66,-62.70,35.14,9.58,203,Play
1,Home,70,Shot,-49.83,40.18,-60.00,30.45,14.08,203,Play
1,Away,3,Shot,-74.61,40.27,-72.17,26.27,14.21,204,Play
1,Away,15,Shot,-65.04,24.53,-72.87,26.62,8.10,204,Play
1,Home,9,Shot,-77.39,37.84,-76.87,36.10,1.82,204,Play
1,Home,75,Shot,-62.70,35.23,,,43.97,204,Play
1,Away,15,Shot,-72.17,26.27,-81.65,13.05,16.26,205,Play
1,Home,93,Shot,-79.30,5.75,-86.52,9.49,8.13,205,Play
1,Home,70,Shot,-59.65,30.36,-71.30,12.45,21.37,205,Play
1,Away,15,Shot,-82.00,12.18,-87.30,4.10,9.67,206,Play
1,Home,39,Shot,-87.22,3.32,,,3.76,206,Play
1,Home,9,Shot,-81.04,18.10,,,19.77,206,Play
1,Home,93,Shot,-86.87,9.49,,,9.73,206,Play
