Period,Index,Team,Player,Type,X,Y,playbyplayindex,Missed
1,8,Home,,Save,37.30,-12.73,,Wide
1,29,Home,,Save,-6.70,-5.46,,Wide
1,39,Home,,Save,-12.58,-7.46,,Wide
1,110,Home,,Save,-33.00,-19.34,,Wide
1,116,Home,,Save,-27.97,-20.55,,Wide
1,137,Home,,Save,35.36,12.11,,Wide
1,154,Home,,Save,-22.94,-21.28,,Wide
1,163,Home,,Save,27.48,-21.77,,Wide
1,166,Home,,Save,34.39,-20.73,,Wide
1,172,Home,,Save,-18.09,-20.25,,Wide
1,187,Home,,Save,-34.39,-22.37,,Wide
1,199,Home,,Save,21.06,-15.46,,Wide
1,206,Home,,Save,30.03,-20.55,,Wide
1,211,Home,,Save,1.42,-10.07,,Wide
1,218,Home,,Save,24.15,-23.58,,Wide
1,257,Home,,Save,-31.67,-22.43,,Wide
1,267,Home,,Save,-22.09,-20.19,,Wide
1,280,Home,,Save,2.33,-14.37,,Wide
1,284,Home,,Save,-33.18,-15.70,,Wide
1,309,Home,,Save,29.91,-21.52,,Wide
1,325,Home,,Save,17.06,-23.70,,Wide
1,332,Home,,Save,-27.12,-21.46,,Wide
1,339,Home,,Save,-34.33,21.33,,Wide
1,428,Home,,Save,-32.27,-9.95,,Wide
1,457,Home,,Save,-28.58,-22.49,,Wide
