event_index,X,Y
174,1.49,-20.50
175,1.46,-20.56
225,27.36,-19.81
226,27.36,-19.81
270,20.31,-19.97
271,20.38,-19.91
276,-25.23,-4.17
277,-25.00,-4.33
331,-0.15,-6.76
332,-0.48,-6.73
341,31.79,-7.71
342,31.49,-7.58
357,-30.77,-3.74
358,-30.61,-3.64
368,34.38,-0.82
410,-20.84,-16.43
411,-21.00,-16.00
443,34.05,-15.25
444,33.98,-14.99
456,16.67,-7.41
457,16.74,-7.12
496,17.13,-19.97
497,17.30,-19.94
493,-12.31,-20.04
494,-12.31,-19.77
542,-27.00,-18.14
543,-27.00,-17.87
571,-33.62,21.93
572,-33.49,21.80
580,8.57,-20.99
581,8.97,-21.05
590,-8.90,-6.23
591,-8.80,-6.14
611,-34.15,14.49
612,-33.98,14.59
626,18.38,1.14
625,18.54,1.05
653,-28.77,20.85
654,-28.97,20.95
635,-21.59,-12.04
636,-21.52,-11.94
686,25.00,-20.33
687,25.10,-20.23
