event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
1,e,11,0.43,-0.2,22.87,-16.72,,,27.86,18977,Velodrome,HollowBrook
1,e,27,22.26,-16.8,,,,,68.82,18977,Velodrome,HollowBrook
1,o,70,0.7,0.24,,,,,88.3,18977,Velodrome,HollowBrook
2,e,27,25.04,-16.02,24.96,20.15,,,36.17,18977,Velodrome,HollowBrook
2,e,33,24.43,20.5,,,,,67.74,18977,Velodrome,HollowBrook
3,e,33,24.87,21.28,39.74,-13.76,,,38.07,18977,Velodrome,HollowBrook
3,e,27,40.78,-14.63,40.26,-14.11,,,0.74,18977,Velodrome,HollowBrook
4,e,27,40.52,-14.2,26.87,-16.46,,,13.84,18977,Velodrome,HollowBrook
5,e,33,14.26,39.2,,,,,84.39,18977,Velodrome,HollowBrook
5,e,27,22.87,-23.33,14,40.33,,,64.27,18977,Velodrome,HollowBrook
6,e,33,-11.04,40.24,-15.74,40.24,,,4.7,18977,Velodrome,HollowBrook
6,o,70,-25.04,33.2,-15.57,39.28,,,11.26,18977,Velodrome,HollowBrook
7,e,49,27.13,38.59,27.3,38.93,,,0.39,18977,Velodrome,HollowBrook
8,e,,-19.91,22.24,,,,,72.58,18977,Velodrome,HollowBrook
9,e,70,-20.52,22.07,-35.65,16.93,,,15.98,18977,Velodrome,HollowBrook
9,o,11,-19.83,22.15,,,,,72.63,18977,Velodrome,HollowBrook
10,e,70,-35.39,16.93,-53.57,2.93,,,22.94,18977,Velodrome,HollowBrook
11,e,70,-53.48,3.2,-57.22,34.33,,,31.35,18977,Velodrome,HollowBrook
11,e,87,-57.57,34.67,,,,,46.8,18977,Velodrome,HollowBrook
12,e,87,-57.39,36.07,-50.96,35.2,,,6.49,18977,Velodrome,HollowBrook
13,e,87,-51.3,35.37,-22.78,-38.2,,,78.9,18977,Velodrome,HollowBrook
13,e,70,-42.7,-38.8,-24.17,-38.46,,,18.53,18977,Velodrome,HollowBrook
14,e,87,-51.13,35.37,-23.04,-38.8,,,79.31,18977,Velodrome,HollowBrook
14,e,70,-42.17,-39.07,-23.39,-37.93,,,18.82,18977,Velodrome,HollowBrook
15,e,11,-1.91,-22.2,,,,,89.87,18977,Velodrome,HollowBrook
15,o,75,-2.43,-22.28,,,,,89.39,18977,Velodrome,HollowBrook
16,e,11,-3.3,-22.2,-23.57,-37.85,,,25.6,18977,Velodrome,HollowBrook
17,e,11,-23.57,-37.59,-53.91,-19.67,,,35.24,18977,Velodrome,HollowBrook
17,e,19,-22.7,-24.02,-51.74,-17.5,,,29.77,18977,Velodrome,HollowBrook
17,e,22,-20.43,9.02,-50.87,-4.89,,,33.46,18977,Velodrome,HollowBrook
17,o,84,-44.26,-17.41,-60.96,-15.24,,,16.84,18977,Velodrome,HollowBrook
17,o,87,-48,11.28,-66.17,-0.63,,,21.73,18977,Velodrome,HollowBrook
