table,type,column,data_type,key_type,sample
dim_comparison_type,dimension,comparison_type_id,object,PK,CMP001
dim_comparison_type,dimension,comparison_type_code,object,,WOWY
dim_comparison_type,dimension,comparison_type_name,object,,With Or Without You
dim_comparison_type,dimension,description,object,,Compares player stats when playing with vs with...
dim_comparison_type,dimension,analysis_scope,object,,player
dim_composite_rating,dimension,rating_id,object,PK,CR001
dim_composite_rating,dimension,rating_code,object,,offensive_rating
dim_composite_rating,dimension,rating_name,object,,Offensive Rating
dim_composite_rating,dimension,description,object,,"Weighted composite of goals, assists, shots, xG"
dim_composite_rating,dimension,scale_min,int64,,0
dim_composite_rating,dimension,scale_max,int64,,100
dim_danger_zone,dimension,danger_zone_id,object,PK,DZ001
dim_danger_zone,dimension,danger_zone_code,object,,high_danger
dim_danger_zone,dimension,danger_zone_name,object,,High Danger (Slot)
dim_danger_zone,dimension,xg_base,float64,,0.2
dim_danger_zone,dimension,description,object,,"Within 15 feet of net, prime scoring area"
dim_event_detail,dimension,event_detail_id,object,PK,ED0001
dim_event_detail,dimension,event_detail_code,object,,Breakaway
dim_event_detail,dimension,event_detail_name,object,,Breakaway
dim_event_detail_2,dimension,event_detail_2_id,object,PK,E20001
dim_event_detail_2,dimension,event_detail_2_code,object,,Deke
dim_event_detail_2,dimension,event_detail_2_name,object,,Deke
dim_event_detail_2,dimension,is_secondary_action,object,,Yes
dim_event_detail_2,dimension,context_type,object,,Modifier
dim_event_detail_2,dimension,description,object,,Additional context for the primary event detail
dim_event_type,dimension,event_type_id,object,PK,ET0001
dim_event_type,dimension,event_type_code,object,,Clockstop
dim_event_type,dimension,event_type_name,object,,Clockstop
dim_giveaway_type,dimension,giveaway_type_id,object,PK,GT0001
dim_giveaway_type,dimension,giveaway_type_code,object,,Giveaway-AttemptedZoneClear/Dump
dim_giveaway_type,dimension,giveaway_type_name,object,,Attempted Zone Clear/Dump
dim_giveaway_type,dimension,danger_level,object,,low
dim_giveaway_type,dimension,xga_impact,float64,,0.02
dim_giveaway_type,dimension,turnover_quality,object,,neutral
dim_giveaway_type,dimension,zone_context,object,,defensive
dim_giveaway_type,dimension,description,object,,Intentional dump that failed to clear
dim_league,dimension,league_id,object,PK,N
dim_league,dimension,league,object,,NORAD
dim_micro_stat,dimension,micro_stat_id,object,PK,MS001
dim_micro_stat,dimension,stat_code,object,,deke_attempts
dim_micro_stat,dimension,stat_name,object,,Deke Attempts
dim_micro_stat,dimension,category,object,,offensive
dim_net_location,dimension,net_location_id,object,PK,NL0001
dim_net_location,dimension,net_location_code,object,,GH
dim_net_location,dimension,net_location_name,object,,Glove High
dim_net_location,dimension,x_pct,float64,,0.25
dim_net_location,dimension,y_pct,float64,,0.75
dim_pass_type,dimension,pass_type_id,object,PK,PT0001
dim_pass_type,dimension,pass_type_code,object,,Pass-Backhand
dim_pass_type,dimension,pass_type_name,object,,Backhand
dim_pass_type,dimension,expected_completion_rate,float64,,0.7
dim_pass_type,dimension,danger_value,float64,,0.8
dim_pass_type,dimension,xa_modifier,float64,,0.9
dim_pass_type,dimension,description,object,,Backhand pass - deceptive but less accurate
dim_pass_type,dimension,skill_required,object,,medium
dim_period,dimension,period_id,object,PK,P0001
dim_period,dimension,period_number,object,,1
dim_period,dimension,period_name,object,,First Period
dim_period,dimension,period_type,object,,regulation
dim_period,dimension,duration_seconds,int64,,1200
dim_period,dimension,intensity_multiplier,float64,,1.0
dim_period,dimension,description,object,,Opening period
dim_play_detail,dimension,play_detail_id,object,PK,PD0001
dim_play_detail,dimension,play_detail_code,object,,AssistPrimary
dim_play_detail,dimension,play_detail_name,object,,AssistPrimary
dim_play_detail,dimension,play_category,object,,Other
dim_play_detail,dimension,skill_level,object,,Standard
dim_play_detail,dimension,description,object,,Micro-play action describing HOW the event was ...
dim_play_detail_2,dimension,play_detail_2_id,object,PK,P20001
dim_play_detail_2,dimension,play_detail_2_code,object,,AttemptedBreakOutPass
dim_play_detail_2,dimension,play_detail_2_name,object,,AttemptedBreakOutPass
dim_play_detail_2,dimension,is_secondary_play,object,,Yes
dim_play_detail_2,dimension,description,object,,Additional micro-play context
dim_player,dimension,index,int64,,0
dim_player,dimension,player_first_name,object,,Sam
dim_player,dimension,player_last_name,object,,Downs
dim_player,dimension,player_full_name,object,,Sam Downs
dim_player,dimension,player_id,object,FK,P100001
dim_player,dimension,player_primary_position,object,,Forward
dim_player,dimension,current_skill_rating,int64,,6
dim_player,dimension,player_hand,float64,,nan
dim_player,dimension,birth_year,float64,,1986.0
dim_player,dimension,player_gender,object,,M
dim_player,dimension,highest_beer_league,object,,B - Platinum Group
dim_player,dimension,player_rating_ly,int64,,6
dim_player,dimension,player_notes,float64,,nan
dim_player,dimension,player_leadership,object,,A
dim_player,dimension,player_norad,object,,Y
dim_player,dimension,player_csaha,float64,,nan
dim_player,dimension,player_norad_primary_number,float64,,nan
dim_player,dimension,player_csah_primary_number,float64,,nan
dim_player,dimension,player_norad_current_team,object,,Velodrome
dim_player,dimension,player_csah_current_team,float64,,nan
dim_player,dimension,player_norad_current_team_id,object,FK,N10010
dim_player,dimension,player_csah_current_team_id,float64,FK,nan
dim_player,dimension,other_url,float64,,nan
dim_player,dimension,player_url,object,,https://www.noradhockey.com/player/sam-downs/
dim_player,dimension,player_image,object,,https://i0.wp.com/www.noradhockey.com/wp-conten...
dim_player,dimension,random_player_first_name,object,,Joshua Walton
dim_player,dimension,random_player_last_name,object,,Joshua
dim_player,dimension,random_player_full_name,object,,Walton
dim_player_role,dimension,role_id,object,PK,RL0001
dim_player_role,dimension,role_code,object,,event_player_1
