table_name,type,primary_key,columns,rows,description
dim_comparison_type,Dimension,comparison_type_id,5,6,
dim_composite_rating,Dimension,rating_id,6,8,
dim_danger_zone,Dimension,danger_zone_id,5,4,
dim_event_detail,Dimension,event_detail_id,3,59,Event detail codes
dim_event_detail_2,Dimension,event_detail_2_id,6,97,
dim_event_type,Dimension,event_type_id,3,20,Event type codes
dim_game,Dimension,game_id,12,562,Game reference data
dim_giveaway_type,Dimension,giveaway_type_id,8,12,
dim_highlight_subtype,Dimension,highlight_subtype_id,5,25,
dim_highlight_type,Dimension,highlight_type_id,10,12,
dim_league,Dimension,league_id,2,2,
dim_micro_stat,Dimension,micro_stat_id,4,22,
dim_net_location,Dimension,net_location_id,5,10,
dim_pass_type,Dimension,pass_type_id,8,16,
dim_period,Dimension,period_id,7,5,
dim_play_detail,Dimension,play_detail_id,6,154,
dim_play_detail_2,Dimension,play_detail_2_id,5,62,
dim_player,Dimension,player_id,28,337,Player master data
dim_player_role,Dimension,role_id,6,14,
dim_playerurlref,Dimension,player_url_key,4,548,
dim_position,Dimension,position_id,4,7,
dim_randomnames,Dimension,random_full_name,5,486,
dim_rink_coord,Dimension,rink_coord_id,7,19,
dim_rinkboxcoord,Dimension,box_id,12,50,
dim_rinkcoordzones,Dimension,box_id,14,198,
dim_schedule,Dimension,game_id,45,562,Game schedule with full details
dim_season,Dimension,season_id,9,9,Season reference
dim_shift_slot,Dimension,slot_id,3,7,
dim_shift_start_type,Dimension,shift_start_type_id,7,9,
dim_shift_stop_type,Dimension,shift_stop_type_id,9,28,
dim_shot_type,Dimension,shot_type_id,10,14,
dim_situation,Dimension,situation_id,3,5,
dim_skill_tier,Dimension,tier_id,7,5,
dim_stat,Dimension,stat_id,12,83,
dim_stat_category,Dimension,stat_category_id,4,13,
dim_stat_type,Dimension,stat_id,6,57,
dim_stoppage_type,Dimension,stoppage_type_id,5,10,
dim_strength,Dimension,strength_id,7,18,
dim_success,Dimension,success_id,4,2,
dim_takeaway_type,Dimension,takeaway_type_id,8,10,
dim_team,Dimension,team_id,15,26,Team reference data
dim_terminology_mapping,Dimension,mapping_id,5,84,
dim_turnover_quality,Dimension,turnover_quality_id,5,3,
dim_turnover_type,Dimension,turnover_type_id,9,21,
dim_venue,Dimension,venue_id,4,2,
dim_zone,Dimension,zone_id,4,3,
dim_zone_entry_type,Dimension,zone_entry_type_id,9,11,
