table_name,type,rows,columns,primary_key,column_list
dim_assist_type,dimension,5,5,assist_type_id,"assist_type_id, assist_type_code, assist_type_name, points_value, description"
dim_danger_level,dimension,3,4,danger_level_id,"danger_level_id, danger_level_code, danger_level_name, xg_multiplier"
dim_event_detail,dimension,31,10,event_detail_id,"event_detail_id, event_detail_code, event_detail_name, event_type, category..."
dim_event_detail_2,dimension,97,4,event_detail_2_id,"event_detail_2_id, event_detail_2_code, event_detail_2_name, category"
dim_event_type,dimension,12,7,event_type_id,"event_type_id, event_type_code, event_type_name, event_category, description..."
dim_game_state,dimension,6,6,game_state_id,"game_state_id, game_state_code, game_state_name, goal_diff_min, goal_diff_max..."
dim_giveaway_type,dimension,15,3,giveaway_type_id,"giveaway_type_id, giveaway_type_code, giveaway_type_name"
dim_league,dimension,2,2,league_id,"league_id, league"
dim_pass_type,dimension,8,4,pass_type_id,"pass_type_id, pass_type_code, pass_type_name, description"
dim_period,dimension,5,5,period_id,"period_id, period_number, period_name, period_type, period_minutes"
dim_play_detail,dimension,134,6,play_detail_id,"play_detail_id, play_detail_code, play_detail_name, play_category, skill_level..."
dim_play_detail_2,dimension,62,6,play_detail_2_id,"play_detail_2_id, play_detail_2_code, play_detail_2_name, play_category, skill_level..."
dim_player,dimension,337,27,player_first_name,"player_first_name, player_last_name, player_full_name, player_id, player_primary_position..."
dim_player_role,dimension,14,5,role_id,"role_id, role_code, role_name, role_type, sort_order"
dim_playerurlref,dimension,548,3,n_player_url,"n_player_url, player_full_name, n_player_id_2"
dim_position,dimension,6,4,position_id,"position_id, position_code, position_name, position_type"
dim_randomnames,dimension,486,5,random_full_name,"random_full_name, random_first_name, random_last_name, gender, name_used"
dim_schedule,dimension,562,44,game_id,"game_id, season, season_id, game_url, home_team_game_id..."
dim_season,dimension,9,8,season_id,"season_id, season, session, norad, csah..."
dim_shift_duration,dimension,5,7,shift_duration_id,"shift_duration_id, duration_bucket, min_seconds, max_seconds, description..."
dim_shift_quality_tier,dimension,5,6,tier_id,"tier_id, tier_code, tier_name, score_min, score_max..."
dim_shift_start_type,dimension,9,2,shift_start_type_id,"shift_start_type_id, shift_start_type_name"
dim_shift_stop_type,dimension,18,2,shift_stop_type_id,"shift_stop_type_id, shift_stop_type_name"
dim_shot_type,dimension,6,4,shot_type_id,"shot_type_id, shot_type_code, shot_type_name, description"
dim_situation,dimension,5,2,situation_id,"situation_id, situation_name"
dim_stoppage_type,dimension,4,3,stoppage_type_id,"stoppage_type_id, stoppage_type_code, stoppage_type_name"
dim_success,dimension,3,4,success_id,"success_id, success_code, success_name, is_successful"
dim_takeaway_type,dimension,2,3,takeaway_type_id,"takeaway_type_id, takeaway_type_code, takeaway_type_name"
dim_team,dimension,26,14,team_name,"team_name, team_id, norad_team, csah_team, league_id..."
dim_time_bucket,dimension,6,6,time_bucket_id,"time_bucket_id, time_bucket_code, time_bucket_name, minute_start, minute_end..."
dim_venue,dimension,2,4,venue_id,"venue_id, venue_code, venue_name, venue_abbrev"
dim_zone,dimension,3,4,zone_id,"zone_id, zone_code, zone_name, zone_abbrev"
dim_zone_entry_type,dimension,11,3,zone_entry_type_id,"zone_entry_type_id, zone_entry_type_code, zone_entry_type_name"
dim_zone_exit_type,dimension,10,3,zone_exit_type_id,"zone_exit_type_id, zone_exit_type_code, zone_exit_type_name"
fact_breakouts,fact,475,106,event_id,"event_id, game_id, period, period_id, event_type..."
fact_cycle_events,fact,32,22,cycle_key,"cycle_key, game_id, season_id, team_id, team_name..."
fact_draft,fact,160,14,team_id,"team_id, skill_rating, round, player_full_name, player_id..."
fact_events,fact,5831,109,event_id,"event_id, game_id, period, period_id, event_type..."
fact_events_tracking,fact,11181,102,event_player_key,"event_player_key, game_id, event_id, event_index, player_id..."
fact_faceoffs,fact,171,106,event_id,"event_id, game_id, period, period_id, event_type..."
fact_game_status,fact,562,27,game_id,"game_id, game_date, home_team, away_team, official_home_goals..."
fact_gameroster,fact,14471,24,game_id,"game_id, player_id, team_id, opp_team_id, season_id..."
fact_high_danger_chances,fact,26,79,event_id,"event_id, game_id, period, period_id, event_type..."
fact_leadership,fact,28,9,player_full_name,"player_full_name, player_id, leadership, skill_rating, n_player_url..."
fact_penalties,fact,20,79,event_id,"event_id, game_id, period, period_id, event_type..."
fact_player_game_position,fact,105,8,game_id,"game_id, player_id, total_shifts, dominant_position, dominant_position_pct..."
fact_plays,fact,1956,39,play_key,"play_key, play_id, game_id, season_id, period..."
fact_registration,fact,190,18,player_full_name,"player_full_name, player_id, season_id, season, restricted..."
fact_rushes,fact,314,106,event_id,"event_id, game_id, period, period_id, event_type..."
fact_saves,fact,212,105,event_id,"event_id, game_id, period, period_id, event_type..."
fact_scoring_chances_detailed,fact,455,104,event_id,"event_id, game_id, period, period_id, event_type..."
fact_season_summary,fact,1,10,season_summary_key,"season_summary_key, season_id, games_tracked, total_goals, total_players..."
fact_sequences,fact,397,38,sequence_key,"sequence_key, sequence_id, game_id, season_id, period..."
fact_shift_players,fact,4613,9,shift_player_id,"shift_player_id, shift_id, game_id, shift_index, player_game_number..."
fact_shifts,fact,398,139,shift_id,"shift_id, game_id, shift_index, Period, shift_start_min..."
fact_shifts_tracking,fact,398,138,shift_id,"shift_id, game_id, shift_index, Period, shift_start_min..."
fact_tracking,fact,5117,25,tracking_event_key,"tracking_event_key, game_id, period, period_id, event_start_min..."
fact_turnovers_detailed,fact,741,79,event_id,"event_id, game_id, period, period_id, event_type..."
fact_zone_entries,fact,508,106,event_id,"event_id, game_id, period, period_id, event_type..."
