column_name,data_type,category,populated_rows,sample_value
player_game_key,object,Other,107/107,PG1896978240
game_id,int64,Keys,107/107,18969
player_id,object,Keys,107/107,P100001
player_name,object,Other,107/107,Sam Downs
goals,int64,Core Box Score,14/107,0
assists,int64,Core Box Score,8/107,0
points,int64,Core Box Score,20/107,0
shots,int64,Other,94/107,9
sog,int64,Core Box Score,76/107,5
shots_blocked,int64,Core Box Score,58/107,2
shots_missed,int64,Core Box Score,57/107,1
shooting_pct,float64,Other,14/107,0.0
pass_attempts,int64,Passing,103/107,22
pass_completed,int64,Passing,99/107,12
pass_pct,float64,Passing,99/107,54.5
fo_wins,int64,Faceoffs,19/107,14
fo_losses,int64,Faceoffs,21/107,8
fo_total,int64,Faceoffs,21/107,22
fo_pct,float64,Faceoffs,19/107,63.6
zone_entries,int64,Zone Transitions,94/107,11
zone_exits,int64,Zone Transitions,94/107,7
giveaways,int64,Turnovers,99/107,8
takeaways,int64,Turnovers,69/107,3
toi_seconds,float64,Time on Ice,105/107,1730.0
toi_minutes,float64,Time on Ice,105/107,28.8
playing_toi_seconds,float64,Time on Ice,105/107,1556.0
playing_toi_minutes,float64,Time on Ice,105/107,25.9
stoppage_seconds,float64,Other,78/107,174.0
shift_count,int64,Time on Ice,105/107,49
logical_shifts,int64,Time on Ice,105/107,13
avg_shift,float64,Time on Ice,105/107,35.3
avg_playing_shift,float64,Time on Ice,105/107,119.7
goals_per_60,float64,Per-60 Rates,14/107,0.0
assists_per_60,float64,Per-60 Rates,8/107,0.0
points_per_60,float64,Per-60 Rates,20/107,0.0
shots_per_60,float64,Per-60 Rates,92/107,18.73
goals_per_60_playing,float64,Per-60 Rates,14/107,0.0
assists_per_60_playing,float64,Per-60 Rates,8/107,0.0
points_per_60_playing,float64,Per-60 Rates,20/107,0.0
shots_per_60_playing,float64,Per-60 Rates,92/107,20.82
blocks,int64,Other,27/107,2
hits,int64,Other,0/107,0
puck_battles,int64,Other,20/107,1
puck_battle_wins,int64,Other,10/107,0
retrievals,int64,Other,50/107,20
corsi_for,int64,Possession,105/107,29
corsi_against,int64,Possession,105/107,39
fenwick_for,int64,Possession,105/107,22
fenwick_against,int64,Possession,105/107,29
cf_pct,float64,Possession,105/107,42.6
ff_pct,float64,Possession,105/107,43.1
opp_avg_rating,float64,Performance Metrics,105/107,3.85
skill_diff,float64,Possession,98/107,2.15
plus_ev,int64,Plus/Minus,55/107,0
minus_ev,int64,Plus/Minus,59/107,-3
plus_minus_ev,int64,Plus/Minus,57/107,-3
plus_total,int64,Plus/Minus,59/107,1
minus_total,int64,Plus/Minus,62/107,-3
plus_minus_total,int64,Plus/Minus,65/107,-2
plus_en_adj,int64,Plus/Minus,55/107,0
minus_en_adj,int64,Plus/Minus,59/107,-3
plus_minus_en_adj,int64,Plus/Minus,57/107,-3
player_rating,float64,Performance Metrics,107/107,6.0
home_team_id,object,Other,107/107,N10008
away_team_id,object,Other,107/107,N10010
chips,int64,Other,2/107,0
breakout_rush_attempts,int64,Rush/Transition,3/107,0
zone_keepins,int64,Zone Transitions,4/107,0
dekes_successful,int64,Other,12/107,0
breakout_clear_attempts,int64,Other,14/107,0
beat_middle,int64,Other,3/107,0
beat_wide,int64,Other,3/107,0
zone_exit_denials,int64,Zone Transitions,1/107,0
breakouts,int64,Other,14/107,0
passes_missed_target,int64,Passing,8/107,0
drives_corner,int64,Other,4/107,0
tip_attempts,int64,Other,2/107,0
cutbacks,int64,Other,7/107,0
drives_middle,int64,Other,13/107,0
pass_for_tip,int64,Passing,4/107,0
poke_checks,int64,Other,20/107,0
stick_checks,int64,Other,23/107,0
got_beat_middle,int64,Other,5/107,0
crash_net,int64,Other,3/107,0
cycle_plays,int64,Other,2/107,0
ceded_exits,int64,Zone Transitions,1/107,0
reverse_passes,int64,Passing,7/107,0
deke_attempts,int64,Other,3/107,0
breakout_pass_attempts,int64,Passing,13/107,1
backchecks,int64,Other,7/107,0
separate_from_puck,int64,Other,12/107,0
rebound_recoveries,int64,Other,9/107,0
block_attempts,int64,Other,3/107,0
drives_net,int64,Other,1/107,0
ceded_entries,int64,Other,1/107,0
puck_retrievals,int64,Other,0/107,0
passes_intercepted,int64,Passing,9/107,2
stopped_deke,int64,Other,2/107,0
dump_and_chase,int64,Other,9/107,0
def_pass_deflected,int64,Passing,2/107,0
loose_puck_wins,int64,Other,9/107,0
drives_wide,int64,Other,12/107,0
puck_recoveries,int64,Other,0/107,0
def_pass_intercepted,int64,Passing,7/107,0
screens,int64,Other,2/107,0
front_of_net,int64,Other,6/107,0
secondary_assists,int64,Other,1/107,0
in_lane,int64,Other,20/107,0
quick_ups,int64,Other,2/107,0
second_touches,int64,Other,23/107,0
delays,int64,Other,12/107,0
loose_puck_losses,int64,Other,8/107,0
turnover_recoveries,int64,Turnovers,14/107,0
dump_recoveries,int64,Other,9/107,0
pressures,int64,Other,5/107,0
contains,int64,Other,2/107,0
forechecks,int64,Other,1/107,0
give_and_go,int64,Other,2/107,0
passes_deflected,int64,Passing,14/107,0
lost_puck,int64,Other,15/107,3
force_wide,int64,Other,5/107,0
man_on_man,int64,Other,5/107,0
dekes_beat_defender,int64,Other,11/107,0
box_outs,int64,Other,2/107,0
primary_assists,int64,Other,1/107,0
got_beat_wide,int64,Other,3/107,0
zone_entry_denials,int64,Zone Transitions,2/107,0
surf_plays,int64,Other,2/107,0
blocked_shots_play,int64,Other,14/107,2
drives_middle_success,int64,Other,10/107,0
drives_wide_success,int64,Other,5/107,0
drives_corner_success,int64,Other,3/107,0
zone_entry_denials_success,int64,Zone Transitions,1/107,0
breakouts_success,int64,Other,13/107,0
zone_entry_carry,float64,Zone Transitions,82/107,19.0
zone_entry_pass,float64,Passing,99/107,134.0
zone_entry_dump,float64,Zone Transitions,93/107,4.0
zone_exit_carry,float64,Zone Transitions,43/107,2.0
zone_exit_pass,float64,Passing,62/107,7.0
zone_exit_dump,float64,Zone Transitions,0/107,0.0
zone_exit_clear,float64,Zone Transitions,85/107,6.0
zone_entries_controlled,float64,Zone Transitions,99/107,153.0
zone_entries_uncontrolled,float64,Zone Transitions,93/107,4.0
zone_entry_success_rate,float64,Zone Transitions,0/107,0.0
zone_entry_control_pct,float64,Zone Transitions,94/107,1390.9
zone_exits_controlled,float64,Zone Transitions,62/107,7.0
zone_exits_uncontrolled,float64,Zone Transitions,40/107,0.0
zone_exit_success_rate,float64,Zone Transitions,0/107,0.0
zone_exit_control_pct,float64,Zone Transitions,60/107,100.0
def_shots_against,int64,Defensive,74/107,4
def_goals_against,int64,Defensive,7/107,0
def_entries_allowed,int64,Defensive,96/107,6
def_exits_denied,int64,Zone Transitions,0/107,0
def_times_beat_deke,int64,Defensive,0/107,0
def_times_beat_speed,int64,Defensive,0/107,0
def_times_beat_total,int64,Defensive,0/107,0
def_takeaways,int64,Turnovers,0/107,0
def_forced_turnovers,int64,Turnovers,0/107,0
def_zone_clears,int64,Zone Transitions,0/107,0
def_blocked_shots,int64,Defensive,0/107,0
def_interceptions,int64,Defensive,0/107,0
def_stick_checks,int64,Defensive,0/107,0
def_poke_checks,int64,Defensive,0/107,0
def_body_checks,int64,Defensive,0/107,0
def_coverage_assignments,int64,Defensive,0/107,0
def_battles_won,int64,Defensive,0/107,0
def_battles_lost,int64,Defensive,0/107,0
giveaways_bad,float64,Turnovers,62/107,1.0
giveaways_neutral,float64,Turnovers,93/107,4.0
giveaways_good,float64,Turnovers,99/107,3.0
turnover_diff_adjusted,float64,Possession,69/107,3.0
turnovers_oz,float64,Turnovers,99/107,3.0
turnovers_nz,float64,Turnovers,93/107,4.0
turnovers_dz,float64,Turnovers,62/107,1.0
