table_name,type,rows,columns,primary_key,column_list
dim_comparison_type,dimension,6,5,comparison_type_id,"comparison_type_id, comparison_type_code, comparison_type_name, description, analysis_scope"
dim_composite_rating,dimension,8,6,rating_id,"rating_id, rating_code, rating_name, description, scale_min..."
dim_danger_zone,dimension,4,5,danger_zone_id,"danger_zone_id, danger_zone_code, danger_zone_name, xg_base, description"
dim_event_detail,dimension,59,3,event_detail_id,"event_detail_id, event_detail_code, event_detail_name"
dim_event_detail_2,dimension,97,6,event_detail_2_id,"event_detail_2_id, event_detail_2_code, event_detail_2_name, is_secondary_action, context_type..."
dim_event_type,dimension,20,3,event_type_id,"event_type_id, event_type_code, event_type_name"
dim_giveaway_type,dimension,12,8,giveaway_type_id,"giveaway_type_id, giveaway_type_code, giveaway_type_name, danger_level, xga_impact..."
dim_league,dimension,2,2,league_id,"league_id, league"
dim_micro_stat,dimension,22,4,micro_stat_id,"micro_stat_id, stat_code, stat_name, category"
dim_net_location,dimension,10,5,net_location_id,"net_location_id, net_location_code, net_location_name, x_pct, y_pct"
dim_pass_type,dimension,16,8,pass_type_id,"pass_type_id, pass_type_code, pass_type_name, expected_completion_rate, danger_value..."
dim_period,dimension,5,7,period_id,"period_id, period_number, period_name, period_type, duration_seconds..."
dim_play_detail,dimension,154,6,play_detail_id,"play_detail_id, play_detail_code, play_detail_name, play_category, skill_level..."
dim_play_detail_2,dimension,62,5,play_detail_2_id,"play_detail_2_id, play_detail_2_code, play_detail_2_name, is_secondary_play, description"
dim_player,dimension,337,28,index,"index, player_first_name, player_last_name, player_full_name, player_id..."
dim_player_role,dimension,14,6,role_id,"role_id, role_code, role_name, role_type, sort_order..."
dim_playerurlref,dimension,548,3,n_player_url,"n_player_url, player_full_name, n_player_id_2"
dim_position,dimension,7,4,position_id,"position_id, position_code, position_name, position_type"
dim_randomnames,dimension,486,5,random_full_name,"random_full_name, random_first_name, random_last_name, gender, name_used"
dim_rink_coord,dimension,19,7,rink_coord_id,"rink_coord_id, rink_coord_code, rink_coord_name, x_min, x_max..."
dim_rinkboxcoord,dimension,50,12,box_id,"box_id, box_id_rev, x_min, x_max, y_min..."
dim_rinkcoordzones,dimension,198,14,box_id,"box_id, box_id_rev, x_min, x_max, y_min..."
dim_schedule,dimension,562,44,game_id,"game_id, season, season_id, game_url, home_team_game_id..."
dim_season,dimension,9,9,index,"index, season_id, season, session, norad..."
dim_shift_slot,dimension,7,3,slot_id,"slot_id, slot_code, slot_name"
dim_shift_start_type,dimension,9,7,shift_start_type_id,"shift_start_type_id, shift_start_type_code, shift_start_type_name, start_category, description..."
dim_shift_stop_type,dimension,28,9,shift_stop_type_id,"shift_stop_type_id, shift_stop_type_code, shift_stop_type_name, stop_category, description..."
dim_shot_type,dimension,14,10,shot_type_id,"shot_type_id, shot_type_code, shot_type_name, is_goal, xg_modifier..."
dim_situation,dimension,5,3,situation_id,"situation_id, situation_code, situation_name"
dim_stat,dimension,83,12,stat_id,"stat_id, stat_code, stat_name, category, description..."
dim_stat_category,dimension,13,4,stat_category_id,"stat_category_id, category_code, category_name, description"
dim_stat_type,dimension,57,6,stat_id,"stat_id, stat_name, stat_category, stat_level, computable_now..."
dim_stoppage_type,dimension,10,5,stoppage_type_id,"stoppage_type_id, stoppage_type_code, stoppage_type_name, stoppage_category, description"
dim_strength,dimension,18,7,strength_id,"strength_id, strength_code, strength_name, situation_type, xg_multiplier..."
dim_success,dimension,2,4,success_id,"success_id, success_code, success_name, potential_values"
dim_takeaway_type,dimension,10,8,takeaway_type_id,"takeaway_type_id, takeaway_type_code, takeaway_type_name, skill_level, xgf_impact..."
dim_team,dimension,26,15,index,"index, team_name, team_id, norad_team, csah_team..."
dim_terminology_mapping,dimension,84,4,dimension,"dimension, old_value, new_value, match_type"
dim_turnover_quality,dimension,3,5,turnover_quality_id,"turnover_quality_id, turnover_quality_code, turnover_quality_name, description, counts_against"
dim_turnover_type,dimension,21,9,turnover_type_id,"turnover_type_id, turnover_type_code, turnover_type_name, category, quality..."
dim_venue,dimension,2,4,venue_id,"venue_id, venue_code, venue_name, venue_abbrev"
dim_zone,dimension,3,4,zone_id,"zone_id, zone_code, zone_name, zone_abbrev"
dim_zone_entry_type,dimension,11,9,zone_entry_type_id,"zone_entry_type_id, zone_entry_type_code, zone_entry_type_name, control_level, fenwick_per_entry..."
dim_zone_exit_type,dimension,10,8,zone_exit_type_id,"zone_exit_type_id, zone_exit_type_code, zone_exit_type_name, control_level, leads_to_entry_pct..."
fact_cycle_events,fact,9,7,game_id,"game_id, cycle_start_event_index, cycle_end_event_index, pass_count, is_cycle..."
fact_draft,fact,160,15,team_id,"team_id, skill_rating, round, player_full_name, player_id..."
fact_event_chains,fact,295,15,chain_id,"chain_id, game_id, entry_event_index, shot_event_index, events_to_shot..."
fact_events,fact,5833,52,event_key,"event_key, game_id, period, event_index, linked_event_index..."
fact_events_long,fact,11136,32,event_player_key,"event_player_key, event_key, game_id, player_id, player_name..."
fact_events_player,fact,11635,62,event_player_key,"event_player_key, event_key, game_id, player_id, event_index..."
fact_gameroster,fact,14471,29,game_id,"game_id, team_game_id, opp_team_game_id, player_game_id, team_venue..."
fact_goalie_game_stats,fact,4,35,goalie_game_key,"goalie_game_key, game_id, player_id, player_name, saves..."
