event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key
EV1896901000,18969,1,P01,GameStart,,,,,,,,,,,,EC18969001000,TV1896901000,,,Platinum,N10008,Velodrome,N10010,,,,,,,,,,0.0,5.0,0.0,0.0,0.0,,,,Neutral,Neutral,x,,1,,,5v5,,,,,,,,,,,0,,,N20252026F,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,
EV1896901001,18969,1,P01,Faceoff,ET0004,Faceoff_GameStart,,,,,,n,ZN03,SQ1896900002,PL1896900201,EC18969001001,TV1896901001,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100192",P100001,18.0,0.0,,,1080.0,1080.0,0.0,5.0,0.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,53.0,5v5,,,,,,,,,,,0,,Chris Premo,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,,
EV1896901002,18969,1,P01,Pass,ET0003,Pass_Completed,ED0020,Pass_Forehand,ED233,s,SC01,n,ZN03,SQ1896900002,PL1896900201,EC18969001002,TV1896901002,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,"P100025,P100030",,17.0,59.0,,,1079.0,1079.0,0.0,5.0,1.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,21.0,5v5,,,,,,,,,,,0,,Andrew Marshall,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PO01,,,0,0,0,,,
EV1896901003,18969,1,P01,Possession,ET0007,Regroup,,,,,,n,ZN03,SQ1896900002,PL1896900201,EC18969001003,TV1896901003,SH1896900001,,Platinum,N10008,Velodrome,N10010,6.0,P100030,P100161,17.0,58.0,17.0,52.0,1078.0,1072.0,0.0,11.0,2.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,8.0,5v5,Delay,,,,,,,,,,0,,Jesse Chambless,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,
EV1896901004,18969,1,P01,Pass,ET0003,Pass_Completed,ED0020,Pass_Bank,ED229,s,SC01,n,ZN03,SQ1896900002,PL1896900201,EC18969001004,TV1896901004,SH1896900001,,Platinum,N10008,Velodrome,N10010,0.0,"P100024,P100030",P100161,17.0,50.0,,,1070.0,1070.0,5.0,10.0,10.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,8.0,5v5,,,,,,,,,,,0,,Jesse Chambless,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PO01,,,0,0,0,,,
EV1896901005,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_DumpIn,ED291,u,SC02,n,ZN03,SQ1896900105,PL1896910502,EC18969001005,TV1896909001,SH1896900001,LV1896909001,Platinum,N10008,Velodrome,N10010,0.0,P100024,,17.0,49.0,,,1069.0,1069.0,6.0,11.0,11.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,20.0,5v5,Chip,DumpChase,u,,,,,,,,0,,John Thien,N20252026F,4.0,,ZE0003,,,,,,,TB01,STR0001,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,0,,,
EV1896901006,18969,1,P01,Turnover,ET0005,Turnover_Giveaway,ED0030,Giveaway_ZoneClear_Dump,ED219,u,SC02,n,ZN03,SQ1896900105,PL1896910502,EC18969001006,TV1896909001,SH1896900001,LV1896909001,Platinum,N10008,Velodrome,N10010,0.0,P100024,,17.0,49.0,,,1069.0,1069.0,6.0,11.0,11.0,0.0,0.0,Home,h,Platinum,n,n,event_player_1,Offensive,1,e,20.0,5v5,Chip,DumpChase,u,,,,,,,,0,,John Thien,N20252026F,4.0,,,,,GT0005,,TO0007,,TB01,STR0001,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,0,0,0,,,
EV1896901007,18969,1,P01,Possession,ET0007,PuckRetrieval,,,,s,SC01,d,ZN02,SQ1896900002,PL1896900201,EC18969001007,TV1896901007,SH1896900001,,Platinum,N10008,Velodrome,N10010,4.0,P100070,,17.0,45.0,17.0,41.0,1065.0,1061.0,10.0,19.0,15.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,52.0,5v5,RecoveryRetreivalDumpIn,,s,1.0,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,,,
EV1896901008,18969,1,P01,Pass,ET0003,Pass_Completed,ED0020,Pass_Forehand,ED233,s,SC01,d,ZN02,SQ1896900105,PL1896910504,EC18969001008,TV1896909002,SH1896900001,LV1896909002,Platinum,N10008,Velodrome,N10010,0.0,"P100070,P100161",,17.0,41.0,,,1061.0,1061.0,14.0,19.0,19.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,52.0,5v5,Breakout,PassDeflected,s,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PO01,,,0,0,0,,,
EV1896901009,18969,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,s,SC01,d,ZN02,SQ1896900105,PL1896910504,EC18969001009,TV1896909002,SH1896900001,LV1896909002,Platinum,N10008,Velodrome,N10010,0.0,"P100070,P100161",,17.0,41.0,,,1061.0,1061.0,14.0,19.0,19.0,0.0,0.0,Away,a,Velodrome,o,d,event_player_1,Offensive,1,e,52.0,5v5,,,,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,
EV1896901010,18969,1,P01,Possession,ET0007,,,,,,,n,ZN03,SQ1896900002,PL1896900201,EC18969001010,TV1896901010,SH1896900001,,Platinum,N10008,Velodrome,N10010,2.0,P100161,,17.0,39.0,17.0,37.0,1059.0,1057.0,16.0,23.0,21.0,0.0,0.0,Away,a,Velodrome,n,n,event_player_1,Offensive,1,e,49.0,5v5,,,,,,,,,,,0,,Galen Wood,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,
